id,space_type_name,lighting_space_type_name,ventilation_space_type_name,electric_equipment_space_type_name
115,warehouse - bulk storage,warehouse_bulk_storage,miscellaneous_spaces_warehouses,warehouse - bulk storage
116,warehouse - fine storage,warehouse_fine_storage,miscellaneous_spaces_warehouses,warehouse - fine storage
117,workshop,workshop,miscellaneous_spaces_manufacturing_wo_hazardous_materials,workshop
118,sales,sales,retail_sales,sales
119,sales - display type 1,sales_display_type_1,retail_sales,
120,sales - display type 2,sales_display_type_2,retail_sales,
121,sales - display type 3,sales_display_type_3,retail_sales,
122,sales - display type 4,sales_display_type_4,retail_sales,
123,guest room - highway,guest_room,hotels_motels_resorts_dormitories_barracks_sleeping_areas,
124,lodging dining - highway,dining_general,food_beverage_service_restaurant_dining_rooms,
125,audience seating - classroom/lecture/training,audience_seating_general,public_assembly_spaces_auditorium_seating_area,
126,audience seating - conference/meeting/multipurpose,audience_seating_general,public_assembly_spaces_auditorium_seating_area,
127,audience seating - corridor/transition,audience_seating_general,public_assembly_spaces_auditorium_seating_area,
128,guest room - bathroom,guest_room,hotels_motels_resorts_dormitories_barracks_sleeping_areas,
