climate_index,file,country,state_province_region,city,hdd18,cdd18,latitude,longitude,elevation, climate_zone_name,climate_zone_index,fwdr
63,CAN_PQ_Nitchequon.CAN270_CWEC.epw,CAN,PQ,Nitchequon,7922,6,53.2,-70.9,536,8,5,0.2
64,CAN_PQ_Quebec.717140_CWEC.epw,CAN,PQ,Quebec City,4964,111,46.8,-71.38,73,6,2,0.335733333
65,CAN_PQ_Riviere.du.Loup.717150_CWEC.epw,CAN,PQ,Riviere Du Loup,5424,82,47.8,-69.55,148,7a,3,0.305066667
66,CAN_PQ_Roberval.717280_CWEC.epw,CAN,PQ,Roberval,5757,97,48.52,-72.27,179,7a,3,0.282866667
67,CAN_PQ_Schefferville.718280_CWEC.epw,CAN,PQ,Schefferville,8057,7,54.8,-66.82,521,8,5,0.2
68,CAN_PQ_Sept-Iles.718110_CWEC.epw,CAN,PQ,Sept-Iles,6134,4,50.22,-66.27,55,7b,4,0.257733333
69,CAN_PQ_Sherbrooke.716100_CWEC.epw,CAN,PQ,Sherbrooke,5068,93,45.43,-71.68,241,7a,3,0.3288
70,CAN_PQ_St.Hubert.713710_CWEC.epw,CAN,PQ,St Hubert,4566,251,45.52,-73.42,27,6,2,0.362266667
71,CAN_PQ_Ste.Agathe.des.Monts.717200_CWEC.epw,CAN,PQ,Ste Agathe Des Monts,5350,45,46.05,-74.28,395,7a,3,0.31
72,CAN_PQ_Val.d.Or.717250_CWEC.epw,CAN,PQ,Val d'Or,6129,79,48.07,-77.78,337,7b,4,0.258066667
73,CAN_SK_Estevan.718620_CWEC.epw,CAN,SK,Estevan,5370,189,49.22,-102.97,581,7a,3,0.308666667
74,CAN_SK_North.Battleford.718760_CWEC.epw,CAN,SK,North Battleford,5962,75,52.77,-108.25,548,7a,3,0.2692
75,CAN_SK_Regina.718630_CWEC.epw,CAN,SK,Regina,5646,129,50.43,-104.67,577,7a,3,0.290266667
76,CAN_SK_Saskatoon.718660_CWEC.epw,CAN,SK,Saskatoon,5812,84,52.17,-106.68,504,7a,3,0.2792
77,CAN_SK_Swift.Current.718700_CWEC.epw,CAN,SK,Swift Current,5227,96,50.28,-107.68,818,7a,3,0.3182
78,CAN_YT_Whitehorse.719640_CWEC.epw,CAN,YT,Whitehorse,6946,2,60.72,-135.07,703,7b,4,0.2036
