ventilation_primary_space_type,ventilation_secondary_space_type,ventilation_rate_occupant,ventilation_rate_occupant_unit,ventilation_rate_area,ventilation_rate_area_unit,occupancy_per_area,occupancy_per_area_unit,air_class,os,annotation
Specialty Shops,Florists,15,cfm/person,0,cfm/ft2,8,ppl/1000 ft2,,,
Specialty Shops,"Clothiers, furniture",0,cfm/person,0.3,cfm/ft2,0,ppl/1000 ft2,,,
Specialty Shops,"Hardwar, drugs, fabric",15,cfm/person,0,cfm/ft2,8,ppl/1000 ft2,,,
Specialty Shops,Supermarkets,15,cfm/person,0,cfm/ft2,8,ppl/1000 ft2,,,
Specialty Shops,Pet shops,0,cfm/person,1,cfm/ft2,0,ppl/1000 ft2,,,
Sports and Amusement,Spectator areas,15,cfm/person,0,cfm/ft2,150,ppl/1000 ft2,,,
Sports and Amusement,Game rooms,25,cfm/person,0,cfm/ft2,70,ppl/1000 ft2,,,
Sports and Amusement,Ice arenas (playing areas),0,cfm/person,0.5,cfm/ft2,0,ppl/1000 ft2,,,
Sports and Amusement,Swimming pools (pool and deck area),0,cfm/person,0.5,cfm/ft2,0,ppl/1000 ft2,,,
Sports and Amusement,Playing floors (gymnasium),20,cfm/person,0,cfm/ft2,30,ppl/1000 ft2,,,
Sports and Amusement,Ballrooms and discos,25,cfm/person,0,cfm/ft2,100,ppl/1000 ft2,,,
Sports and Amusement,Bowling alleys (seating areas),25,cfm/person,0,cfm/ft2,70,ppl/1000 ft2,,,
Theaters,Ticket booths,20,cfm/person,0,cfm/ft2,60,ppl/1000 ft2,,,
Theaters,Lobbies,20,cfm/person,0,cfm/ft2,15,ppl/1000 ft2,,,
Theaters,Auditorium,15,cfm/person,0,cfm/ft2,150,ppl/1000 ft2,,,
Theaters,"Stages, studios",15,cfm/person,0,cfm/ft2,70,ppl/1000 ft2,,,
Transportation,Waiting rooms,15,cfm/person,0,cfm/ft2,100,ppl/1000 ft2,,,
Transportation,Platforms,15,cfm/person,0,cfm/ft2,100,ppl/1000 ft2,,,
Transportation,Vehicles,15,cfm/person,0,cfm/ft2,150,ppl/1000 ft2,,,
Workrooms,Meat processing,10,cfm/person,0,cfm/ft2,10,ppl/1000 ft2,,,
Workrooms,Photo studios,15,cfm/person,0,cfm/ft2,10,ppl/1000 ft2,,,
Workrooms,Darkrooms,0,cfm/person,0.5,cfm/ft2,10,ppl/1000 ft2,,,
Workrooms,Pharmacy,15,cfm/person,0,cfm/ft2,20,ppl/1000 ft2,,,
Workrooms,Bank vaults,15,cfm/person,0,cfm/ft2,5,ppl/1000 ft2,,,
Workrooms,"Duplicating, printing",0,cfm/person,0.5,cfm/ft2,0,ppl/1000 ft2,,,
Education,Classroom,15,cfm/person,0,cfm/ft2,50,ppl/1000 ft2,,,
Education,Laboratories,20,cfm/person,0,cfm/ft2,30,ppl/1000 ft2,,,
Education,Training shop,20,cfm/person,0,cfm/ft2,30,ppl/1000 ft2,,,
Education,Music rooms,15,cfm/person,0,cfm/ft2,50,ppl/1000 ft2,,,
Education,Libraries,15,cfm/person,0,cfm/ft2,20,ppl/1000 ft2,,,
Education,Locker rooms,0,cfm/person,0.5,cfm/ft2,0,ppl/1000 ft2,,,
Education,Corridors,0,cfm/person,0.1,cfm/ft2,0,ppl/1000 ft2,,,
Education,Auditoriums,15,cfm/person,0,cfm/ft2,150,ppl/1000 ft2,,,
Education,Smoking lounge,60,cfm/person,0,cfm/ft2,710,ppl/1000 ft2,,,
"Hospitals, Nursing and Convalescent Homes",Patient rooms,25,cfm/person,0,cfm/ft2,10,ppl/1000 ft2,,,
"Hospitals, Nursing and Convalescent Homes",Medical procedure,15,cfm/person,0,cfm/ft2,20,ppl/1000 ft2,,,
"Hospitals, Nursing and Convalescent Homes",Operating rooms,30,cfm/person,0,cfm/ft2,20,ppl/1000 ft2,,,
"Hospitals, Nursing and Convalescent Homes",Recovery and ICU,15,cfm/person,0,cfm/ft2,20,ppl/1000 ft2,,,
"Hospitals, Nursing and Convalescent Homes",Autopsy rooms,0,cfm/person,0.5,cfm/ft2,0,ppl/1000 ft2,,,
"Hospitals, Nursing and Convalescent Homes",Physical therapy,15,cfm/person,0,cfm/ft2,20,ppl/1000 ft2,,,
Correctional Facilties,Cells,20,cfm/person,0,cfm/ft2,20,ppl/1000 ft2,,,
Correctional Facilties,Dining halls,15,cfm/person,0,cfm/ft2,100,ppl/1000 ft2,,,
Correctional Facilties,Guard stations,15,cfm/person,0,cfm/ft2,40,ppl/1000 ft2,,,
None,None,0,cfm/person,0,cfm/ft2,0,ppl/1000 ft2,,,
