name,intended_surface_type,standard_construction_type,insulation_layer,skylight_framing,material_1,material_2,material_3,material_4,material_5,material_6
U 0.24 SHGC 0.11 Dbl LoE Elec Abs Colored 6mm/13mm Arg,ExteriorWindow,Metal framing (all other),,,ECABS-2 COLORED 6MM,ARGON 13MM,LoE SPEC SEL CLEAR 6MM Rev,,,
U 0.24 SHGC 0.16 Dbl Elec Abs Colored 6mm/13mm Arg,ExteriorWindow,Metal framing (all other),,,ECABS-2 COLORED 6MM,ARGON 13MM,CLEAR 6MM,,,
U 0.24 SHGC 0.23 Dbl LoE Spec Sel Tint 6mm/13mm Arg,ExteriorWindow,Metal framing (all other),,,LoE SPEC SEL TINT 6MM,ARGON 13MM,CLEAR 6MM,,,
U 0.25 SHGC 0.22 Simple Glazing Window,ExteriorWindow,Metal framing (all other),,,U 0.25 SHGC 0.22 Simple Glazing,,,,,
U 0.25 SHGC 0.24 Simple Glazing Window,ExteriorWindow,Metal framing (all other),,,U 0.25 SHGC 0.24 Simple Glazing,,,,,
U 0.25 SHGC 0.40 Dbl LoE (e2-.1) Tint 6mm/13mm Arg,ExteriorWindow,Metal framing (all other),,,LoE TINT 6MM,ARGON 13MM,CLEAR 6MM,,,
U 0.26 SHGC 0.40 Simple Glazing Window,ExteriorWindow,Metal framing (all other),,,U 0.26 SHGC 0.40 Simple Glazing,,,,,
U 0.29 SHGC 0.11 Dbl LoE Elec Ref Colored 6mm/13mm Air,ExteriorWindow,Metal framing (all other),,,ECREF-2 COLORED 6MM,AIR 13MM,LoE SPEC SEL CLEAR 6MM Rev,,,
U 0.29 SHGC 0.17 Dbl Elec Abs Colored 6mm/13mm Air,ExteriorWindow,Metal framing (all other),,,ECABS-2 COLORED 6MM,AIR 13MM,CLEAR 6MM,,,
U 0.29 SHGC 0.22 Trp LoE Film (55) Bronze 6mm/6mm Air,ExteriorWindow,Metal framing (all other),,,BRONZE 6MM,AIR 6MM,COATED POLY-55,AIR 6MM,CLEAR 3MM,
