name,intended_surface_type,standard_construction_type,insulation_layer,skylight_framing,material_1,material_2,material_3,material_4,material_5,material_6
U 0.5 SHGC 0.34 Simple Glazing Skylight,Skylight,Weighted,,,U 0.5 SHGC 0.34 Simple Glazing,,,,,
U 0.98 SHGC 0.27 Simple Glazing Skylight,Skylight,Weighted,,,U 0.98 SHGC 0.27 Simple Glazing,,,,,
U 0.68 SHGC 0.4 Simple Glazing Window,ExteriorWindow,Weighted,,,U 0.68 SHGC 0.4 Simple Glazing,,,,,
U 0.85 SHGC 0.55 Simple Glazing Skylight,Skylight,Weighted,,,U 0.85 SHGC 0.55 Simple Glazing,,,,,
U 0.85 SHGC 0.19 Simple Glazing Skylight,Skylight,Weighted,,,U 0.85 SHGC 0.19 Simple Glazing,,,,,
U 0.85 SHGC 0.39 Simple Glazing Skylight,Skylight,Weighted,,,U 0.85 SHGC 0.39 Simple Glazing,,,,,
U 0.28 SHGC 0.45 Simple Glazing Window,ExteriorWindow,Weighted,,,U 0.28 SHGC 0.45 Simple Glazing,,,,,
U 0.68 SHGC 0.45 Simple Glazing Window,ExteriorWindow,Weighted,,,U 0.68 SHGC 0.45 Simple Glazing,,,,,
U 0.32 SHGC 0.45 Simple Glazing Window,ExteriorWindow,Weighted,,,U 0.32 SHGC 0.45 Simple Glazing,,,,,
U 0.5 SHGC 0.27 Simple Glazing Skylight,Skylight,Weighted,,,U 0.5 SHGC 0.27 Simple Glazing,,,,,
U 0.25 SHGC 0.45 Simple Glazing Window,ExteriorWindow,Weighted,,,U 0.25 SHGC 0.45 Simple Glazing,,,,,
U 0.5 SHGC 0.39 Simple Glazing Skylight,Skylight,Weighted,,,U 0.5 SHGC 0.39 Simple Glazing,,,,,
U 0.5 SHGC 0.65 Simple Glazing Skylight,Skylight,Weighted,,,U 0.5 SHGC 0.65 Simple Glazing,,,,,
U 0.85 SHGC 0.27 Simple Glazing Skylight,Skylight,Weighted,,,U 0.85 SHGC 0.27 Simple Glazing,,,,,
U 0.5 SHGC 0.25 Simple Glazing Window,ExteriorWindow,Weighted,,,U 0.5 SHGC 0.25 Simple Glazing,,,,,
U 1.1 SHGC 0.25 Simple Glazing Window,ExteriorWindow,Weighted,,,U 1.1 SHGC 0.25 Simple Glazing,,,,,
U 1.1 SHGC 0.45 Simple Glazing Window,ExteriorWindow,Weighted,,,U 1.1 SHGC 0.45 Simple Glazing,,,,,
U 0.75 SHGC 0.55 Simple Glazing Skylight,Skylight,Weighted,,,U 0.75 SHGC 0.55 Simple Glazing,,,,,
U 0.75 SHGC 0.49 Simple Glazing Skylight,Skylight,Weighted,,,U 0.75 SHGC 0.49 Simple Glazing,,,,,
U 1.8 SHGC 0.49 Simple Glazing Skylight,Skylight,Weighted,,,U 1.8 SHGC 0.49 Simple Glazing,,,,,
U 0.75 SHGC 0.39 Simple Glazing Skylight,Skylight,Weighted,,,U 0.75 SHGC 0.39 Simple Glazing,,,,,
U 0.75 SHGC 0.68 Simple Glazing Skylight,Skylight,Weighted,,,U 0.75 SHGC 0.68 Simple Glazing,,,,,
U 0.75 SHGC 0.64 Simple Glazing Skylight,Skylight,Weighted,,,U 0.75 SHGC 0.64 Simple Glazing,,,,,
U 0.77 SHGC 0.23 Simple Glazing Window,ExteriorWindow,Weighted,,,U 0.77 SHGC 0.23 Simple Glazing,,,,,
U 0.68 SHGC 0.23 Simple Glazing Window,ExteriorWindow,Weighted,,,U 0.68 SHGC 0.23 Simple Glazing,,,,,
U 0.63 SHGC 0.33 Simple Glazing Window,ExteriorWindow,Weighted,,,U 0.63 SHGC 0.33 Simple Glazing,,,,,
U 0.63 SHGC 0.34 Simple Glazing Window,ExteriorWindow,Weighted,,,U 0.63 SHGC 0.34 Simple Glazing,,,,,
U 0.63 SHGC 0.36 Simple Glazing Window,ExteriorWindow,Weighted,,,U 0.63 SHGC 0.36 Simple Glazing,,,,,
U 0.63 SHGC 0.45 Simple Glazing Window,ExteriorWindow,Weighted,,,U 0.63 SHGC 0.45 Simple Glazing,,,,,
U 0.55 SHGC 0.35 Simple Glazing Skylight,Skylight,,,,U 0.55 SHGC 0.35 Simple Glazing,,,,,
U 0.5 SHGC 0.4 Simple Glazing Skylight,Skylight,,,,U 0.5 SHGC 0.4 Simple Glazing,,,,,
U 0.41 SHGC 0.55 Simple Glazing Skylight,Skylight,,,,U 0.41 SHGC 0.55 Simple Glazing,,,,,
U 0.6 SHGC 0.23 Simple Glazing Window,ExteriorWindow,,,,U 0.6 SHGC 0.23 Simple Glazing,,,,,
U 0.65 SHGC 0.3 Simple Glazing Skylight,Skylight,,,,U 0.65 SHGC 0.3 Simple Glazing,,,,,
U 0.55 SHGC 0.3 Simple Glazing Skylight,Skylight,,,,U 0.55 SHGC 0.3 Simple Glazing,,,,,
U 0.47 SHGC 0.4 Simple Glazing Skylight,Skylight,,,,U 0.47 SHGC 0.4 Simple Glazing,,,,,
U 0.44 SHGC 0.55 Simple Glazing Skylight,Skylight,,,,U 0.44 SHGC 0.55 Simple Glazing,,,,,
U 0.83 SHGC 0.21 Simple Glazing Window,ExteriorWindow,,,,U 0.83 SHGC 0.21 Simple Glazing,,,,,
U 0.7 SHGC 0.3 Simple Glazing Skylight,Skylight,,,,U 0.7 SHGC 0.3 Simple Glazing,,,,,
U 0.32 SHGC 0.22 Simple Glazing Window,ExteriorWindow,,,,U 0.32 SHGC 0.22 Simple Glazing,,,,,
U 0.83 SHGC 0.22 Simple Glazing Window,ExteriorWindow,,,,U 0.83 SHGC 0.22 Simple Glazing,,,,,
U 0.83 SHGC 0.2 Simple Glazing Window,ExteriorWindow,,,,U 0.83 SHGC 0.2 Simple Glazing,,,,,
U 0.62 SHGC 0.2 Simple Glazing Window,ExteriorWindow,,,,U 0.62 SHGC 0.2 Simple Glazing,,,,,
U 1.22 SHGC 0.19 Simple Glazing Window,ExteriorWindow,,,,U 1.22 SHGC 0.19 Simple Glazing,,,,,
U 1.22 SHGC 0.45 Simple Glazing Window,ExteriorWindow,,,,U 1.22 SHGC 0.45 Simple Glazing,,,,,
U 1.22 SHGC 0.17 Simple Glazing Window,ExteriorWindow,,,,U 1.22 SHGC 0.17 Simple Glazing,,,,,
U 1.22 SHGC 0.39 Simple Glazing Window,ExteriorWindow,,,,U 1.22 SHGC 0.39 Simple Glazing,,,,,
U 0.98 SHGC 0.45 Simple Glazing Window,ExteriorWindow,,,,U 0.98 SHGC 0.45 Simple Glazing,,,,,
U 1.98 SHGC 0.45 Simple Glazing Skylight,Skylight,,,,U 1.98 SHGC 0.45 Simple Glazing,,,,,
U 0.57 SHGC 0.39 Simple Glazing Window,ExteriorWindow,,,,U 0.57 SHGC 0.39 Simple Glazing,,,,,
U 0.46 SHGC 0.19 Simple Glazing Window,ExteriorWindow,,,,U 0.46 SHGC 0.19 Simple Glazing,,,,,
U 1.98 SHGC 0.34 Simple Glazing Skylight,Skylight,,,,U 1.98 SHGC 0.34 Simple Glazing,,,,,
U 1.22 SHGC 0.61 Simple Glazing Window,ExteriorWindow,,,,U 1.22 SHGC 0.61 Simple Glazing,,,,,
U 1.22 SHGC 0.34 Simple Glazing Window,ExteriorWindow,,,,U 1.22 SHGC 0.34 Simple Glazing,,,,,
U 0.57 SHGC 0.49 Simple Glazing Window,ExteriorWindow,,,,U 0.57 SHGC 0.49 Simple Glazing,,,,,
U 0.46 SHGC 0.26 Simple Glazing Window,ExteriorWindow,,,,U 0.46 SHGC 0.26 Simple Glazing,,,,,
U 0.98 SHGC 0.45 Simple Glazing Skylight,Skylight,,,,U 0.98 SHGC 0.45 Simple Glazing,,,,,
U 1.98 SHGC 0.65 Simple Glazing Skylight,Skylight,,,,U 1.98 SHGC 0.65 Simple Glazing,,,,,
U 0.58 SHGC 0.61 Simple Glazing Skylight,Skylight,,,,U 0.58 SHGC 0.61 Simple Glazing,,,,,
U 0.46 SHGC 0.36 Simple Glazing Window,ExteriorWindow,,,,U 0.46 SHGC 0.36 Simple Glazing,,,,,
U 0.46 SHGC 0.45 Simple Glazing Window,ExteriorWindow,,,,U 0.46 SHGC 0.45 Simple Glazing,,,,,
U 0.35 SHGC 0.45 Simple Glazing Window,ExteriorWindow,,,,U 0.35 SHGC 0.45 Simple Glazing,,,,,
U 0.98 SHGC 0.62 Simple Glazing Skylight,Skylight,,,,U 0.98 SHGC 0.62 Simple Glazing,,,,,
U 0.58 SHGC 0.45 Simple Glazing Skylight,Skylight,,,,U 0.58 SHGC 0.45 Simple Glazing,,,,,
U 0.75 SHGC 0.25 Simple Glazing Window,ExteriorWindow,,,,U 0.75 SHGC 0.25 Simple Glazing,,,,,
U 0.7 SHGC 0.25 Simple Glazing Window,ExteriorWindow,,,,U 0.7 SHGC 0.25 Simple Glazing,,,,,
U 1.98 SHGC 0.49 Simple Glazing Skylight,Skylight,,,,U 1.98 SHGC 0.49 Simple Glazing,,,,,
U 0.65 SHGC 0.25 Simple Glazing Window,ExteriorWindow,,,,U 0.65 SHGC 0.25 Simple Glazing,,,,,
U 0.6 SHGC 0.25 Simple Glazing Window,ExteriorWindow,,,,U 0.6 SHGC 0.25 Simple Glazing,,,,,
U 0.9 SHGC 0.25 Simple Glazing Window,ExteriorWindow,,,,U 0.9 SHGC 0.25 Simple Glazing,,,,,
U 1.98 SHGC 0.71 Simple Glazing Skylight,Skylight,,,,U 1.98 SHGC 0.71 Simple Glazing,,,,,
U 0.4 SHGC 0.4 Simple Glazing Window,ExteriorWindow,,,,U 0.4 SHGC 0.4 Simple Glazing,,,,,
U 0.55 SHGC 0.4 Simple Glazing Window,ExteriorWindow,,,,U 0.55 SHGC 0.4 Simple Glazing,,,,,
U 0.85 SHGC 0.4 Simple Glazing Window,ExteriorWindow,,,,U 0.85 SHGC 0.4 Simple Glazing,,,,,
U 0.35 SHGC 0.4 Simple Glazing Window,ExteriorWindow,,,,U 0.35 SHGC 0.4 Simple Glazing,,,,,
U 0.45 SHGC 0.4 Simple Glazing Window,ExteriorWindow,,,,U 0.45 SHGC 0.4 Simple Glazing,,,,,
U 0.8 SHGC 0.4 Simple Glazing Window,ExteriorWindow,,,,U 0.8 SHGC 0.4 Simple Glazing,,,,,
U 0.65 SHGC 0.45 Simple Glazing Window,ExteriorWindow,,,,U 0.65 SHGC 0.45 Simple Glazing,,,,,
U 0.6 SHGC 0.45 Simple Glazing Window,ExteriorWindow,,,,U 0.6 SHGC 0.45 Simple Glazing,,,,,
U 0.9 SHGC 0.45 Simple Glazing Window,ExteriorWindow,,,,U 0.9 SHGC 0.45 Simple Glazing,,,,,
U 0.4 SHGC 0.45 Simple Glazing Window,ExteriorWindow,,,,U 0.4 SHGC 0.45 Simple Glazing,,,,,
U 0.8 SHGC 0.45 Simple Glazing Window,ExteriorWindow,,,,U 0.8 SHGC 0.45 Simple Glazing,,,,,
U 1.2 SHGC 0.25 Simple Glazing Window,ExteriorWindow,,,,U 1.2 SHGC 0.25 Simple Glazing,,,,,
U 1.98 SHGC 0.27 Simple Glazing Skylight,Skylight,,,,U 1.98 SHGC 0.27 Simple Glazing,,,,,
U 1.17 SHGC 0.45 Simple Glazing Skylight,Skylight,,,,U 1.17 SHGC 0.45 Simple Glazing,,,,,
U 0.98 SHGC 0.49 Simple Glazing Skylight,Skylight,,,,U 0.98 SHGC 0.49 Simple Glazing,,,,,
U 0.98 SHGC 0.46 Simple Glazing Skylight,Skylight,,,,U 0.98 SHGC 0.46 Simple Glazing,,,,,
U 0.58 SHGC 0.65 Simple Glazing Skylight,Skylight,,,,U 0.58 SHGC 0.65 Simple Glazing,,,,,
U 0.58 SHGC 0.55 Simple Glazing Skylight,Skylight,,,,U 0.58 SHGC 0.55 Simple Glazing,,,,,
U 0.4 SHGC 0.25 Simple Glazing Window,ExteriorWindow,,,,U 0.4 SHGC 0.25 Simple Glazing,,,,,
U 0.65 SHGC 0.45 Simple Glazing Skylight,Skylight,,,,U 0.65 SHGC 0.45 Simple Glazing,,,,,
U 0.35 SHGC 0.25 Simple Glazing Window,ExteriorWindow,,,,U 0.35 SHGC 0.25 Simple Glazing,,,,,
U 0.55 SHGC 0.45 Simple Glazing Skylight,Skylight,,,,U 0.55 SHGC 0.45 Simple Glazing,,,,,
U 0.42 SHGC 0.4 Simple Glazing Window,ExteriorWindow,,,,U 0.42 SHGC 0.4 Simple Glazing,,,,,
U 0.77 SHGC 0.4 Simple Glazing Window,ExteriorWindow,,,,U 0.77 SHGC 0.4 Simple Glazing,,,,,
U 0.81 SHGC 0.45 Simple Glazing Window,ExteriorWindow,,,,U 0.81 SHGC 0.45 Simple Glazing,,,,,
U 0.5 SHGC 0.45 Simple Glazing Skylight,Skylight,,,,U 0.5 SHGC 0.45 Simple Glazing,,,,,
U 0.32 SHGC 0.4 Simple Glazing Window,ExteriorWindow,,,,U 0.32 SHGC 0.4 Simple Glazing,,,,,
U 0.7 SHGC 0.45 Simple Glazing Window,ExteriorWindow,,,,U 0.7 SHGC 0.45 Simple Glazing,,,,,
U 0.59 SHGC 0.45 Simple Glazing Window,ExteriorWindow,,,,U 0.59 SHGC 0.45 Simple Glazing,,,,,
U 0.44 SHGC 0.45 Simple Glazing Window,ExteriorWindow,,,,U 0.44 SHGC 0.45 Simple Glazing,,,,,
U 0.93 SHGC 0.25 Simple Glazing Window,ExteriorWindow,,,,U 0.93 SHGC 0.25 Simple Glazing,,,,,
U 0.75 SHGC 0.45 Simple Glazing Skylight,Skylight,,,,U 0.75 SHGC 0.45 Simple Glazing,,,,,
U 0.3 SHGC 0.4 Simple Glazing Window,ExteriorWindow,,,,U 0.3 SHGC 0.4 Simple Glazing,,,,,
U 0.36 SHGC 0.4 Simple Glazing Window,ExteriorWindow,,,,U 0.36 SHGC 0.4 Simple Glazing,,,,,
U 0.9 SHGC 0.55 Simple Glazing Skylight,Skylight,,,,U 0.9 SHGC 0.55 Simple Glazing,,,,,
U 0.48 SHGC 0.45 Simple Glazing Window,ExteriorWindow,,,,U 0.48 SHGC 0.45 Simple Glazing,,,,,
