name,category,form,dependent_variable,independent_variable_1,independent_variable_2,coeff_1,coeff_2,coeff_3,coeff_4,coeff_5,coeff_6,coeff_7,coeff_8,coeff_9,coeff_10,minimum_independent_variable_1,maximum_independent_variable_1,minimum_independent_variable_2,maximum_independent_variable_2,minimum_dependent_variable_output,maximum_dependent_variable_output,annotation
CentChlrAirCoolCap-fCHW&OAT,Chiller,BiQuadratic,QRatio,CHWT,OAT,0.94533053,0.068473818,-0.003361694,0.000108108,-0.000225,8.2e-05,,,,,,,,,,,From .dat files included with MASControl2
CentChlrAirCoolEIR-fCHW&OAT,Chiller,BiQuadratic,EIRRatio,CHWT,OAT,0.47343824,0.015708042,-0.000948,0.012260718,9.55e-05,-0.000352,,,,,,,,,,,From .dat files included with MASControl2
CentChlrAirCoolEIR-fPLR,Chiller,Quadratic,EIRRatio,PLR,,0.24258,0.41468,0.34273973,,,,,,,,,,,,,,From .dat files included with MASControl2
CentH2O-Cap-fCHWT&ECT,HermCentrifugal,BiQuadratic,QRatio,CHWT,ECT,0.36460761,-0.030523554,-0.001929776,0.066367926,-0.001891966,0.003110627,,,,,,,,,,,From .dat files included with MASControl2
CentH2O-EIR-fCHWT&ECT,HermCentrifugal,BiQuadratic,EIRRatio,CHWT,ECT,0.65868459,-0.025336458,0.000991,0.01280322,0.000171,-0.000301,,,,,,,,,,,From .dat files included with MASControl2
CentH2O-EIR-fPLR&dT,HermCentrifugal,BiQuadratic,EIRRatio,PLR,dT,0.27969646,0.57375735,0.25690463,-0.010452906,0.000475,-0.006354126,,,,,,,,,,,From .dat files included with MASControl2
CentH2OVSD-Cap-fCHWT&ECT,HermCentrifugal,BiQuadratic,QRatio,CHWT,ECT,0.36211013,-0.032249754,-0.000886,0.066743838,-0.001731488,0.002180358,,,,,,,,,,,From .dat files included with MASControl2
CentH2OVSD-EIR-fCHWT&ECT,HermCentrifugal,BiQuadratic,EIRRatio,CHWT,ECT,0.41386133,-0.088037676,0.00098,0.056770308,-0.000946,0.001418731,,,,,,,,,,,From .dat files included with MASControl2
CentH2OVSD-EIR-fPLR&dT,HermCentrifugal,BiQuadratic,EIRRatio,PLR,dT,0.14703037,-0.00349667,1.01161313,-0.006474546,0.00088,-0.020960478,,,,,,,,,,,From .dat files included with MASControl2
ChillerCentCapFT,Electric Chiller,BiQuadratic,QRatio,Tchws,Toadb,0.7446451,0.0114858,1.48e-05,0.022401,-0.000688,0.0009839,,,,,5,10,24,35,,,From Dick Lord's Chiller Model study for ASHRAE 2007 baseline
ChillerCentEIRFT,Electric Chiller,BiQuadratic,EIRRatio,Tchws,Toadb,0.772877,0.022101,-7.99e-05,-0.0070045,0.0004763,-0.0010612,,,,,5,10,24,35,,,From Dick Lord's Chiller Model study for ASHRAE 2007 baseline
ChillerCentEIRPLR,Electric Chiller,BiCubic,EIRRatio,Tcws,QRatio,-0.1360532,0.008642703,3.85558e-06,1.024034,0.06047444,-0.00894786,0,0.05706602,0,0,31.13,36.52,0.19,1.03,,,From Dick Lord's Chiller Model study for ASHRAE 2007 baseline
ChlrAirRecipEIRRatio_fQRatio,Electric Chiller,Quadratic,EIRRatio,QRatio,,0.114437,0.545933,0.342299,,,,,,,,0,1,,,0.11,,From CBECC Appendix_3.7_PerformanceCurves-S901G.xlsx
ChlrAirRecipEIRRatio_fTchwsToadbSI,Electric Chiller,BiQuadratic,EIRRatio,Tchws,Toadb,0.542784,-0.013907,0.000476,0.012197,0.000149,-0.000334,,,,,4.44,12.22,23.89,46.11,0.72,1.3,From CBECC Appendix_3.7_PerformanceCurves-S901G.xlsx
ChlrAirRecipQRatio_fTchwsToadbSI,Electric Chiller,BiQuadratic,QRatio,Tchws,Toadb,1.12603,0.041571,0.000253,-0.010526,1e-05,-0.000256,,,,,4.44,12.22,23.89,46.11,0.82,1.3,From CBECC Appendix_3.7_PerformanceCurves-S901G.xlsx
ChlrAirScrewEIRRatio_fQRatio,Electric Chiller,Quadratic,EIRRatio,QRatio,,0.036487,0.734743,0.219947,,,,,,,,0,1,,,0.04,,From CBECC Appendix_3.7_PerformanceCurves-S901G.xlsx
ChlrAirScrewEIRRatio_fTchwsToadbSI,Electric Chiller,BiQuadratic,EIRRatio,Tchws,Toadb,0.570624,0.011954,-0.000522,-3.2e-05,0.000421,-0.000606,,,,,4.44,12.22,23.89,46.11,0.7,1.38,From CBECC Appendix_3.7_PerformanceCurves-S901G.xlsx
ChlrAirScrewQRatio_fTchwsToadbSI,Electric Chiller,BiQuadratic,QRatio,Tchws,Toadb,0.985959,0.049487,-0.000298,-0.003737,-4.5e-05,-0.000502,,,,,4.44,12.22,23.89,46.11,0.82,1.3,From CBECC Appendix_3.7_PerformanceCurves-S901G.xlsx
ChlrAirScrollEIRRatio_fQRatio,Electric Chiller,Quadratic,EIRRatio,QRatio,,0.063691,0.584888,0.352803,,,,,,,,0,1,,,0.06,,From CBECC Appendix_3.7_PerformanceCurves-S901G.xlsx
ChlrAirScrollEIRRatio_fTchwsToadbSI,Electric Chiller,BiQuadratic,EIRRatio,Tchws,Toadb,0.702194,-0.004466,0.000535,-0.005506,0.000544,-0.000729,,,,,4.44,12.22,23.89,46.11,0.69,1.45,From CBECC Appendix_3.7_PerformanceCurves-S901G.xlsx
ChlrAirScrollQRatio_fTchwsToadbSI,Electric Chiller,BiQuadratic,QRatio,Tchws,Toadb,1.02138,0.037021,0.000233,-0.003893,-6.5e-05,-0.000269,,,,,4.44,12.22,23.89,46.11,0.82,1.3,From CBECC Appendix_3.7_PerformanceCurves-S901G.xlsx
ChlrHPAirCoolCap-fCHW&OAT,Chiller,BiQuadratic,QRatio,CHWT,OAT,1.13076899,0.03157983,0.000358,-0.009856332,1.01e-05,-0.00015,,,,,,,,,,,From .dat files included with MASControl2
ChlrHPAirCoolEIR-fCHW&OAT,Chiller,BiQuadratic,EIRRatio,CHWT,OAT,0.5637406,-0.009225918,0.000353,0.009452178,0.000187,-0.000314,,,,,,,,,,,From .dat files included with MASControl2
ChlrHPAirHeatCap-fHW&39-,Chiller,BiQuadratic,QRatio,HW,39,0.92141508,-0.003413682,-3.86e-06,0.0324,0.000611,-5.18e-05,,,,,,,,,,,From .dat files included with MASControl2
ChlrHPAirHeatCap-fHW&39+,Chiller,BiQuadratic,QRatio,HW,39+,0.94069023,-0.004035888,4.21e-07,0.046218906,-0.001703171,-2.27e-07,,,,,,,,,,,From .dat files included with MASControl2
ChlrHPAirHeatEIR-fHW&39-,Chiller,BiQuadratic,EIRRatio,HW,39,0.33398382,0.019817694,1.2e-05,0.0048024,-3.32e-05,-0.000898,,,,,,,,,,,From .dat files included with MASControl2
ChlrHPAirHeatEIR-fHW&39+,Chiller,BiQuadratic,EIRRatio,HW,39+,0.38886863,0.018107262,1.94e-05,-0.026683668,0.002056655,-0.000499,,,,,,,,,,,From .dat files included with MASControl2
ChlrHPH2OCoolCap_fCHW&ECT,Chiller/HP,BiQuadratic,QRatio,CHWT,ECT,35.68362061,0.62273101,-0.005677932,-0.248948775,-0.003461286,0.011142622,,,,,,,,,,,From .dat files included with MASControl2
ChlrHPH2OCoolCap_fCHW&ECT-Old,Chiller/HP,BiQuadratic,QRatio,CHWT,ECT,0.96601399,0.04050054,0.000589,-0.008098668,6.65e-05,-0.000454,,,,,,,,,,,From .dat files included with MASControl2
ChlrHPH2OCoolEIR_fCHW&ECT,Chiller/HP,BiQuadratic,EIRRatio,CHWT,ECT,0.111287472,-0.002094557,0.000201,0.00170532,0.000168,-0.000308,,,,,,,,,,,From .dat files included with MASControl2
ChlrHPH2OCoolEIR_fCHW&ECT-Old,Chiller/HP,BiQuadratic,EIRRatio,CHWT,ECT,0.61092869,-0.016352352,0.000407,0.003044232,0.000592,-0.000668,,,,,,,,,,,From .dat files included with MASControl2
ChlrHPH2OHeatCap_fHWS&EET,Chiller/HP,BiQuadratic,QRatio,HWS,EET,29.914016,0.1544256,-0.0041472,0.6832512,-0.00203148,0.00199584,,,,,,,,,,,From .dat files included with MASControl2
ChlrHPH2OHeatCap_fHWS&EET-Old,Chiller/HP,BiQuadratic,QRatio,HWS,EET,0.84649612,-0.00264807,2.31e-05,0.02700126,0.00013,-0.000127,,,,,,,,,,,From .dat files included with MASControl2
ChlrHPH2OHeatEIR_fHWS&EET,Chiller/HP,BiQuadratic,EIRRatio,HWS,EET,0.12004,-0.00011232,9.85e-05,-0.00107928,7.32e-05,-0.000134,,,,,,,,,,,From .dat files included with MASControl2
ChlrHPH2OHeatEIR_fHWS&EET-Old,Chiller/HP,BiQuadratic,EIRRatio,HWS,EET,0.2068226,0.018812142,0.000105,-0.012659724,0.000406,-0.000399,,,,,,,,,,,From .dat files included with MASControl2
ChlrWtrCentPathAAllEIRRatio_fQRatio,Electric Chiller,Quadratic,EIRRatio,QRatio,,0.222149,0.503156,0.256905,,,,,,,,0.1,1,,,0.28,,From CBECC Appendix_3.7_PerformanceCurves-S901G.xlsx
ChlrWtrCentPathAAllEIRRatio_fTchwsTcwsSI,Electric Chiller,BiQuadratic,QRatio,Tchws,Tcws,0.658643,-0.025339,0.000991,0.012801,0.000171,-0.000301,,,,,4.44,12.22,15.56,29.44,0.68,1.05,From CBECC Appendix_3.7_PerformanceCurves-S901G.xlsx
ChlrWtrCentPathAAllQRatio_fTchwsTcwsSI,Electric Chiller,BiQuadratic,QRatio,Tchws,Tcws,0.364691,-0.030521,-0.00193,0.066374,-0.001892,0.003111,,,,,4.44,12.22,15.56,29.44,0.87,0.91,From CBECC Appendix_3.7_PerformanceCurves-S901G.xlsx
ChlrWtrCentPathBGtEql300Lt600tonEIRRatio_fQRatio,Electric Chiller,Quadratic,EIRRatio,QRatio,,0.055483,0.451866,0.488242,,,,,,,,0.1,1,,,0.11,,From CBECC Appendix_3.7_PerformanceCurves-S901G.xlsx
ChlrWtrCentPathBGtEql300Lt600tonEIRRatio_fTchwsTcwsSI,Electric Chiller,BiQuadratic,QRatio,Tchws,Tcws,0.756376,-0.015019,0.000156,0.00246,0.000515,-0.000687,,,,,4.44,12.22,15.56,29.44,0.63,1.12,From CBECC Appendix_3.7_PerformanceCurves-S901G.xlsx
ChlrWtrCentPathBGtEql300Lt600tonQRatio_fTchwsTcwsSI,Electric Chiller,BiQuadratic,QRatio,Tchws,Tcws,1.35608,0.04875,-0.000888,-0.014525,-0.000286,-4e-05,,,,,4.44,12.22,15.56,29.44,0.87,1.52,From CBECC Appendix_3.7_PerformanceCurves-S901G.xlsx
ChlrWtrCentPathBGtEql600tonEIRRatio_fQRatio,Electric Chiller,Quadratic,EIRRatio,QRatio,,0.107426,0.156775,0.739345,,,,,,,,0.1,1,,,0.13,,From CBECC Appendix_3.7_PerformanceCurves-S901G.xlsx
ChlrWtrCentPathBGtEql600tonEIRRatio_fTchwsTcwsSI,Electric Chiller,BiQuadratic,QRatio,Tchws,Tcws,0.737625,0.001456,-0.000223,0.007116,0.000267,-0.000735,,,,,4.44,12.22,15.56,29.44,0.76,1.08,From CBECC Appendix_3.7_PerformanceCurves-S901G.xlsx
ChlrWtrCentPathBGtEql600tonQRatio_fTchwsTcwsSI,Electric Chiller,BiQuadratic,QRatio,Tchws,Tcws,0.854454,0.042526,-0.000185,0.011697,-0.000497,-0.000412,,,,,4.44,12.22,15.56,29.44,0.9,1.33,From CBECC Appendix_3.7_PerformanceCurves-S901G.xlsx
ChlrWtrCentPathBLt300tonEIRRatio_fQRatio,Electric Chiller,Quadratic,EIRRatio,QRatio,,0.208389,-0.121404,0.918455,,,,,,,,0.1,1,,,0.21,,From CBECC Appendix_3.7_PerformanceCurves-S901G.xlsx
ChlrWtrCentPathBLt300tonEIRRatio_fTchwsTcwsSI,Electric Chiller,BiQuadratic,QRatio,Tchws,Tcws,0.711108,-0.023515,0.001194,0.017737,0.000152,-0.001159,,,,,4.44,12.22,15.56,29.44,0.69,1.13,From CBECC Appendix_3.7_PerformanceCurves-S901G.xlsx
ChlrWtrCentPathBLt300tonQRatio_fTchwsTcwsSI,Electric Chiller,BiQuadratic,QRatio,Tchws,Tcws,1.15508,0.036503,-0.000499,-0.001455,-0.000439,-0.000172,,,,,4.44,12.22,15.56,29.44,0.86,1.37,From CBECC Appendix_3.7_PerformanceCurves-S901G.xlsx
ChlrWtrPosDispPathAAllEIRRatio_fQRatio,Electric Chiller,Quadratic,EIRRatio,QRatio,,0.310965,0.322519,0.372745,,,,,,,,0.1,1,,,0.35,,From CBECC Appendix_3.7_PerformanceCurves-S901G.xlsx
ChlrWtrPosDispPathAAllEIRRatio_fTchwsTcwsSI,Electric Chiller,BiQuadratic,QRatio,Tchws,Tcws,0.665307,-0.009339,0.000483,0.009492,0.000544,-0.000864,,,,,4.44,12.22,15.56,29.44,0.74,1.27,From CBECC Appendix_3.7_PerformanceCurves-S901G.xlsx
ChlrWtrPosDispPathAAllQRatio_fTchwsTcwsSI,Electric Chiller,BiQuadratic,QRatio,Tchws,Tcws,0.96744,0.037082,0.000434,-0.005837,-4.9e-05,-0.000274,,,,,4.44,12.22,15.56,29.44,0.89,1.33,From CBECC Appendix_3.7_PerformanceCurves-S901G.xlsx
ChlrWtrPosDispPathBAllEIRRatio_fQRatio,Electric Chiller,Quadratic,EIRRatio,QRatio,,0,0.6206,0.3893,,,,,,,,0.1,1,,,0.07,,From CBECC Appendix_3.7_PerformanceCurves-S901G.xlsx
ChlrWtrPosDispPathBAllEIRRatio_fTchwsTcwsSI,Electric Chiller,BiQuadratic,QRatio,Tchws,Tcws,0.428265,-0.024071,0.000849,0.016416,0.000381,-0.00059,,,,,4.44,12.22,15.56,29.44,0.5,1.07,From CBECC Appendix_3.7_PerformanceCurves-S901G.xlsx
ChlrWtrPosDispPathBAllQRatio_fTchwsTcwsSI,Electric Chiller,BiQuadratic,QRatio,Tchws,Tcws,0.899926,0.030102,-0.000332,-0.001743,-9.2e-05,0.000229,,,,,4.44,12.22,15.56,29.44,0.93,1.21,From CBECC Appendix_3.7_PerformanceCurves-S901G.xlsx
CHW-Coil-Cap-fAirflow,CHWCoils,Quadratic,QRatio,Airflow,,0.0488,1.38,-0.425,,,,,,,,0,1.05,,,,,From .dat files included with MASControl2
CHW-Coil-Cap-fEWB&EWT,CHWCoils,BiQuadratic,QRatio,EWB,EWT,1.6726784,-0.13378464,0.0065124,0.03828096,8.26e-05,-0.005868936,,,,,15.55556,29.44444,4.44444,18.33333,,,From .dat files included with MASControl2
CHW-Coil-Cap-fFluidFlow,CHWCoils,Quadratic,QRatio,FluidFlow,,0.218,3199.5088,-3280000,,,,,,,,0,1,,,,,From .dat files included with MASControl2
Coffin Defrost Curve,Refrigerated Case,Cubic,,,,0.3475,0.0296,0.0007,3e-05,,,,,,,-55,55,,,,,For SuperMarket Prototype Buildings
Coffin Latent Curve,Refrigerated Case,Cubic,,,,0.3379,0.0309,0.0005,4e-05,,,,,,,-55,55,,,,,For SuperMarket Prototype Buildings
COIL-BF-FFLOW-SPEC,CoilBF-FFLOW,Linear,,Flow,,0.33,1419.6496,,,,,,,,,,,,,0.8,,From .dat files included with MASControl2
Coil-Bypass-Factor-fPLR,CHWCoils,Linear,QRatio,PLR,,1,0,,,,,,,,,,,,,,,From .dat files included with MASControl2
CoilClgDXDblEIRRatio_fCFMRatio,DX Cooling Coil,Cubic,EIRRatio,FlowRatio,,1.007948,0.345441,-0.692289,0.338899,,,,,,,0,1,,,,,From CBECC Appendix_3.7_PerformanceCurves-S901G.xlsx
CoilClgDXDblQRatio_fCFMRatio,DX Cooling Coil,Cubic,QRatio,FlowRatio,,0.472786,1.243342,-1.038706,0.322578,,,,,,,-100,100,0.47,,,,From CBECC Appendix_3.7_PerformanceCurves-S901G.xlsx
CoilClgDXEIRRatio_fQFrac,DX Cooling Coil,Cubic,EIRRatio,QRatio,,0,5.1091,-8.5515,4.4744,,,,,,,0.7,1,0.92,1,,,From CBECC Appendix_3.7_PerformanceCurves-S901G.xlsx
CoilClgDXEIRRatio_fTwbToadbSI,DX Cooling Coil,BiQuadratic,EIRRatio,Twb,Toadb,0.116709,0.028458,-0.000411,0.021422,0.000162,-0.00068,,,,,13.89,25,23.89,46.11,0.77,1.33,From CBECC Appendix_3.7_PerformanceCurves-S901G.xlsx
CoilClgDXQRatio_fTwbToadbSI,DX Cooling Coil,BiQuadratic,QRatio,Twb,Toadb,0.86779,0.014245,0.000554,-0.007569,3.2e-05,-0.000191,,,,,13.89,25,23.89,46.11,0.77,1.29,From CBECC Appendix_3.7_PerformanceCurves-S901G.xlsx
CoilClgDXSEER13EER11EIRRatio_fTwbToadbSI,DX Cooling Coil,BiQuadratic,EIRRatio,Twb,Toadb,-0.199992,-0.035686,0.000787,0.074834,-0.000516,-0.000573,,,,,13.89,25,23.89,46.11,0.55,1.44,From CBECC Appendix_3.7_PerformanceCurves-S901G.xlsx
CoilClgDXSEER15EER11EIRRatio_fTwbToadbSI,DX Cooling Coil,BiQuadratic,EIRRatio,Twb,Toadb,-1.790474,-0.028777,0.000763,0.153391,-0.001482,-0.000721,,,,,13.89,25,23.89,46.11,0.35,1.42,From CBECC Appendix_3.7_PerformanceCurves-S901G.xlsx
CoilClgDXSEER16EER13EIRRatio_fTwbToadbSI,DX Cooling Coil,BiQuadratic,EIRRatio,Twb,Toadb,0.686684,-0.035826,0.000781,0.025564,0.000163,-0.000559,,,,,13.89,25,23.89,46.11,0.65,1.51,From CBECC Appendix_3.7_PerformanceCurves-S901G.xlsx
CoilClgDXSEER17EER11EIRRatio_fTwbToadbSI,DX Cooling Coil,BiQuadratic,EIRRatio,Twb,Toadb,-3.060538,-0.023207,0.000744,0.216093,-0.002253,-0.000839,,,,,13.89,25,23.89,46.11,0.2,1.4,From CBECC Appendix_3.7_PerformanceCurves-S901G.xlsx
CoilClgDXSEER18EER13EIRRatio_fTwbToadbSI,DX Cooling Coil,BiQuadratic,EIRRatio,Twb,Toadb,-1.247121,-0.027513,0.000752,0.121123,-0.001013,-0.000736,,,,,13.89,25,23.89,46.11,0.41,1.48,From CBECC Appendix_3.7_PerformanceCurves-S901G.xlsx
CoilClgDXSEER20EER13EIRRatio_fTwbToadbSI,DX Cooling Coil,BiQuadratic,EIRRatio,Twb,Toadb,-2.72492,-0.02112,0.00073,0.194128,-0.001911,-0.000872,,,,,13.89,25,23.89,46.11,0.23,1.45,From CBECC Appendix_3.7_PerformanceCurves-S901G.xlsx
CoilClgDXSEEREIRRatio_fQFrac,DX Cooling Coil,Cubic,EIRRatio,QRatio,,1,0,0,0,,,,,,,0.7,1,1,1,,,From CBECC Appendix_3.7_PerformanceCurves-S901G.xlsx
CoilClgDXSnglEIRRatio_fCFMRatio,DX Cooling Coil,Quadratic,EIRRatio,FlowRatio,,1.156,-0.1816,0.0256,,,,,,,,0,1,,,,,From CBECC Appendix_3.7_PerformanceCurves-S901G.xlsx
CoilClgDXSnglQRatio_fCFMRatio,DX Cooling Coil,Quadratic,QRatio,FlowRatio,,0.8,0.2,0,,,,,,,,0.5,1.5,,,,,From CBECC Appendix_3.7_PerformanceCurves-S901G.xlsx
CoilClgPTACEIRRatio_fQFrac,DX Cooling Coil,Cubic,EIRRatio,QRatio,,0.85,0.15,0,0,,,,,,,0.7,1,0.96,1,,,From CBECC Appendix_3.7_PerformanceCurves-S901G.xlsx
CoilClgPTACEIRRatio_fTwbToadbSI,DX Cooling Coil,BiQuadratic,EIRRatio,Twb,Toadb,0.341434,0.03481,-0.000625,0.004941,0.000437,-0.000729,,,,,13.89,25,23.89,46.11,0.75,1.4,From CBECC Appendix_3.7_PerformanceCurves-S901G.xlsx
CoilClgPTACQRatio_fTwbToadbSI,DX Cooling Coil,BiQuadratic,QRatio,Twb,Toadb,0.942879,0.009538,0.000684,-0.011002,6e-06,-1e-05,,,,,13.89,25,23.89,46.11,0.71,1.34,From CBECC Appendix_3.7_PerformanceCurves-S901G.xlsx
ConstantCubic,,Cubic,,,,1,0,0,0,,,,,,,-100,100,,,,,From Reference Buildings
Cool-PLF-fPLR,DX Cooling Coil,Quadratic,EIRRatio,QRatio,,0.90949556,0.09864773,-0.00819488,,,,,,,,0,1,,,,,From PNNL Prototype FullServiceRestaurant
CoolCLennoxStandard10Ton_TGA120S2B_EIRFFF,DX Cooling Coil,Quadratic,EIRRatio,FlowRatio,,1.2055,-0.32953,0.12308,,,,,,,,0.75918,1.13877,,,,,"From PNNL Prototype Buildings OutPatientHealtCare, RestaurantFastFood, RestaurantSitDown, SchoolPrimary, SchoolSecondary"
Curve_Biquadratic_CBES_01,,BiQuadratic,,,,0.86779,0.014245,0.000554,-0.007569,3.2e-05,-0.000191,,,,,0,100,0,100,,,From Commercial Building Energy Saver (CBES) Prototype Models: cbes.lbl.gov
Curve_Biquadratic_CBES_02,,BiQuadratic,,,,-0.199992,-0.035686,0.000787,0.074834,-0.000516,-0.000573,,,,,13.9,25,23.9,43.3,,,From Commercial Building Energy Saver (CBES) Prototype Models: cbes.lbl.gov
Curve_Biquadratic_CBES_03,,BiQuadratic,,,,0.9425878,0.00954335,0.00068377,-0.0110427,5.25e-06,-9.72e-06,,,,,17,22,13,46,,,From Commercial Building Energy Saver (CBES) Prototype Models: cbes.lbl.gov
Curve_Biquadratic_CBES_04,,BiQuadratic,,,,0.3424144,0.03488501,-0.0006237,0.00497722,0.00043795,-0.000728,,,,,17,22,13,46,,,From Commercial Building Energy Saver (CBES) Prototype Models: cbes.lbl.gov
Curve_Quadratic_CBES_01,DX Cooling Coil,Quadratic,QRatio,FlowRatio,,0.8,0.2,0,,,,,,,,0.5,1.5,,,,,From Commercial Building Energy Saver (CBES) Prototype Models: cbes.lbl.gov
Curve_Quadratic_CBES_02,DX Cooling Coil,Quadratic,EIRRatio,FlowRatio,,1.156,-0.1816,0.0256,,,,,,,,0.5,1.5,,,,,From Commercial Building Energy Saver (CBES) Prototype Models: cbes.lbl.gov
Curve_Quadratic_CBES_03,,Quadratic,,,,1,0,0,,,,,,,,0,1,,,,,From Commercial Building Energy Saver (CBES) Prototype Models: cbes.lbl.gov
Curve_Quadratic_CBES_04,,Quadratic,,,,0.8,0.2,0,,,,,,,,0.5,1.5,,,,,From Commercial Building Energy Saver (CBES) Prototype Models: cbes.lbl.gov
