name,material_type,roughness,thickness,conductivity,resistance,density,specific_heat,thermal_absorptance,solar_absorptance,visible_absorptance,gas_type,u_factor,solar_heat_gain_coefficient,visible_transmittance,optical_data_type,solar_transmittance_at_normal_incidence,front_side_solar_reflectance_at_normal_incidence,back_side_solar_reflectance_at_normal_incidence,visible_transmittance_at_normal_incidence,front_side_visible_reflectance_at_normal_incidence,back_side_visible_reflectance_at_normal_incidence,infrared_transmittance_at_normal_incidence,front_side_infrared_hemispherical_emissivity,back_side_infrared_hemispherical_emissivity,dirt_correction_factor_for_solar_and_visible_transmittance,solar_diffusing,frame_width,annotation
Adiabatic Material,MasslessOpaqueMaterial,,,,9999,,,,,,,,,,,,,,,,,,,,,,,
Aggregate - 45 lb/ft3 - 1/2 in.,StandardOpaqueMaterial,MediumSmooth,0.5,1.56,0.320512821,45,0.32,,,,,,,,,,,,,,,,,,,,,
Aggregate - 45 lb/ft3 - 5/8 in.,StandardOpaqueMaterial,MediumSmooth,0.63,1.5996,0.393848462,45,0.32,,,,,,,,,,,,,,,,,,,,,
Aggregate - 45 lb/ft3 - on metal lath - 3/4 in.,StandardOpaqueMaterial,MediumSmooth,0.75,1.5996,0.468867217,45,0.32,,,,,,,,,,,,,,,,,,,,,
Aggregate - Perlite - 1/2 in.,StandardOpaqueMaterial,Smooth,0.5,1.2996,0.384733764,45,0.32,,,,,,,,,,,,,,,,,,,,,
Aggregate - Perlite - 5/8 in.,StandardOpaqueMaterial,Smooth,0.63,1.5,0.42,45,0.32,,,,,,,,,,,,,,,,,,,,,
Aggregate - Perlite - on metal lath - 3/4 in.,StandardOpaqueMaterial,Smooth,0.75,1.7004,0.441072689,45,0.32,,,,,,,,,,,,,,,,,,,,,
Air - Cavity - Wall Roof Ceiling - 4 in. or more,StandardOpaqueMaterial,Smooth,6,6.5196,0.920301859,0.08,0.24,,,,,,,,,,,,,,,,,,,,,
Air - Ceiling - 1 1/2 in.,StandardOpaqueMaterial,Smooth,1.5,1.95,0.769230769,0.08,0.24,,,,,,,,,,,,,,,,,,,,,
Air - Ceiling - 1/2 in.,StandardOpaqueMaterial,Smooth,0.5,0.6804,0.734861846,0.08,0.24,,,,,,,,,,,,,,,,,,,,,
Air - Ceiling - 3 1/2 in.,StandardOpaqueMaterial,Smooth,3.5,4.38,0.799086758,0.08,0.24,,,,,,,,,,,,,,,,,,,,,
Air - Ceiling - 3/4 in.,StandardOpaqueMaterial,Smooth,0.75,0.9996,0.75030012,0.08,0.24,,,,,,,,,,,,,,,,,,,,,
Air - Floor - 1 1/2 in.,StandardOpaqueMaterial,Smooth,1.5,1.5996,0.937734434,0.08,0.24,,,,,,,,,,,,,,,,,,,,,
Air - Floor - 1/2 in.,StandardOpaqueMaterial,Smooth,0.5,0.6504,0.768757688,0.08,0.24,,,,,,,,,,,,,,,,,,,,,
Air - Floor - 3 1/2 in.,StandardOpaqueMaterial,Smooth,3.5,3.5004,0.999885727,0.08,0.24,,,,,,,,,,,,,,,,,,,,,
Air - Floor - 3/4 in.,StandardOpaqueMaterial,Smooth,0.75,0.8796,0.8526603,0.08,0.24,,,,,,,,,,,,,,,,,,,,,
Air - Metal Wall Framing - 16 or 24 in. OC,StandardOpaqueMaterial,Smooth,5.5,8.46,0.650118203,0.08,0.24,,,,,,,,,,,,,,,,,,,,,
Air - Roof - 1 1/2 in.,StandardOpaqueMaterial,Smooth,1.5,1.8804,0.797702616,0.08,0.24,,,,,,,,,,,,,,,,,,,,,
Air - Roof - 1/2 in.,StandardOpaqueMaterial,Smooth,0.5,0.66,0.757575758,0.08,0.24,,,,,,,,,,,,,,,,,,,,,
Air - Roof - 3 1/2 in.,StandardOpaqueMaterial,Smooth,3.5,4.2696,0.819748923,0.08,0.24,,,,,,,,,,,,,,,,,,,,,
Air - Roof - 3/4 in.,StandardOpaqueMaterial,Smooth,0.75,0.93,0.806451613,0.08,0.24,,,,,,,,,,,,,,,,,,,,,
Air - Wall - 1 1/2 in.,StandardOpaqueMaterial,Smooth,1.5,1.7196,0.872295883,0.08,0.24,,,,,,,,,,,,,,,,,,,,,
Air - Wall - 1/2 in.,StandardOpaqueMaterial,Smooth,0.5,0.6504,0.768757688,0.08,0.24,,,,,,,,,,,,,,,,,,,,,
Air - Wall - 3 1/2 in.,StandardOpaqueMaterial,Smooth,3.5,4.1196,0.849597048,0.08,0.24,,,,,,,,,,,,,,,,,,,,,
Air - Wall - 3/4 in.,StandardOpaqueMaterial,Smooth,0.75,0.8904,0.842318059,0.08,0.24,,,,,,,,,,,,,,,,,,,,,
AIR 13MM,Gas,,0.5,,,,,,,,Air,,,,,,,,,,,,,,,,,
AIR 3MM,Gas,,0.125984252,,,,,,,,Air,,,,,,,,,,,,,,,,,
AIR 6MM,Gas,,0.248031496,,,,,,,,Air,,,,,,,,,,,,,,,,,
Aluminum w/ Thrml Break - Double glass with no low e - No Ins.,StandardOpaqueMaterial,Smooth,2.27,0.9,2.522222222,29.09,0.26,,,,,,,,,,,,,,,,,,,,,
Aluminum w/ Thrml Break - Double glass with no low e - R10 Ins.,StandardOpaqueMaterial,Smooth,3.27,0.8196,3.989751098,20.44,0.26,,,,,,,,,,,,,,,,,,,,,
Aluminum w/ Thrml Break - Double glass with no low e - R15 Ins.,StandardOpaqueMaterial,Smooth,4.47,1.08,4.138888889,15.23,0.27,,,,,,,,,,,,,,,,,,,,,
Aluminum w/ Thrml Break - Double glass with no low e - R20 Ins.,StandardOpaqueMaterial,Smooth,5.67,1.3296,4.264440433,12.22,0.27,,,,,,,,,,,,,,,,,,,,,
Aluminum w/ Thrml Break - Double glass with no low e - R25 Ins.,StandardOpaqueMaterial,Smooth,6.87,1.5996,4.294823706,10.26,0.27,,,,,,,,,,,,,,,,,,,,,
Aluminum w/ Thrml Break - Double glass with no low e - R30 Ins.,StandardOpaqueMaterial,Smooth,8.07,1.8504,4.361219196,8.88,0.27,,,,,,,,,,,,,,,,,,,,,
Aluminum w/ Thrml Break - Double glass with no low e - R4 Ins.,StandardOpaqueMaterial,Smooth,1.83,0.5304,3.450226244,35.69,0.26,,,,,,,,,,,,,,,,,,,,,
Aluminum w/ Thrml Break - Double glass with no low e - R7 Ins.,StandardOpaqueMaterial,Smooth,2.55,0.6696,3.808243728,25.92,0.26,,,,,,,,,,,,,,,,,,,,,
Aluminum w/ Thrml Break - Single glass pane. stone. or metal pane - No Ins.,StandardOpaqueMaterial,Smooth,2.27,1.1796,1.924381146,29.09,0.26,,,,,,,,,,,,,,,,,,,,,
Aluminum w/ Thrml Break - Single glass pane. stone. or metal pane - R10 Ins.,StandardOpaqueMaterial,Smooth,3.27,0.8496,3.848870056,20.44,0.26,,,,,,,,,,,,,,,,,,,,,
Aluminum w/ Thrml Break - Single glass pane. stone. or metal pane - R15 Ins.,StandardOpaqueMaterial,Smooth,4.47,1.1004,4.062159215,15.23,0.27,,,,,,,,,,,,,,,,,,,,,
Aluminum w/ Thrml Break - Single glass pane. stone. or metal pane - R20 Ins.,StandardOpaqueMaterial,Smooth,5.67,1.35,4.2,12.22,0.27,,,,,,,,,,,,,,,,,,,,,
Aluminum w/ Thrml Break - Single glass pane. stone. or metal pane - R25 Ins.,StandardOpaqueMaterial,Smooth,6.87,1.6104,4.266020864,10.26,0.27,,,,,,,,,,,,,,,,,,,,,
Aluminum w/ Thrml Break - Single glass pane. stone. or metal pane - R30 Ins.,StandardOpaqueMaterial,Smooth,8.07,1.86,4.338709677,8.88,0.27,,,,,,,,,,,,,,,,,,,,,
Aluminum w/ Thrml Break - Single glass pane. stone. or metal pane - R4 Ins.,StandardOpaqueMaterial,Smooth,1.83,0.5604,3.265524625,35.69,0.26,,,,,,,,,,,,,,,,,,,,,
Aluminum w/ Thrml Break - Single glass pane. stone. or metal pane - R7 Ins.,StandardOpaqueMaterial,Smooth,2.55,0.6996,3.644939966,25.92,0.26,,,,,,,,,,,,,,,,,,,,,
Aluminum w/ Thrml Break - Triple or low e glass - No Ins.,StandardOpaqueMaterial,Smooth,2.27,0.78,2.91025641,29.09,0.26,,,,,,,,,,,,,,,,,,,,,
Aluminum w/ Thrml Break - Triple or low e glass - R10 Ins.,StandardOpaqueMaterial,Smooth,3.27,0.8196,3.989751098,20.44,0.26,,,,,,,,,,,,,,,,,,,,,
Aluminum w/ Thrml Break - Triple or low e glass - R15 Ins.,StandardOpaqueMaterial,Smooth,4.47,1.08,4.138888889,15.23,0.27,,,,,,,,,,,,,,,,,,,,,
Aluminum w/ Thrml Break - Triple or low e glass - R20 Ins.,StandardOpaqueMaterial,Smooth,5.67,1.3296,4.264440433,12.22,0.27,,,,,,,,,,,,,,,,,,,,,
Aluminum w/ Thrml Break - Triple or low e glass - R25 Ins.,StandardOpaqueMaterial,Smooth,6.87,1.5996,4.294823706,10.26,0.27,,,,,,,,,,,,,,,,,,,,,
Aluminum w/ Thrml Break - Triple or low e glass - R30 Ins.,StandardOpaqueMaterial,Smooth,8.07,1.8504,4.361219196,8.88,0.27,,,,,,,,,,,,,,,,,,,,,
Aluminum w/ Thrml Break - Triple or low e glass - R4 Ins.,StandardOpaqueMaterial,Smooth,1.83,0.51,3.588235294,35.69,0.26,,,,,,,,,,,,,,,,,,,,,
Aluminum w/ Thrml Break - Triple or low e glass - R7 Ins.,StandardOpaqueMaterial,Smooth,2.55,0.6696,3.808243728,25.92,0.26,,,,,,,,,,,,,,,,,,,,,
Aluminum w/out Thrml Break - Double glass with no low e coatings - No Ins.,StandardOpaqueMaterial,Smooth,2.27,0.8304,2.733622351,29.09,0.26,,,,,,,,,,,,,,,,,,,,,
Aluminum w/out Thrml Break - Double glass with no low e coatings - R10 Ins.,StandardOpaqueMaterial,Smooth,3.27,0.6504,5.027675277,20.44,0.26,,,,,,,,,,,,,,,,,,,,,
Aluminum w/out Thrml Break - Double glass with no low e coatings - R15 Ins.,StandardOpaqueMaterial,Smooth,4.47,0.8304,5.382947977,15.23,0.27,,,,,,,,,,,,,,,,,,,,,
Aluminum w/out Thrml Break - Double glass with no low e coatings - R20 Ins.,StandardOpaqueMaterial,Smooth,5.67,1.00464,5.643812709,12.22,0.27,,,,,,,,,,,,,,,,,,,,,
Aluminum w/out Thrml Break - Double glass with no low e coatings - R25 Ins.,StandardOpaqueMaterial,Smooth,6.87,1.1904,5.771169355,10.26,0.27,,,,,,,,,,,,,,,,,,,,,
Aluminum w/out Thrml Break - Double glass with no low e coatings - R30 Ins.,StandardOpaqueMaterial,Smooth,8.07,1.3704,5.888791594,8.88,0.27,,,,,,,,,,,,,,,,,,,,,
Aluminum w/out Thrml Break - Double glass with no low e coatings - R4 Ins.,StandardOpaqueMaterial,Smooth,1.83,0.4404,4.155313351,35.69,0.26,,,,,,,,,,,,,,,,,,,,,
Aluminum w/out Thrml Break - Double glass with no low e coatings - R7 Ins.,StandardOpaqueMaterial,Smooth,2.55,0.54,4.722222222,25.92,0.26,,,,,,,,,,,,,,,,,,,,,
Aluminum w/out Thrml Break - Single glass pane. stone. or metal pane - No Ins.,StandardOpaqueMaterial,Smooth,2.27,1.1304,2.008138712,29.09,0.26,,,,,,,,,,,,,,,,,,,,,
Aluminum w/out Thrml Break - Single glass pane. stone. or metal pane - R10 Ins.,StandardOpaqueMaterial,Smooth,3.27,0.66,4.954545455,20.44,0.26,,,,,,,,,,,,,,,,,,,,,
Aluminum w/out Thrml Break - Single glass pane. stone. or metal pane - R15 Ins.,StandardOpaqueMaterial,Smooth,4.47,0.84,5.321428571,15.23,0.27,,,,,,,,,,,,,,,,,,,,,
Aluminum w/out Thrml Break - Single glass pane. stone. or metal pane - R20 Ins.,StandardOpaqueMaterial,Smooth,5.67,1.0104,5.611638955,12.22,0.27,,,,,,,,,,,,,,,,,,,,,
Aluminum w/out Thrml Break - Single glass pane. stone. or metal pane - R25 Ins.,StandardOpaqueMaterial,Smooth,6.87,1.1904,5.771169355,10.26,0.27,,,,,,,,,,,,,,,,,,,,,
Aluminum w/out Thrml Break - Single glass pane. stone. or metal pane - R30 Ins.,StandardOpaqueMaterial,Smooth,8.07,1.38,5.847826087,8.88,0.27,,,,,,,,,,,,,,,,,,,,,
Aluminum w/out Thrml Break - Single glass pane. stone. or metal pane - R4 Ins.,StandardOpaqueMaterial,Smooth,1.83,0.4704,3.890306122,35.69,0.26,,,,,,,,,,,,,,,,,,,,,
Aluminum w/out Thrml Break - Single glass pane. stone. or metal pane - R7 Ins.,StandardOpaqueMaterial,Smooth,2.55,0.5604,4.550321199,25.92,0.26,,,,,,,,,,,,,,,,,,,,,
Aluminum w/out Thrml Break - Triple or low e glass - No Ins.,StandardOpaqueMaterial,Smooth,2.27,0.69,3.289855072,29.09,0.26,,,,,,,,,,,,,,,,,,,,,
Aluminum w/out Thrml Break - Triple or low e glass - R10 Ins.,StandardOpaqueMaterial,Smooth,3.27,0.63648,5.137631976,20.44,0.26,,,,,,,,,,,,,,,,,,,,,
Aluminum w/out Thrml Break - Triple or low e glass - R15 Ins.,StandardOpaqueMaterial,Smooth,4.47,0.8196,5.453879941,15.23,0.27,,,,,,,,,,,,,,,,,,,,,
Aluminum w/out Thrml Break - Triple or low e glass - R20 Ins.,StandardOpaqueMaterial,Smooth,5.67,0.9996,5.672268908,12.22,0.27,,,,,,,,,,,,,,,,,,,,,
Aluminum w/out Thrml Break - Triple or low e glass - R25 Ins.,StandardOpaqueMaterial,Smooth,6.87,1.1796,5.824008138,10.26,0.27,,,,,,,,,,,,,,,,,,,,,
Aluminum w/out Thrml Break - Triple or low e glass - R30 Ins.,StandardOpaqueMaterial,Smooth,8.07,1.3704,5.888791594,8.88,0.27,,,,,,,,,,,,,,,,,,,,,
Aluminum w/out Thrml Break - Triple or low e glass - R4 Ins.,StandardOpaqueMaterial,Smooth,1.83,0.41724,4.385964912,35.69,0.26,,,,,,,,,,,,,,,,,,,,,
Aluminum w/out Thrml Break - Triple or low e glass - R7 Ins.,StandardOpaqueMaterial,Smooth,2.55,0.5304,4.807692308,25.92,0.26,,,,,,,,,,,,,,,,,,,,,
ARGON 13MM,Gas,,0.5,,,,,,,,Argon,,,,,,,,,,,,,,,,,
Asbestos or cement shingles - 3/8 in.,StandardOpaqueMaterial,VeryRough,0.38,1.7904,0.212243074,120,0.24,,,,,,,,,,,,,,,,,,,,,
Ash - 1 in.,StandardOpaqueMaterial,MediumSmooth,1,1.1004,0.908760451,40.06,0.39,,,,,,,,,,,,,,,,,,,,,
Asphalt - bitumen with inert fill - 100 lb/ft3 - 3/4 in.,StandardOpaqueMaterial,VeryRough,0.75,3,0.25,100,0.3,,,,,,,,,,,,,,,,,,,,,
Asphalt - bitumen with inert fill - 144 lb/ft3 - 3/4 in.,StandardOpaqueMaterial,VeryRough,0.75,8.0004,0.093745313,144,0.3,,,,,,,,,,,,,,,,,,,,,
Asphalt roll roofing - 1/4 in.,StandardOpaqueMaterial,VeryRough,0.25,1.6704,0.149664751,70,0.36,,,,,,,,,,,,,,,,,,,,,
Asphalt Shingles,StandardOpaqueMaterial,VeryRough,0.125984252,0.277338872,0.454261067,69.91931585,0.30094583,0.9,0.7,0.7,,,,,,,,,,,,,,,,,,
Asphalt shingles - 1/4 in.,StandardOpaqueMaterial,VeryRough,0.25,0.5604,0.446109921,69.89,0.3,,,,,,,,,,,,,,,,,,,,,
AtticFloor Insulation,StandardOpaqueMaterial,MediumRough,9.366141732,0.339740118,27.56854794,16.54340955,0.199866246,0.9,0.7,0.7,,,,,,,,,,,,,,,,,,
Birch - 1 in.,StandardOpaqueMaterial,MediumSmooth,1,1.1904,0.840053763,43.93,0.39,,,,,,,,,,,,,,,,,,,,,
BLUE 6MM,StandardGlazing,,0.236220472,6.240124619,0.16025321,,,,,,,,,,SpectralAverage,0.48,0.05,0.05,0.57,0.06,0.06,0,0.84,0.84,1,FALSE,,
Brick - 48 lb/ft3 - 3 5/8 in.,StandardOpaqueMaterial,Rough,3.63,1.5,2.42,48,0.19,,,,,,,,,,,,,,,,,,,,,
Brick - fired clay -  140 lb/ft3 - 3 5/8 in.,StandardOpaqueMaterial,MediumRough,3.63,8.22,0.441605839,139.78,0.19,,,,,,,,,,,,,,,,,,,,,
BRONZE 6MM,StandardGlazing,,0.236220472,6.240124619,0.16025321,,,,,,,,,,SpectralAverage,0.482,0.054,0.054,0.534,0.057,0.057,0,0.84,0.84,1,FALSE,,
Building Paper - 1/16 in.,StandardOpaqueMaterial,MediumSmooth,0.06,2.0004,0.029994001,70,0.3,,,,,,,,,,,,,,,,,,,,,
Built-up Roofing,StandardOpaqueMaterial,Rough,0.374015748,1.109355488,0.337146886,69.91931585,0.348715009,0.9,0.7,0.7,,,,,,,,,,,,,,,,,,
Built-up roofing - 3/8 in.,StandardOpaqueMaterial,VeryRough,0.38,1.14,0.333333333,70,0.35,,,,,,,,,,,,,,,,,,,,,
Built-up Roofing - Highly Reflective,StandardOpaqueMaterial,Rough,0.374015748,1.109355488,0.337146886,69.91931585,0.348715009,0.75,0.45,0.7,,,,,,,,,,,,,,,,,,
Bulk Storage Products Material,StandardOpaqueMaterial,Rough,96.0001946,9.998066642,9.601875846,12.49999184,0.199866248,0.9,0.7,0.7,,,,,,,,,,,,,,,,,,
California Redwood - 1 in.,StandardOpaqueMaterial,MediumSmooth,1,0.78,1.282051282,26.21,0.39,,,,,,,,,,,,,,,,,,,,,
Carpet - 3/4 in.,StandardOpaqueMaterial,Rough,0.75,0.3156,2.376425856,18,0.33,,,,,,,,,,,,,,,,,,,,,
Carpet - 3/4 in. CBES,StandardOpaqueMaterial,Smooth,0.75,0.34691,,18,0.33,0.9,0.7,0.8,,,,,,,,,,,,,,,,,,
ceiling_2_Insulation,StandardOpaqueMaterial,Smooth,3.96766,0.15963,,1,0.27,0.9,0.7,0.8,,,,,,,,,,,,,,,,,,
Cellular polyisocyanurate (unfaced) - 1 1/2 in. R8.8,StandardOpaqueMaterial,Rough,1.5,0.1704,8.802816901,1.5,0.38,,,,,,,,,,,,,,,,,,,,,
Cellular polyisocyanurate (unfaced) - 1 in. R5.9,StandardOpaqueMaterial,Rough,1,0.1704,5.868544601,1.5,0.38,,,,,,,,,,,,,,,,,,,,,
Cellular polyisocyanurate (unfaced) - 1/2 in. R2.9,StandardOpaqueMaterial,Rough,0.5,0.1704,2.9342723,1.5,0.38,,,,,,,,,,,,,,,,,,,,,
Cellular polyisocyanurate (unfaced) - 1/4 in. R1.5,StandardOpaqueMaterial,Rough,0.25,0.1704,1.46713615,1.5,0.38,,,,,,,,,,,,,,,,,,,,,
Cellular polyisocyanurate (unfaced) - 1/8 in. R0.7,StandardOpaqueMaterial,Rough,0.13,0.1704,0.762910798,1.5,0.38,,,,,,,,,,,,,,,,,,,,,
Cellular polyisocyanurate (unfaced) - 2 1/2 in. R15,StandardOpaqueMaterial,Rough,2.5,0.1704,14.6713615,1.5,0.38,,,,,,,,,,,,,,,,,,,,,
Cellular polyisocyanurate (unfaced) - 2 in. R12,StandardOpaqueMaterial,Rough,2,0.1704,11.7370892,1.5,0.38,,,,,,,,,,,,,,,,,,,,,
Cellular polyisocyanurate (unfaced) - 3 1/2 in. R21,StandardOpaqueMaterial,Rough,3.5,0.1704,20.5399061,1.5,0.38,,,,,,,,,,,,,,,,,,,,,
Cellular polyisocyanurate (unfaced) - 3 in. R18,StandardOpaqueMaterial,Rough,3,0.1704,17.6056338,1.5,0.38,,,,,,,,,,,,,,,,,,,,,
Cellular polyisocyanurate (unfaced) - 4 1/2 in. R26,StandardOpaqueMaterial,Rough,4.5,0.1704,26.4084507,1.5,0.38,,,,,,,,,,,,,,,,,,,,,
Cellular polyisocyanurate (unfaced) - 4 in. R23,StandardOpaqueMaterial,Rough,4,0.1704,23.4741784,1.5,0.38,,,,,,,,,,,,,,,,,,,,,
Cellular polyisocyanurate (unfaced) - 5 1/2 in. R32,StandardOpaqueMaterial,Rough,5.5,0.1704,32.27699531,1.5,0.38,,,,,,,,,,,,,,,,,,,,,
Cellular polyisocyanurate (unfaced) - 5 in. R29,StandardOpaqueMaterial,Rough,5,0.1704,29.342723,1.5,0.38,,,,,,,,,,,,,,,,,,,,,
Cellular polyisocyanurate (unfaced) - 6 1/2 in. R38,StandardOpaqueMaterial,Rough,6.5,0.1704,38.14553991,1.5,0.38,,,,,,,,,,,,,,,,,,,,,
Cellular polyisocyanurate (unfaced) - 6 in. R35,StandardOpaqueMaterial,Rough,6,0.1704,35.21126761,1.5,0.38,,,,,,,,,,,,,,,,,,,,,
Clay - Part Grouted and Empty - 130 lb/ft3 - 6 in.,StandardOpaqueMaterial,MediumRough,6,3.12,1.923076923,130,0.13,,,,,,,,,,,,,,,,,,,,,
Clay - Part Grouted and Empty - 130 lb/ft3 - 8 in.,StandardOpaqueMaterial,MediumRough,8,3.7596,2.127885945,130,0.13,,,,,,,,,,,,,,,,,,,,,
Clay - Part Grouted and Insulated - 130 lb/ft3 - 6 in.,StandardOpaqueMaterial,MediumRough,6,2.7,2.222222222,130,0.13,,,,,,,,,,,,,,,,,,,,,
Clay - Part Grouted and Insulated - 130 lb/ft3 - 8 in.,StandardOpaqueMaterial,MediumRough,8,3.12,2.564102564,130,0.13,,,,,,,,,,,,,,,,,,,,,
Clay - Solid Grout - 130 lb/ft3 - 6 in.,StandardOpaqueMaterial,MediumRough,6,3.9,1.538461538,130,0.17,,,,,,,,,,,,,,,,,,,,,
Clay - Solid Grout - 130 lb/ft3 - 8 in.,StandardOpaqueMaterial,MediumRough,8,4.56,1.754385965,130,0.17,,,,,,,,,,,,,,,,,,,,,
Clay tile - 1/2 in.,StandardOpaqueMaterial,MediumRough,0.5,0.1896,2.637130802,85,0.21,,,,,,,,,,,,,,,,,,,,,
Clay tile - hollow - 1 cell deep - 3 in.,StandardOpaqueMaterial,MediumRough,3,3.75,0.8,85,0.21,,,,,,,,,,,,,,,,,,,,,
Clay tile - hollow - 1 cell deep - 4 in.,StandardOpaqueMaterial,MediumRough,4,3.6,1.111111111,85,0.21,,,,,,,,,,,,,,,,,,,,,
Clay tile - hollow - 2 cells deep - 10 in.,StandardOpaqueMaterial,MediumRough,10,4.5,2.222222222,85,0.21,,,,,,,,,,,,,,,,,,,,,
Clay tile - hollow - 2 cells deep - 6 in.,StandardOpaqueMaterial,MediumRough,6,3.9504,1.518833536,85,0.21,,,,,,,,,,,,,,,,,,,,,
