ventilation_primary_space_type,ventilation_secondary_space_type,ventilation_rate_occupant,ventilation_rate_occupant_unit,ventilation_rate_area,ventilation_rate_area_unit,occupancy_per_area,occupancy_per_area_unit,air_class,os,annotation
Food and Beverage Service,"Bars, cocktail lounges",7.5,cfm/person,0.18,cfm/ft2,100,ppl/1000 ft2,2,,
Food and Beverage Service,Cafeteria/fast-food dining,7.5,cfm/person,0.18,cfm/ft2,100,ppl/1000 ft2,2,,
Food and Beverage Service,Kitchen (cooking),7.5,cfm/person,0.12,cfm/ft2,20,ppl/1000 ft2,2,,
Food and Beverage Service,Restaurant dining rooms,7.5,cfm/person,0.18,cfm/ft2,70,ppl/1000 ft2,2,,
"Food and Beverage Service, General",Break rooms,5,cfm/person,0.06,cfm/ft2,25,ppl/1000 ft2,1,yes,
"Food and Beverage Service, General",Coffee stations,5,cfm/person,0.06,cfm/ft2,20,ppl/1000 ft2,1,yes,
"Food and Beverage Service, General",Conference/meeting,5,cfm/person,0.06,cfm/ft2,50,ppl/1000 ft2,1,yes,
"Food and Beverage Service, General",Corridors,0,cfm/person,0.06,cfm/ft2,0,ppl/1000 ft2,1,yes,
"Food and Beverage Service, General",Occupiable storage rooms for liquids or gels,5,cfm/person,0.12,cfm/ft2,2,ppl/1000 ft2,2,,
"Hotels, Motels, Resorts, Dormitories",Barracks sleeping areas,5,cfm/person,0.06,cfm/ft2,20,ppl/1000 ft2,1,yes,
"Hotels, Motels, Resorts, Dormitories",Bedroom/living room,5,cfm/person,0.06,cfm/ft2,10,ppl/1000 ft2,1,yes,
"Hotels, Motels, Resorts, Dormitories","Laundry rooms, central",5,cfm/person,0.12,cfm/ft2,10,ppl/1000 ft2,2,,
"Hotels, Motels, Resorts, Dormitories",Laundry rooms within dwelling units,5,cfm/person,0.12,cfm/ft2,10,ppl/1000 ft2,1,,
"Hotels, Motels, Resorts, Dormitories",Lobbies/prefunction,7.5,cfm/person,0.06,cfm/ft2,30,ppl/1000 ft2,1,yes,
"Hotels, Motels, Resorts, Dormitories",Multipurpose assembly,5,cfm/person,0.06,cfm/ft2,120,ppl/1000 ft2,1,yes,
Miscellaneous Spaces,Banks or bank lobbies,7.5,cfm/person,0.06,cfm/ft2,15,ppl/1000 ft2,1,yes,
Miscellaneous Spaces,Bank vaults/safe deposit,5,cfm/person,0.06,cfm/ft2,5,ppl/1000 ft2,2,yes,
Miscellaneous Spaces,Computer (not printing),5,cfm/person,0.06,cfm/ft2,4,ppl/1000 ft2,1,yes,
Miscellaneous Spaces,Freezer and refrigerated spaces (<50degF [10degC]),10,cfm/person,0,cfm/ft2,0,ppl/1000 ft2,2,,
Miscellaneous Spaces,Manufacturing where hazardous materials are not used,10,cfm/person,0.18,cfm/ft2,7,ppl/1000 ft2,2,,
Miscellaneous Spaces,Manufacturing where hazardous materials are used (excludes heavy industrial and chemical processes),10,cfm/person,0.18,cfm/ft2,7,ppl/1000 ft2,3,,
Miscellaneous Spaces,Pharmacy (prep. area),5,cfm/person,0.18,cfm/ft2,10,ppl/1000 ft2,2,,
Miscellaneous Spaces,Photo studios,5,cfm/person,0.12,cfm/ft2,10,ppl/1000 ft2,1,,
Miscellaneous Spaces,Shipping/receiving,10,cfm/person,0.12,cfm/ft2,2,ppl/1000 ft2,2,,
Miscellaneous Spaces,"Sorting, packing, light assembly",7.5,cfm/person,0.12,cfm/ft2,7,ppl/1000 ft2,2,,
Miscellaneous Spaces,Telephone closets,0,cfm/person,0,cfm/ft2,0,ppl/1000 ft2,1,,
Miscellaneous Spaces,Transportation waiting,7.5,cfm/person,0.06,cfm/ft2,100,ppl/1000 ft2,1,yes,
Miscellaneous Spaces,Warehouses,10,cfm/person,0.06,cfm/ft2,0,ppl/1000 ft2,2,,
Office Buildings,Breakrooms,5,cfm/person,0.12,cfm/ft2,50,ppl/1000 ft2,1,,
Office Buildings,Main entry lobbies,5,cfm/person,0.06,cfm/ft2,10,ppl/1000 ft2,1,yes,
Office Buildings,Occupiable storage rooms for dry materials,5,cfm/person,0.06,cfm/ft2,2,ppl/1000 ft2,1,,
Office Buildings,Office space,5,cfm/person,0.06,cfm/ft2,5,ppl/1000 ft2,1,yes,
Office Buildings,Reception areas,5,cfm/person,0.06,cfm/ft2,30,ppl/1000 ft2,1,yes,
Office Buildings,Telephone/data entry,5,cfm/person,0.06,cfm/ft2,60,ppl/1000 ft2,1,yes,
Outpatient Health Care Facilities,Birthing room,10,cfm/person,0.18,cfm/ft2,15,ppl/1000 ft2,2,,
Outpatient Health Care Facilities,Class 1 imaging rooms,5,cfm/person,0.12,cfm/ft2,5,ppl/1000 ft2,1,,
Outpatient Health Care Facilities,Dental operatory,10,cfm/person,0.18,cfm/ft2,20,ppl/1000 ft2,1,,
Outpatient Health Care Facilities,General examination room,7.5,cfm/person,0.12,cfm/ft2,20,ppl/1000 ft2,1,,
Outpatient Health Care Facilities,Other dental treatment areas,5,cfm/person,0.06,cfm/ft2,5,ppl/1000 ft2,1,,
Outpatient Health Care Facilities,Physical therapy exercise area,20,cfm/person,0.18,cfm/ft2,7,ppl/1000 ft2,2,,
Outpatient Health Care Facilities,Physical therapy individual room,10,cfm/person,0.06,cfm/ft2,20,ppl/1000 ft2,1,,
Outpatient Health Care Facilities,Physical therapeutic pool area,0,cfm/person,0.48,cfm/ft2,0,ppl/1000 ft2,2,,
Outpatient Health Care Facilities,Prosthetics and orthotics room,10,cfm/person,0.18,cfm/ft2,20,ppl/1000 ft2,1,,
Outpatient Health Care Facilities,Psychiatric consultation room,5,cfm/person,0.06,cfm/ft2,20,ppl/1000 ft2,1,,
Outpatient Health Care Facilities,Psychiatric examination room,5,cfm/person,0.06,cfm/ft2,20,ppl/1000 ft2,1,,
Outpatient Health Care Facilities,Psychiatric group room,5,cfm/person,0.06,cfm/ft2,50,ppl/1000 ft2,1,,
Outpatient Health Care Facilities,Psychiatric seclusion room,10,cfm/person,0.06,cfm/ft2,5,ppl/1000 ft2,1,,
Outpatient Health Care Facilities,Speech therapy room,5,cfm/person,0.06,cfm/ft2,20,ppl/1000 ft2,1,,
Outpatient Health Care Facilities,Urgent care examination room,7.5,cfm/person,0.12,cfm/ft2,20,ppl/1000 ft2,1,,
Outpatient Health Care Facilities,Urgent care observation room,5,cfm/person,0.06,cfm/ft2,20,ppl/1000 ft2,1,,
Outpatient Health Care Facilities,Urgent care treatment room,7.5,cfm/person,0.18,cfm/ft2,20,ppl/1000 ft2,1,,
Outpatient Health Care Facilities,Urgent care triage room,10,cfm/person,0.18,cfm/ft2,20,ppl/1000 ft2,1,,
Public Assembly Spaces,Auditorium seating area,5,cfm/person,0.06,cfm/ft2,150,ppl/1000 ft2,1,yes,
Public Assembly Spaces,Courtrooms,5,cfm/person,0.06,cfm/ft2,70,ppl/1000 ft2,1,yes,
Public Assembly Spaces,Legislative chambers,5,cfm/person,0.06,cfm/ft2,50,ppl/1000 ft2,1,yes,
Public Assembly Spaces,Libraries (public assembly),5,cfm/person,0.12,cfm/ft2,10,ppl/1000 ft2,1,,
Public Assembly Spaces,Lobbies,5,cfm/person,0.06,cfm/ft2,150,ppl/1000 ft2,1,yes,
Public Assembly Spaces,Museums (children's),7.5,cfm/person,0.12,cfm/ft2,40,ppl/1000 ft2,1,,
Public Assembly Spaces,Museums/galleries,7.5,cfm/person,0.06,cfm/ft2,40,ppl/1000 ft2,1,yes,
Public Assembly Spaces,Places of religious worship,5,cfm/person,0.06,cfm/ft2,120,ppl/1000 ft2,1,yes,
Retail,Sales (except as below),7.5,cfm/person,0.12,cfm/ft2,15,ppl/1000 ft2,2,,
Retail,Barbershop,7.5,cfm/person,0.06,cfm/ft2,25,ppl/1000 ft2,2,yes,
Retail,Beauty and nail salons,20,cfm/person,0.12,cfm/ft2,25,ppl/1000 ft2,2,,
Retail,Coin-operated laundries,7.5,cfm/person,0.12,cfm/ft2,20,ppl/1000 ft2,2,,
Retail,Mall common areas,7.5,cfm/person,0.06,cfm/ft2,40,ppl/1000 ft2,1,yes,
Retail,Pet shops (animal areas),7.5,cfm/person,0.18,cfm/ft2,10,ppl/1000 ft2,2,,
Retail,Supermarket,7.5,cfm/person,0.06,cfm/ft2,8,ppl/1000 ft2,1,yes,
Sports and Entertainment,Bowling alley (seating),10,cfm/person,0.12,cfm/ft2,40,ppl/1000 ft2,1,,
Sports and Entertainment,Disco/dance floors,20,cfm/person,0.06,cfm/ft2,100,ppl/1000 ft2,2,yes,
Sports and Entertainment,Gambling casinos,7.5,cfm/person,0.18,cfm/ft2,120,ppl/1000 ft2,1,,
Sports and Entertainment,Game arcades,7.5,cfm/person,0.18,cfm/ft2,20,ppl/1000 ft2,1,,
Sports and Entertainment,"Gym, sports arena (play area)",20,cfm/person,0.18,cfm/ft2,7,ppl/1000 ft2,2,,
Sports and Entertainment,Health club/aerobics room,20,cfm/person,0.06,cfm/ft2,40,ppl/1000 ft2,2,,
Sports and Entertainment,Health club/weight rooms,20,cfm/person,0.06,cfm/ft2,10,ppl/1000 ft2,2,,
Sports and Entertainment,Spectator areas,7.5,cfm/person,0.06,cfm/ft2,150,ppl/1000 ft2,1,yes,
Sports and Entertainment,"Stages, studios",10,cfm/person,0.06,cfm/ft2,70,ppl/1000 ft2,1,yes,
Sports and Entertainment,Swimming (pool and deck),0,cfm/person,0.48,cfm/ft2,0,ppl/1000 ft2,2,,
Transient Residential,Common corridors,0,cfm/person,0.06,cfm/ft2,0,ppl/1000 ft2,1,yes,
Transient Residential,Dwelling unit,5,cfm/person,0.06,cfm/ft2,0,ppl/1000 ft2,1,yes,
None,None,0,cfm/person,0,cfm/ft2,0,ppl/1000 ft2,,,
