Location,Province,boiler_fueltype,baseboard_type,mau_type,mau_heating_coil_type,mau_cooling_type,chiller_type,heating_coil_type_sys_3,heating_coil_type_sys4and6,fan_type,,,,,,,,,,,
  Stephenville_NF_CAN,Newfoundland,Electricity,Electricity,TRUE,Electric,DX,Scroll,Electric,Electric,var_speed_drive,,,,,,,,,,,
  Battle Harbour_NF_CAN,Newfoundland,Electricity,Electricity,TRUE,Electric,DX,Scroll,Electric,Electric,var_speed_drive,,,,,,,,,,,
  Saint John_NB_CAN,New Brunswick,NaturalGas,Hot Water,TRUE,Hot Water,DX,Scroll,Gas,Gas,var_speed_drive,,,,,,,,,,,
  Fredericton_NB_CAN,New Brunswick,NaturalGas,Hot Water,TRUE,Hot Water,DX,Scroll,Gas,Gas,var_speed_drive,,,,,,,,,,,
  Miramichi_NB_CAN,New Brunswick,NaturalGas,Hot Water,TRUE,Hot Water,DX,Scroll,Gas,Gas,var_speed_drive,,,,,,,,,,,
  Greenwood_NS_CAN,Nova Scotia,NaturalGas,Hot Water,TRUE,Hot Water,DX,Scroll,Gas,Gas,var_speed_drive,,,,,,,,,,,
  Truro_NS_CAN,Nova Scotia,NaturalGas,Hot Water,TRUE,Hot Water,DX,Scroll,Gas,Gas,var_speed_drive,,,,,,,,,,,
  Sable Island_NS_CAN,Nova Scotia,NaturalGas,Hot Water,TRUE,Hot Water,DX,Scroll,Gas,Gas,var_speed_drive,,,,,,,,,,,
  Sydney_NS_CAN,Nova Scotia,NaturalGas,Hot Water,TRUE,Hot Water,DX,Scroll,Gas,Gas,var_speed_drive,,,,,,,,,,,
  Shearwater_NS_CAN,Nova Scotia,NaturalGas,Hot Water,TRUE,Hot Water,DX,Scroll,Gas,Gas,var_speed_drive,,,,,,,,,,,
  Charlottetown CDA_PE_CAN,Prince Edward Island,Electricity,Electricity,TRUE,Electric,DX,Scroll,Electric,Electric,var_speed_drive,,,,,,,,,,,
  Ottawa Int'l_ON_CAN,Ontario,NaturalGas,Hot Water,TRUE,Hot Water,DX,Scroll,Gas,Gas,var_speed_drive,,,,,,,,,,,
  Trenton_ON_CAN,Ontario,NaturalGas,Hot Water,TRUE,Hot Water,DX,Scroll,Gas,Gas,var_speed_drive,,,,,,,,,,,
  North Bay_ON_CAN,Ontario,NaturalGas,Hot Water,TRUE,Hot Water,DX,Scroll,Gas,Gas,var_speed_drive,,,,,,,,,,,
  Kingston_ON_CAN,Ontario,NaturalGas,Hot Water,TRUE,Hot Water,DX,Scroll,Gas,Gas,var_speed_drive,,,,,,,,,,,
  Toronto Int'l_ON_CAN,Ontario,NaturalGas,Hot Water,TRUE,Hot Water,DX,Scroll,Gas,Gas,var_speed_drive,,,,,,,,,,,
  Timmins_ON_CAN,Ontario,NaturalGas,Hot Water,TRUE,Hot Water,DX,Scroll,Gas,Gas,var_speed_drive,,,,,,,,,,,
  Mount Forest_ON_CAN,Ontario,NaturalGas,Hot Water,TRUE,Hot Water,DX,Scroll,Gas,Gas,var_speed_drive,,,,,,,,,,,
  Muskoka_ON_CAN,Ontario,NaturalGas,Hot Water,TRUE,Hot Water,DX,Scroll,Gas,Gas,var_speed_drive,,,,,,,,,,,
  Windsor_ON_CAN,Ontario,NaturalGas,Hot Water,TRUE,Hot Water,DX,Scroll,Gas,Gas,var_speed_drive,,,,,,,,,,,
  London_ON_CAN,Ontario,NaturalGas,Hot Water,TRUE,Hot Water,DX,Scroll,Gas,Gas,var_speed_drive,,,,,,,,,,,
  Simcoe_ON_CAN,Ontario,NaturalGas,Hot Water,TRUE,Hot Water,DX,Scroll,Gas,Gas,var_speed_drive,,,,,,,,,,,
  Thunder Bay_ON_CAN,Ontario,NaturalGas,Hot Water,TRUE,Hot Water,DX,Scroll,Gas,Gas,var_speed_drive,,,,,,,,,,,
  Sault Ste Marie_ON_CAN,Ontario,NaturalGas,Hot Water,TRUE,Hot Water,DX,Scroll,Gas,Gas,var_speed_drive,,,,,,,,,,,
  The Pas_MB_CAN,Manitoba,Electricity,Electricity,TRUE,Electric,DX,Scroll,Electric,Electric,var_speed_drive,,,,,,,,,,,
  The Pas_MB_CAN,Manitoba,Electricity,Electricity,TRUE,Electric,DX,Scroll,Electric,Electric,var_speed_drive,,,,,,,,,,,
  Winnipeg Int'l_MB_CAN,Manitoba,Electricity,Electricity,TRUE,Electric,DX,Scroll,Electric,Electric,var_speed_drive,,,,,,,,,,,
  Churchill_MB_CAN,Manitoba,Electricity,Electricity,TRUE,Electric,DX,Scroll,Electric,Electric,var_speed_drive,,,,,,,,,,,
  Brandon_MB_CAN,Manitoba,Electricity,Electricity,TRUE,Electric,DX,Scroll,Electric,Electric,var_speed_drive,,,,,,,,,,,
  Regina_SK_CAN,Saskatchewan,NaturalGas,Hot Water,TRUE,Hot Water,DX,Scroll,Gas,Gas,var_speed_drive,,,,,,,,,,,
  North Battleford_SK_CAN,Saskatchewan,NaturalGas,Hot Water,TRUE,Hot Water,DX,Scroll,Gas,Gas,var_speed_drive,,,,,,,,,,,
  Estevan_SK_CAN,Saskatchewan,NaturalGas,Hot Water,TRUE,Hot Water,DX,Scroll,Gas,Gas,var_speed_drive,,,,,,,,,,,
  Saskatoon_SK_CAN,Saskatchewan,NaturalGas,Hot Water,TRUE,Hot Water,DX,Scroll,Gas,Gas,var_speed_drive,,,,,,,,,,,
  Swift Current_SK_CAN,Saskatchewan,NaturalGas,Hot Water,TRUE,Hot Water,DX,Scroll,Gas,Gas,var_speed_drive,,,,,,,,,,,
  Calgary Int'l_AB_CAN,Alberta,NaturalGas,Hot Water,TRUE,Hot Water,DX,Scroll,Gas,Gas,var_speed_drive,,,,,,,,,,,
  Medicine Hat_AB_CAN,Alberta,NaturalGas,Hot Water,TRUE,Hot Water,DX,Scroll,Gas,Gas,var_speed_drive,,,,,,,,,,,
  Lethbridge_AB_CAN,Alberta,NaturalGas,Hot Water,TRUE,Hot Water,DX,Scroll,Gas,Gas,var_speed_drive,,,,,,,,,,,
  Grand Prairie_AB_CAN,Alberta,NaturalGas,Hot Water,TRUE,Hot Water,DX,Scroll,Gas,Gas,var_speed_drive,,,,,,,,,,,
  Fort McMurray_AB_CAN,Alberta,NaturalGas,Hot Water,TRUE,Hot Water,DX,Scroll,Gas,Gas,var_speed_drive,,,,,,,,,,,
  Edmonton Stony Plain_AB_CAN,Alberta,NaturalGas,Hot Water,TRUE,Hot Water,DX,Scroll,Gas,Gas,var_speed_drive,,,,,,,,,,,
  Abbotsford_BC_CAN,British Columbia,NaturalGas,Hot Water,TRUE,Hot Water,DX,Scroll,Gas,Gas,var_speed_drive,,,,,,,,,,,
  Kamloops_BC_CAN,British Columbia,NaturalGas,Hot Water,TRUE,Hot Water,DX,Scroll,Gas,Gas,var_speed_drive,,,,,,,,,,,
  Vancouver Int'l_BC_CAN,British Columbia,NaturalGas,Hot Water,TRUE,Hot Water,DX,Scroll,Gas,Gas,var_speed_drive,,,,,,,,,,,
  Cranbrook_BC_CAN,British Columbia,NaturalGas,Hot Water,TRUE,Hot Water,DX,Scroll,Gas,Gas,var_speed_drive,,,,,,,,,,,
  Summerland_BC_CAN,British Columbia,NaturalGas,Hot Water,TRUE,Hot Water,DX,Scroll,Gas,Gas,var_speed_drive,,,,,,,,,,,
  Victoria Int'l_BC_CAN,British Columbia,NaturalGas,Hot Water,TRUE,Hot Water,DX,Scroll,Gas,Gas,var_speed_drive,,,,,,,,,,,
  Sandspit_BC_CAN,British Columbia,NaturalGas,Hot Water,TRUE,Hot Water,DX,Scroll,Gas,Gas,var_speed_drive,,,,,,,,,,,
  Port Hardy_BC_CAN,British Columbia,NaturalGas,Hot Water,TRUE,Hot Water,DX,Scroll,Gas,Gas,var_speed_drive,,,,,,,,,,,
  Comox_BC_CAN,British Columbia,NaturalGas,Hot Water,TRUE,Hot Water,DX,Scroll,Gas,Gas,var_speed_drive,,,,,,,,,,,
  Prince Rupert_BC_CAN,British Columbia,NaturalGas,Hot Water,TRUE,Hot Water,DX,Scroll,Gas,Gas,var_speed_drive,,,,,,,,,,,
  Fort St John_BC_CAN,British Columbia,NaturalGas,Hot Water,TRUE,Hot Water,DX,Scroll,Gas,Gas,var_speed_drive,,,,,,,,,,,
  Prince George_BC_CAN,British Columbia,NaturalGas,Hot Water,TRUE,Hot Water,DX,Scroll,Gas,Gas,var_speed_drive,,,,,,,,,,,
  Smithers_BC_CAN,British Columbia,NaturalGas,Hot Water,TRUE,Hot Water,DX,Scroll,Gas,Gas,var_speed_drive,,,,,,,,,,,
  Whitehorse_YT_CAN,Yukon,FuelOil#1,Hot Water,TRUE,Hot Water,DX,Scroll,Electric,Electric,var_speed_drive,,,,,,,,,,,
  Inuvik Ua_NT_CAN,Northwest Territories,FuelOil#1,Hot Water,TRUE,Hot Water,DX,Scroll,Electric,Electric,var_speed_drive,,,,,,,,,,,
  Resolute_NU_CAN,Nunavut,FuelOil#2,Hot Water,TRUE,Hot Water,DX,Scroll,Electric,Electric,var_speed_drive,,,,,,,,,,,
