Utility,City,Province,Monthly_Charge_($),Energy_Charges_Block_1_Limit_(kWh),Energy_Charges_Block_1_Rate_($),Energy_Charges_Block_2_Limit_(kWh),Energy_Charges_Block_2_Rate_($),Energy_Charges_Block_3_Limit_(kWh),Energy_Charges_Block_3_Rate_($),Energy_Charges_Block_4_Limit_(kWh),Energy_Charges_Block_4_Rate_($),Energy_Charges_Block_5_Rate_($),Demand_Charges_Block_1_Limit_(kW),Demand_Charges_Block_1_Rate_($),Demand_Charges_Block_2_Limit_(kW),Demand_Charges_Block_2_Rate_($),Demand_Charges_Block_3_Limit_(kW),Demand_Charges_Block_3_Rate_($),Demand_Charges_Block_4_Limit_(kW),Demand_Charges_Block_4_Rate_($),Demand_Charges_Block_5_Rate_($)
OttawaHydro,  Ottawa Int'l_ON_CAN,Ontario,260.82,750.0,0.094,751.0,0.11,752.0,0.11,753.0,0.11,0.11,50.0,0.0,51.0,8.12304,52.0,8.12304,53.0,8.12304,8.12304
OttawaHydro,  Trenton_ON_CAN,Ontario,260.82,750.0,0.094,751.0,0.11,752.0,0.11,753.0,0.11,0.11,50.0,0.0,51.0,8.12304,52.0,8.12304,53.0,8.12304,8.12304
OttawaHydro,  North Bay_ON_CAN,Ontario,260.82,750.0,0.094,751.0,0.11,752.0,0.11,753.0,0.11,0.11,50.0,0.0,51.0,8.12304,52.0,8.12304,53.0,8.12304,8.12304
OttawaHydro,  Kingston_ON_CAN,Ontario,260.82,750.0,0.094,751.0,0.11,752.0,0.11,753.0,0.11,0.11,50.0,0.0,51.0,8.12304,52.0,8.12304,53.0,8.12304,8.12304
TorontoHydro,  Toronto Int'l_ON_CAN,Ontario,55.08,750.0,0.094,751.0,0.11,752.0,0.11,753.0,0.11,0.11,1.0,7.86,2.0,7.86,3.0,7.86,4.0,7.86,7.86
SudburyHydro,  Timmins_ON_CAN,Ontario,165.09,750.0,0.094,751.0,0.11,752.0,0.11,753.0,0.11,0.11,50.0,0.0,51.0,10.0647,52.0,10.0647,53.0,10.0647,10.0647
Kitchener-WilmotHydro,  Mount Forest_ON_CAN,Ontario,172.47,750.0,0.094,751.0,0.11,752.0,0.11,753.0,0.11,0.11,50.0,0.0,51.0,8.0993,52.0,8.0993,53.0,8.0993,8.0993
Kitchener-WilmotHydro,  Muskoka_ON_CAN,Ontario,172.47,750.0,0.094,751.0,0.11,752.0,0.11,753.0,0.11,0.11,50.0,0.0,51.0,8.0993,52.0,8.0993,53.0,8.0993,8.0993
LondonHydro,  Windsor_ON_CAN,Ontario,154.54,750.0,0.094,751.0,0.11,752.0,0.11,753.0,0.11,0.11,1.0,6.8987,2.0,6.8987,3.0,6.8987,4.0,6.8987,6.8987
LondonHydro,  London_ON_CAN,Ontario,154.54,750.0,0.094,751.0,0.11,752.0,0.11,753.0,0.11,0.11,1.0,6.8987,2.0,6.8987,3.0,6.8987,4.0,6.8987,6.8987
LondonHydro,  Simcoe_ON_CAN,Ontario,154.54,750.0,0.094,751.0,0.11,752.0,0.11,753.0,0.11,0.11,1.0,6.8987,2.0,6.8987,3.0,6.8987,4.0,6.8987,6.8987
ThunderBayHydro,  Thunder Bay_ON_CAN,Ontario,0.0,750.0,0.094,751.0,0.11,752.0,0.11,753.0,0.11,0.11,1.0,6.0451,2.0,6.0451,3.0,6.0451,4.0,6.0451,6.0451
SaultPUC,  Sault Ste Marie_ON_CAN,Ontario,112.82,750.0,0.094,751.0,0.11,752.0,0.11,753.0,0.11,0.11,50.0,0.0,51.0,10.9659,52.0,10.9659,53.0,10.9659,10.9659
ManitobaHydro,  The Pas_MB_CAN,Manitboa,29.36,11000.0,0.07752,19500.0,0.05381,19501.0,0.03552,19502.0,0.03552,0.03552,50.0,0.0,51.0,9.09,52.0,9.09,53.0,9.09,9.09
ManitobaHydro,  Winnipeg Int'l_MB_CAN,Manitboa,29.36,11000.0,0.07752,19500.0,0.05381,19501.0,0.03552,19502.0,0.03552,0.03552,50.0,0.0,51.0,9.09,52.0,9.09,53.0,9.09,9.09
ManitobaHydro,  Churchill_MB_CAN,Manitboa,29.36,11000.0,0.07752,19500.0,0.05381,19501.0,0.03552,19502.0,0.03552,0.03552,50.0,0.0,51.0,9.09,52.0,9.09,53.0,9.09,9.09
ManitobaHydro,  Brandon_MB_CAN,Manitboa,29.36,11000.0,0.07752,19500.0,0.05381,19501.0,0.03552,19502.0,0.03552,0.03552,50.0,0.0,51.0,9.09,52.0,9.09,53.0,9.09,9.09
SaskPower,  Regina_SK_CAN,Saskatchewan,49.58,16750.0,0.10453,16751.0,0.06729,16752.0,0.06729,16753.0,0.06729,0.06729,50.0,0.0,51.0,13.4,52.0,13.4,53.0,13.4,13.4
SaskPower,  North Battleford_SK_CAN,Saskatchewan,49.58,16750.0,0.10453,16751.0,0.06729,16752.0,0.06729,16753.0,0.06729,0.06729,50.0,0.0,51.0,13.4,52.0,13.4,53.0,13.4,13.4
SaskatoonLightandPower,  Estevan_SK_CAN,Saskatchewan,30.29,16750.0,0.1299,16751.0,0.0685,16752.0,0.0685,16753.0,0.0685,0.0685,50.0,0.0,51.0,14.41,52.0,14.41,53.0,14.41,14.41
SaskatoonLightandPower,  Saskatoon_SK_CAN,Saskatchewan,30.29,16750.0,0.1299,16751.0,0.0685,16752.0,0.0685,16753.0,0.0685,0.0685,50.0,0.0,51.0,14.41,52.0,14.41,53.0,14.41,14.41
SaskPower,  Swift Current_SK_CAN,Saskatchewan,49.58,16750.0,0.10453,16751.0,0.06729,16752.0,0.06729,16753.0,0.06729,0.06729,50.0,0.0,51.0,13.4,52.0,13.4,53.0,13.4,13.4
Enmax,  Calgary Int'l_AB_CAN,Alberta,166.19,5000.0,0.082162,5001.0,0.082162,5002.0,0.082162,5003.0,0.082162,0.082162,1.0,4.67067,2.0,4.67067,3.0,4.67067,4.0,4.67067,4.67067
Enmax,  Medicine Hat_AB_CAN,Alberta,166.19,5000.0,0.082162,5001.0,0.082162,5002.0,0.082162,5003.0,0.082162,0.082162,1.0,4.67067,2.0,4.67067,3.0,4.67067,4.0,4.67067,4.67067
Enmax,  Lethbridge_AB_CAN,Alberta,166.19,5000.0,0.082162,5001.0,0.082162,5002.0,0.082162,5003.0,0.082162,0.082162,1.0,4.67067,2.0,4.67067,3.0,4.67067,4.0,4.67067,4.67067
Epcor,  Grand Prairie_AB_CAN,Alberta,831.99,750.0,0.1299,751.0,0.1299,752.0,0.1299,753.0,0.1299,0.1299,150.0,2.1165,151.0,2.1165,152.0,2.1165,153.0,2.1165,2.1165
Epcor,  Fort McMurray_AB_CAN,Alberta,831.99,750.0,0.1299,751.0,0.1299,752.0,0.1299,753.0,0.1299,0.1299,150.0,2.1165,151.0,2.1165,152.0,2.1165,153.0,2.1165,2.1165
Epcor,  Edmonton Stony Plain_AB_CAN,Alberta,831.99,750.0,0.1299,751.0,0.1299,752.0,0.1299,753.0,0.1299,0.1299,150.0,2.1165,151.0,2.1165,152.0,2.1165,153.0,2.1165,2.1165
BCHydro,  Abbotsford_BC_CAN,British Columbia,6.771,14800.0,0.0989,14801.0,0.069,14802.0,0.069,14803.0,0.069,0.069,35.0,0.0,115.0,5.5,116.0,10.55,117.0,10.55,10.55
BCHydro,  Kamloops_BC_CAN,British Columbia,6.771,14800.0,0.0989,14801.0,0.069,14802.0,0.069,14803.0,0.069,0.069,35.0,0.0,115.0,5.5,116.0,10.55,117.0,10.55,10.55
BCHydro,  Vancouver Int'l_BC_CAN,British Columbia,6.771,14800.0,0.0989,14801.0,0.069,14802.0,0.069,14803.0,0.069,0.069,35.0,0.0,115.0,5.5,116.0,10.55,117.0,10.55,10.55
BCHydro,  Cranbrook_BC_CAN,British Columbia,6.771,14800.0,0.0989,14801.0,0.069,14802.0,0.069,14803.0,0.069,0.069,35.0,0.0,115.0,5.5,116.0,10.55,117.0,10.55,10.55
BCHydro,  Summerland_BC_CAN,British Columbia,6.771,14800.0,0.0989,14801.0,0.069,14802.0,0.069,14803.0,0.069,0.069,35.0,0.0,115.0,5.5,116.0,10.55,117.0,10.55,10.55
Fortis,  Victoria Int'l_BC_CAN,British Columbia,14.81,8000.0,0.07802,8001.0,0.06477,8002.0,0.06477,8003.0,0.06477,0.06477,40.0,0.0,41.0,7.75,42.0,7.75,43.0,7.75,7.75
Fortis,  Sandspit_BC_CAN,British Columbia,14.81,8000.0,0.07802,8001.0,0.06477,8002.0,0.06477,8003.0,0.06477,0.06477,40.0,0.0,41.0,7.75,42.0,7.75,43.0,7.75,7.75
Fortis,  Port Hardy_BC_CAN,British Columbia,14.81,8000.0,0.07802,8001.0,0.06477,8002.0,0.06477,8003.0,0.06477,0.06477,40.0,0.0,41.0,7.75,42.0,7.75,43.0,7.75,7.75
Fortis,  Comox_BC_CAN,British Columbia,14.81,8000.0,0.07802,8001.0,0.06477,8002.0,0.06477,8003.0,0.06477,0.06477,40.0,0.0,41.0,7.75,42.0,7.75,43.0,7.75,7.75
BCHydro,  Prince Rupert_BC_CAN,British Columbia,6.771,14800.0,0.0989,14801.0,0.069,14802.0,0.069,14803.0,0.069,0.069,35.0,0.0,115.0,5.5,116.0,10.55,117.0,10.55,10.55
BCHydro,  Fort St John_BC_CAN,British Columbia,6.771,14800.0,0.0989,14801.0,0.069,14802.0,0.069,14803.0,0.069,0.069,35.0,0.0,115.0,5.5,116.0,10.55,117.0,10.55,10.55
BCHydro,  Prince George_BC_CAN,British Columbia,6.771,14800.0,0.0989,14801.0,0.069,14802.0,0.069,14803.0,0.069,0.069,35.0,0.0,115.0,5.5,116.0,10.55,117.0,10.55,10.55
BCHydro,  Smithers_BC_CAN,British Columbia,6.771,14800.0,0.0989,14801.0,0.069,14802.0,0.069,14803.0,0.069,0.069,35.0,0.0,115.0,5.5,116.0,10.55,117.0,10.55,10.55
AtcoElectric,  Whitehorse_YT_CAN,Yukon,36.95,2000.0,0.114386,15000.0,0.147329,15001.0,0.1471,15002.0,0.1471,0.1471,1.0,7.39,2.0,7.39,3.0,7.39,4.0,7.39,7.39
NorthlandsPower,  Inuvik Ua_NT_CAN,Northwest Territories,73.86,5000.0,0.226555,5001.0,0.226555,5002.0,0.226555,5003.0,0.226555,0.226555,1.0,14.68,2.0,14.68,3.0,14.68,4.0,14.68,14.68
Quilliq,  Resolute_NU_CAN,Nunavut,0.0,5000.0,0.55038,5001.0,0.55038,5002.0,0.55038,5003.0,0.55038,0.55038,1.0,0.0,2.0,0.0,3.0,0.0,4.0,0.0,0.0
