lighting_type_id,description,source,type,id,id_layers,unit,Id_layers_quantity_multipliers,material_descriptions,W/m2,Fix_1000ft
11,"H.I.D. High Bay (16 ft above work plane) 4 W/ft2 (43 W/m2), 210FC, 4 Fixtures per 1000 ft2",rs-means,Assembly,D50202260880,"12,13,14,15,60",ft2,"0.014,0.64,0.004,0.004,0.004","Wire 600V #10 in raceway
Metal conduit. 0.5 in diamater, 11 coupling per 100 LF
Steel Outlet boxes, set flush in concrete 4 "" deep
Steel Outlet boxes, on framing
Metal Halide 1000 W bulb Surface Mount, aluminum reflector, includes hardware
",43.0,4
12,"H.I.D. High Bay (16 ft above work plane) 5 W/ft2 (54 W/m2), 262FC, 5Fixtures per 1000 ft2",rs-means,Assembly,D50202261080,"12,13,14,15,60",ft2,"0.017,0.8,0.005,0.005,0.005","Wire 600V #10 in raceway
Metal conduit. 0.5 in diamater, 11 coupling per 100 LF
Steel Outlet boxes, set flush in concrete 4 "" deep
Steel Outlet boxes, on framing
Metal Halide 1000 W bulb Surface Mount, aluminum reflector, includes hardware
",54.0,5
13,"H.I.D. High Bay (20 ft above work plane) 1 W/ft2 (10.8 W/m2), 50FC, 1 Fixtures per 1000 ft2",rs-means,Assembly,D50202300280,"12,13,14,15,60",ft2,"0.005,0.16,0.001,0.001,0.001","Wire 600V #10 in raceway
Metal conduit. 0.5 in diamater, 11 coupling per 100 LF
Steel Outlet boxes, set flush in concrete 4 "" deep
Steel Outlet boxes, on framing
Metal Halide 1000 W bulb Surface Mount, aluminum reflector, includes hardware
",10.8,1
14,"H.I.D. High Bay (20 ft above work plane) 2 W/ft2 (21.5 W/m2), 101FC, 2 Fixtures per 1000 ft2",rs-means,Assembly,D50202300480,"12,13,14,15,60",ft2,"0.01,0.32,0.002,0.002,0.002","Wire 600V #10 in raceway
Metal conduit. 0.5 in diamater, 11 coupling per 100 LF
Steel Outlet boxes, set flush in concrete 4 "" deep
Steel Outlet boxes, on framing
Metal Halide 1000 W bulb Surface Mount, aluminum reflector, includes hardware
",21.5,2
15,"H.I.D. High Bay (20 ft above work plane) 4 W/ft2 (43 W/m2), 202FC, 4 Fixtures per 1000 ft2",rs-means,Assembly,D50202300880,"12,13,14,15,60",ft2,"0.02,0.64,0.004,0.004,0.004","Wire 600V #10 in raceway
Metal conduit. 0.5 in diamater, 11 coupling per 100 LF
Steel Outlet boxes, set flush in concrete 4 "" deep
Steel Outlet boxes, on framing
Metal Halide 1000 W bulb Surface Mount, aluminum reflector, includes hardware
",43.0,4
16,"H.I.D. High Bay (20 ft above work plane) 5 W/ft2 (54 W/m2), 252FC, 5 Fixtures per 1000 ft2",rs-means,Assembly,D50202301040,"12,13,14,15,60",ft2,"0.025,0.8,0.005,0.005,0.005","Wire 600V #10 in raceway
Metal conduit. 0.5 in diamater, 11 coupling per 100 LF
Steel Outlet boxes, set flush in concrete 4 "" deep
Steel Outlet boxes, on framing
Metal Halide 1000 W bulb Surface Mount, aluminum reflector, includes hardware
",54.0,5
17,"H.I.D. Low Bay (16 ft above work plane) 1 W/ft2 (10.8 W/m2), 28FC, 4 Fixtures per 1000 ft2",rs-means,Assembly,D50202420240,"12,13,14,15,61",ft2,"0.01,0.328,0.004,0.004,0.004","Wire 600V #10 in raceway
Metal conduit. 0.5 in diamater, 11 coupling per 100 LF
Steel Outlet boxes, set flush in concrete 4 "" deep
Steel Outlet boxes, on framing
Metal Halide 250W lamps Type J Low Bay Surface Mount, aluminum reflector 28FC, includes hardware
",10.8,4
18,"H.I.D. Low Bay (16 ft above work plane) 2 W/ft2 (21.5 W/m2), 48FC, 7 Fixtures per 1000 ft2",rs-means,Assembly,D50202420400,"12,13,14,15,61",ft2,"0.02,0.656,0.007,0.007,0.007","Wire 600V #10 in raceway
Metal conduit. 0.5 in diamater, 11 coupling per 100 LF
Steel Outlet boxes, set flush in concrete 4 "" deep
Steel Outlet boxes, on framing
Metal Halide 250W lamps Type J Low Bay Surface Mount, aluminum reflector 28FC, includes hardware
",21.5,7
19,"H.I.D. Low Bay (16 ft above work plane) 4 W/ft2 (43 W/m2), 95FC, 14 Fixtures per 1000 ft2",rs-means,Assembly,D50202420720,"12,13,14,15,61",ft2,"0.04,1.312,0.014,0.014,0.014","Wire 600V #10 in raceway
Metal conduit. 0.5 in diamater, 11 coupling per 100 LF
Steel Outlet boxes, set flush in concrete 4 "" deep
Steel Outlet boxes, on framing
Metal Halide 250W lamps Type J Low Bay Surface Mount, aluminum reflector 28FC, includes hardware
",43.0,14
20,"H.I.D. Low Bay (16 ft above work plane) 5 W/ft2 (54 W/m2), 122FC, 18 Fixtures per 1000 ft2",rs-means,Assembly,D50202420880,"12,13,14,15,61",ft2,"0.05,1.64,0.018,0.018,0.018","Wire 600V #10 in raceway
Metal conduit. 0.5 in diamater, 11 coupling per 100 LF
Steel Outlet boxes, set flush in concrete 4 "" deep
Steel Outlet boxes, on framing
Metal Halide 250W lamps Type J Low Bay Surface Mount, aluminum reflector 28FC, includes hardware
",54.0,18
21,"LED Lighting 23 W 2 x4 troffer recess mounted 400 Lux,  12 Fixtures/1000 Ft2 for max. 8 ft ceiling",rs-means,Assembly,D50202100500,"10,13,14,15,104",ft2,"0.003,0.128,0.012,0.012,0.012","Wire 600V #14 Stranded THWN-THHN
Metal conduit. 0.5 in diamater, 11 coupling per 100 LF
Steel Outlet boxes, set flush in concrete 4 "" deep
Steel Outlet boxes, on framing
Interior LED fixtures, troffer, recess mounted, 37 Watts, 3200 Lumens, 2' x 4', incl lamps, mounting hardware and connections, replaces 2 T8s
",3.0,12
22,"LED Lighting 23 W 2 x4 troffer recess mounted 188 Lux,  6 Fixtures/1000 Ft2 for max. 8 foot ceilings",rs-means,Assembly,D50202100500,"10,13,14,15,104",ft2,"0.003,0.128,0.006,0.006,0.006","Wire 600V #14 Stranded THWN-THHN
Metal conduit. 0.5 in diamater, 11 coupling per 100 LF
Steel Outlet boxes, set flush in concrete 4 "" deep
Steel Outlet boxes, on framing
Interior LED fixtures, troffer, recess mounted, 37 Watts, 3200 Lumens, 2' x 4', incl lamps, mounting hardware and connections, replaces 2 T8s
",1.6,6
23,"LED Lighting 23 W 2 x4 troffer recess mounted 400 Lux,  20 Fixtures/1000 Ft2 for max. 15 ft. ceilings",rs-means,Assembly,D50202100500,"10,13,14,15,104",ft2,"0.003,0.128,0.02,0.02,0.02","Wire 600V #14 Stranded THWN-THHN
Metal conduit. 0.5 in diamater, 11 coupling per 100 LF
Steel Outlet boxes, set flush in concrete 4 "" deep
Steel Outlet boxes, on framing
Interior LED fixtures, troffer, recess mounted, 37 Watts, 3200 Lumens, 2' x 4', incl lamps, mounting hardware and connections, replaces 2 T8s
",5.0,20
24,"LED Lighting 23 W 2 x4 troffer recess mounted 200 Lux,  9 Fixtures/1000 Ft2 for max. 15 ft. ceilings",rs-means,Assembly,D50202100500,"10,13,14,15,104",ft2,"0.003,0.128,0.009,0.009,0.009","Wire 600V #14 Stranded THWN-THHN
Metal conduit. 0.5 in diamater, 11 coupling per 100 LF
Steel Outlet boxes, set flush in concrete 4 "" deep
Steel Outlet boxes, on framing
Interior LED fixtures, troffer, recess mounted, 37 Watts, 3200 Lumens, 2' x 4', incl lamps, mounting hardware and connections, replaces 2 T8s
",2.26,9
25,"LED Lighting 23 W 2 x4 troffer recess mounted 500 Lux,  16 Fixtures/1000 Ft2 for max. 8 ft. ceilings",rs-means,Assembly,D50202100500,"10,13,14,15,104",ft2,"0.003,0.128,0.016,0.016,0.016","Wire 600V #14 Stranded THWN-THHN
Metal conduit. 0.5 in diamater, 11 coupling per 100 LF
Steel Outlet boxes, set flush in concrete 4 "" deep
Steel Outlet boxes, on framing
Interior LED fixtures, troffer, recess mounted, 37 Watts, 3200 Lumens, 2' x 4', incl lamps, mounting hardware and connections, replaces 2 T8s
",4.0,16
26,"LED Lighting 23 W 2 x4 troffer recess mounted 600 Lux,  20 Fixtures/1000 Ft2 for max. 8 ft. ceilings",rs-means,Assembly,D50202100500,"10,13,14,15,104",ft2,"0.003,0.128,0.02,0.02,0.02","Wire 600V #14 Stranded THWN-THHN
Metal conduit. 0.5 in diamater, 11 coupling per 100 LF
Steel Outlet boxes, set flush in concrete 4 "" deep
Steel Outlet boxes, on framing
Interior LED fixtures, troffer, recess mounted, 37 Watts, 3200 Lumens, 2' x 4', incl lamps, mounting hardware and connections, replaces 2 T8s
",5.0,20
27,"LED Lighting 23 W 2 x4 troffer recess mounted 1000 Lux,  36 Fixtures/1000 Ft2 for max. 8 ft. ceilings",rs-means,Assembly,D50202100500,"10,13,14,15,104",ft2,"0.003,0.128,0.036,0.036,0.036","Wire 600V #14 Stranded THWN-THHN
Metal conduit. 0.5 in diamater, 11 coupling per 100 LF
Steel Outlet boxes, set flush in concrete 4 "" deep
Steel Outlet boxes, on framing
Interior LED fixtures, troffer, recess mounted, 37 Watts, 3200 Lumens, 2' x 4', incl lamps, mounting hardware and connections, replaces 2 T8s
",9.0,36
28,"LED Lighting 22 W strip LED suspended 350 Lux,  16 Fixtures/1000 Ft2 for max. 8 ft. ceilings",rs-means,Assembly,D50202100500,"10,13,14,15,111",ft2,"0.003,0.128,0.016,0.016,0.016","Wire 600V #14 Stranded THWN-THHN
Metal conduit. 0.5 in diamater, 11 coupling per 100 LF
Steel Outlet boxes, set flush in concrete 4 "" deep
Steel Outlet boxes, on framing
Interior LED fixtures, strip, surface mounted, 37 Watts, 3500K, one light bar 4' long, incl lamps, mounting hardware and connections
",4.0,16
29,"LED Lighting 22 W strip LED suspended 150 Lux,  6 Fixtures/1000 Ft2 for max. 8 ft. ceilings",rs-means,Assembly,D50202100500,"10,13,14,15,111",ft2,"0.003,0.128,0.006,0.006,0.006","Wire 600V #14 Stranded THWN-THHN
Metal conduit. 0.5 in diamater, 11 coupling per 100 LF
Steel Outlet boxes, set flush in concrete 4 "" deep
Steel Outlet boxes, on framing
Interior LED fixtures, strip, surface mounted, 37 Watts, 3500K, one light bar 4' long, incl lamps, mounting hardware and connections
",2.5,6
30,"LED Lighting 25 W  LED suspended 300 Lux,  12 Fixtures/1000 Ft2 for max. 8 ft. ceilings",rs-means,Assembly,D50202100500,"10,13,14,15,114",ft2,"0.003,0.128,0.012,0.012,0.012","Wire 600V #14 Stranded THWN-THHN
Metal conduit. 0.5 in diamater, 11 coupling per 100 LF
Steel Outlet boxes, set flush in concrete 4 "" deep
Steel Outlet boxes, on framing
Interior LED fixtures, linear, suspended mounted, 37 watt, one light bar 4' long, incl lamps, mounting hardware and connections
",3.3,12
31,"LED Lighting 25 W  LED suspended 400 Lux,  16 Fixtures/1000 Ft2 for max. 8 ft. ceilings",rs-means,Assembly,D50202100500,"10,13,14,15,114",ft2,"0.003,0.128,0.016,0.016,0.016","Wire 600V #14 Stranded THWN-THHN
Metal conduit. 0.5 in diamater, 11 coupling per 100 LF
Steel Outlet boxes, set flush in concrete 4 "" deep
Steel Outlet boxes, on framing
Interior LED fixtures, linear, suspended mounted, 37 watt, one light bar 4' long, incl lamps, mounting hardware and connections
",4.3,16
32,"LED Lighting 25 W  LED suspended 500 Lux,  20 Fixtures/1000 Ft2 for max. 8 ft. ceilings",rs-means,Assembly,D50202100500,"10,13,14,15,114",ft2,"0.003,0.128,0.02,0.02,0.02","Wire 600V #14 Stranded THWN-THHN
Metal conduit. 0.5 in diamater, 11 coupling per 100 LF
Steel Outlet boxes, set flush in concrete 4 "" deep
Steel Outlet boxes, on framing
Interior LED fixtures, linear, suspended mounted, 37 watt, one light bar 4' long, incl lamps, mounting hardware and connections
",5.2,20
33,"LED Lighting 25 W  LED suspended 600 Lux,  25 Fixtures/1000 Ft2 for max. 8 ft. ceilings",rs-means,Assembly,D50202100500,"10,13,14,15,114",ft2,"0.003,0.128,0.025,0.025,0.025","Wire 600V #14 Stranded THWN-THHN
Metal conduit. 0.5 in diamater, 11 coupling per 100 LF
Steel Outlet boxes, set flush in concrete 4 "" deep
Steel Outlet boxes, on framing
Interior LED fixtures, linear, suspended mounted, 37 watt, one light bar 4' long, incl lamps, mounting hardware and connections
",6.5,25
34,"LED Lighting 25 W  LED suspended 800 Lux,  36 Fixtures/1000 Ft2 for max. 8 ft. ceilings",rs-means,Assembly,D50202100500,"10,13,14,15,114",ft2,"0.003,0.128,0.036,0.036,0.036","Wire 600V #14 Stranded THWN-THHN
Metal conduit. 0.5 in diamater, 11 coupling per 100 LF
Steel Outlet boxes, set flush in concrete 4 "" deep
Steel Outlet boxes, on framing
Interior LED fixtures, linear, suspended mounted, 37 watt, one light bar 4' long, incl lamps, mounting hardware and connections
",11.8,36
35,"LED Lighting 25 W  LED suspended 1000 Lux,  42 Fixtures/1000 Ft2 for max. 8 ft. ceilings",rs-means,Assembly,D50202100500,"10,13,14,15,114",ft2,"0.003,0.128,0.042,0.042,0.042","Wire 600V #14 Stranded THWN-THHN
Metal conduit. 0.5 in diamater, 11 coupling per 100 LF
Steel Outlet boxes, set flush in concrete 4 "" deep
Steel Outlet boxes, on framing
Interior LED fixtures, linear, suspended mounted, 37 watt, one light bar 4' long, incl lamps, mounting hardware and connections
",14.8,42
36,"LED Lighting 25 W  LED suspended 1600 Lux,  64 Fixtures/1000 Ft2 for max. 8 ft. ceilings",rs-means,Assembly,D50202100500,"10,13,14,15,114",ft2,"0.003,0.128,0.064,0.064,0.064","Wire 600V #14 Stranded THWN-THHN
Metal conduit. 0.5 in diamater, 11 coupling per 100 LF
Steel Outlet boxes, set flush in concrete 4 "" deep
Steel Outlet boxes, on framing
Interior LED fixtures, linear, suspended mounted, 37 watt, one light bar 4' long, incl lamps, mounting hardware and connections
",17.4,64
37,"LED Lighting 25 W  LED suspended 300 Lux,  16 Fixtures/1000 Ft2 for max. 15 ft. ceilings",rs-means,Assembly,D50202100500,"10,13,14,15,114",ft2,"0.003,0.128,0.016,0.016,0.016","Wire 600V #14 Stranded THWN-THHN
Metal conduit. 0.5 in diamater, 11 coupling per 100 LF
Steel Outlet boxes, set flush in concrete 4 "" deep
Steel Outlet boxes, on framing
Interior LED fixtures, linear, suspended mounted, 37 watt, one light bar 4' long, incl lamps, mounting hardware and connections
",4.8,16
38,"LED Lighting 25 W  LED suspended 150 Lux,  9 Fixtures/1000 Ft2 for max. 15 ft. ceilings",rs-means,Assembly,D50202100500,"10,13,14,15,114",ft2,"0.003,0.128,0.009,0.009,0.009","Wire 600V #14 Stranded THWN-THHN
Metal conduit. 0.5 in diamater, 11 coupling per 100 LF
Steel Outlet boxes, set flush in concrete 4 "" deep
Steel Outlet boxes, on framing
Interior LED fixtures, linear, suspended mounted, 37 watt, one light bar 4' long, incl lamps, mounting hardware and connections
",2.7,9
39,"LED Lighting 25 W  LED suspended 500 Lux,  25 Fixtures/1000 Ft2 for max. 15 ft. ceilings",rs-means,Assembly,D50202100500,"10,13,14,15,114",ft2,"0.003,0.128,0.025,0.025,0.025","Wire 600V #14 Stranded THWN-THHN
Metal conduit. 0.5 in diamater, 11 coupling per 100 LF
Steel Outlet boxes, set flush in concrete 4 "" deep
Steel Outlet boxes, on framing
Interior LED fixtures, linear, suspended mounted, 37 watt, one light bar 4' long, incl lamps, mounting hardware and connections
",7.6,25
40,"LED Lighting 25 W  LED suspended 250 Lux,  16 Fixtures/1000 Ft2 for max. 15 ft. ceilings",rs-means,Assembly,D50202100500,"10,13,14,15,114",ft2,"0.003,0.128,0.016,0.016,0.016","Wire 600V #14 Stranded THWN-THHN
Metal conduit. 0.5 in diamater, 11 coupling per 100 LF
Steel Outlet boxes, set flush in concrete 4 "" deep
Steel Outlet boxes, on framing
Interior LED fixtures, linear, suspended mounted, 37 watt, one light bar 4' long, incl lamps, mounting hardware and connections
",5.25,16
41,"LED Lighting 25 W  LED suspended 600 Lux,  36 Fixtures/1000 Ft2 for max. 15 ft. ceilings",rs-means,Assembly,D50202100500,"10,13,14,15,114",ft2,"0.003,0.128,0.036,0.036,0.036","Wire 600V #14 Stranded THWN-THHN
Metal conduit. 0.5 in diamater, 11 coupling per 100 LF
Steel Outlet boxes, set flush in concrete 4 "" deep
Steel Outlet boxes, on framing
Interior LED fixtures, linear, suspended mounted, 37 watt, one light bar 4' long, incl lamps, mounting hardware and connections
",10.36,36
42,"LED Lighting 87 W  LED suspended 1000 Lux,  16 Fixtures/1000 Ft2 for max. 15 ft. ceilings",rs-means,Assembly,D50202100500,"10,13,14,15,116",ft2,"0.003,0.128,0.016,0.016,0.016","Wire 600V #14 Stranded THWN-THHN
Metal conduit. 0.5 in diamater, 11 coupling per 100 LF
Steel Outlet boxes, set flush in concrete 4 "" deep
Steel Outlet boxes, on framing
Interior LED fixtures, linear, suspended mounted, 74 watt, two light bar 4' long, incl lamps, mounting hardware and connections
",15.0,16
43,"LED Lighting 87 W  LED suspended 1600 Lux, 28 Fixtures/1000 Ft2 for max. 15 ft. ceilings",rs-means,Assembly,D50202100500,"10,13,14,15,116",ft2,"0.003,0.128,0.028,0.028,0.028","Wire 600V #14 Stranded THWN-THHN
Metal conduit. 0.5 in diamater, 11 coupling per 100 LF
Steel Outlet boxes, set flush in concrete 4 "" deep
Steel Outlet boxes, on framing
Interior LED fixtures, linear, suspended mounted, 74 watt, two light bar 4' long, incl lamps, mounting hardware and connections
",22.0,28
44,"LED Lighting 22 W strip LED suspended 150 Lux,  6 Fixtures/1000 Ft2 for max. 15 ft. ceilings",rs-means,Assembly,D50202100500,"10,13,14,15,111",ft2,"0.003,0.128,0.006,0.006,0.006","Wire 600V #14 Stranded THWN-THHN
Metal conduit. 0.5 in diamater, 11 coupling per 100 LF
Steel Outlet boxes, set flush in concrete 4 "" deep
Steel Outlet boxes, on framing
Interior LED fixtures, strip, surface mounted, 37 Watts, 3500K, one light bar 4' long, incl lamps, mounting hardware and connections
",2.8,6
45,"LED Lighting 22 W strip LED suspended 350 Lux, 20 Fixtures/1000 Ft2 for max. 15 ft. ceilings",rs-means,Assembly,D50202100500,"10,13,14,15,111",ft2,"0.003,0.128,0.02,0.02,0.02","Wire 600V #14 Stranded THWN-THHN
Metal conduit. 0.5 in diamater, 11 coupling per 100 LF
Steel Outlet boxes, set flush in concrete 4 "" deep
Steel Outlet boxes, on framing
Interior LED fixtures, strip, surface mounted, 37 Watts, 3500K, one light bar 4' long, incl lamps, mounting hardware and connections
",5.0,20
46,"LED Lighting 130 W High Bay LED suspended round 500 Lux, 4 Fixtures/1000 Ft2 for max. 20 ft. ceilings",rs-means,Assembly,D50202100500,"10,13,4,14,15,118",ft2,"0.003,0.128,0.004, 0.004,0.004,0.004","Wire 600V #14 Stranded THWN-THHN
Metal conduit. 0.5 in diamater, 11 coupling per 100 LF
Fixture Hanger 0.75 in diameter 6 ft long
Steel Outlet boxes, set flush in concrete 4 "" deep
Steel Outlet boxes, on framing
Interior LED fixtures, high bay, surface mounted, round, 150 watt
",6.8,4
47,"LED Lighting 74 W High Bay LED suspended round 400 Lux, 9 Fixtures/1000 Ft2 for max. 20 ft. ceilings",rs-means,Assembly,D50202100500,"10,13,4,14,15,116",ft2,"0.003,0.128,0.009,0.009,0.009,0.009","Wire 600V #14 Stranded THWN-THHN
Metal conduit. 0.5 in diamater, 11 coupling per 100 LF
Fixture Hanger 0.75 in diameter 6 ft long
Steel Outlet boxes, set flush in concrete 4 "" deep
Steel Outlet boxes, on framing
Interior LED fixtures, linear, suspended mounted, 74 watt, two light bar 4' long, incl lamps, mounting hardware and connections
",8.0,9
48,"LED Lighting 74 W High Bay LED suspended round 250 Lux, 6 Fixtures/1000 Ft2 for max. 20 ft. ceilings",rs-means,Assembly,D50202100500,"10,13,4,14,15,116",ft2,"0.003,0.128,0.006,0.006,0.006,0.006","Wire 600V #14 Stranded THWN-THHN
Metal conduit. 0.5 in diamater, 11 coupling per 100 LF
Fixture Hanger 0.75 in diameter 6 ft long
Steel Outlet boxes, set flush in concrete 4 "" deep
Steel Outlet boxes, on framing
Interior LED fixtures, linear, suspended mounted, 74 watt, two light bar 4' long, incl lamps, mounting hardware and connections
",6.6,6
49,"LED Lighting 74 W High Bay LED suspended round 150 Lux, 4 Fixtures/1000 Ft2 for max. 20 ft. ceilings",rs-means,Assembly,D50202100500,"10,13,4,14,15,116",ft2,"0.003,0.128,0.004,0.004,0.004,0.004","Wire 600V #14 Stranded THWN-THHN
Metal conduit. 0.5 in diamater, 11 coupling per 100 LF
Fixture Hanger 0.75 in diameter 6 ft long
Steel Outlet boxes, set flush in concrete 4 "" deep
Steel Outlet boxes, on framing
Interior LED fixtures, linear, suspended mounted, 74 watt, two light bar 4' long, incl lamps, mounting hardware and connections
",4.6,4
50,"LED Lighting 74 W High Bay LED suspended round 1500 Lux, 36 Fixtures/1000 Ft2 for max. 20 ft. ceilings",rs-means,Assembly,D50202100500,"10,13,4,14,15,116",ft2,"0.003,0.128,0.036,0.036,0.036,0.036","Wire 600V #14 Stranded THWN-THHN
Metal conduit. 0.5 in diamater, 11 coupling per 100 LF
Fixture Hanger 0.75 in diameter 6 ft long
Steel Outlet boxes, set flush in concrete 4 "" deep
Steel Outlet boxes, on framing
Interior LED fixtures, linear, suspended mounted, 74 watt, two light bar 4' long, incl lamps, mounting hardware and connections
",23.6,36
51,"LED Lighting 74 W High Bay LED suspended round 1000 Lux, 25 Fixtures/1000 Ft2 for max. 20 ft. ceilings",rs-means,Assembly,D50202100500,"10,13,4,14,15,116",ft2,"0.003,0.128,0.025,0.025,0.025,0.025","Wire 600V #14 Stranded THWN-THHN
Metal conduit. 0.5 in diamater, 11 coupling per 100 LF
Fixture Hanger 0.75 in diameter 6 ft long
Steel Outlet boxes, set flush in concrete 4 "" deep
Steel Outlet boxes, on framing
Interior LED fixtures, linear, suspended mounted, 74 watt, two light bar 4' long, incl lamps, mounting hardware and connections
",18.9,25
52,"LED Lighting 74 W High Bay LED suspended round 800 Lux, 20 Fixtures/1000 Ft2 for max. 20 ft. ceilings",rs-means,Assembly,D50202100500,"10,13,4,14,15,116",ft2,"0.003,0.128,0.02,0.02,0.02,0.02","Wire 600V #14 Stranded THWN-THHN
Metal conduit. 0.5 in diamater, 11 coupling per 100 LF
Fixture Hanger 0.75 in diameter 6 ft long
Steel Outlet boxes, set flush in concrete 4 "" deep
Steel Outlet boxes, on framing
Interior LED fixtures, linear, suspended mounted, 74 watt, two light bar 4' long, incl lamps, mounting hardware and connections
",16.8,20
