Automotive facility,WholeBuilding,Automotive facility,WholeBuilding
Space Function,Atrium - H < 13m,Space Function,Atrium (height < 6m)-sch-K
Space Function,Atrium - H < 13m,Space Function,Atrium (6 =< height <= 12m)-sch-A
Space Function,Atrium - H < 13m,Space Function,Atrium (6 =< height <= 12m)-sch-B
Space Function,Atrium - H < 13m,Space Function,Atrium (6 =< height <= 12m)-sch-C
Space Function,Atrium - H < 13m,Space Function,Atrium (6 =< height <= 12m)-sch-D
Space Function,Atrium - H < 13m,Space Function,Atrium (6 =< height <= 12m)-sch-E
Space Function,Atrium - H < 13m,Space Function,Atrium (6 =< height <= 12m)-sch-F
Space Function,Atrium - H < 13m,Space Function,Atrium (6 =< height <= 12m)-sch-G
Space Function,Atrium - H < 13m,Space Function,Atrium (6 =< height <= 12m)-sch-H
Space Function,Atrium - H < 13m,Space Function,Atrium (6 =< height <= 12m)-sch-I
Space Function,Atrium - H < 13m,Space Function,Atrium (6 =< height <= 12m)-sch-J
Space Function,Atrium - H < 13m,Space Function,Atrium (6 =< height <= 12m)-sch-K
Space Function,Atrium - H > 13m,Space Function,Atrium (height > 12m)-sch-A
Space Function,Atrium - H > 13m,Space Function,Atrium (height > 12m)-sch-B
Space Function,Atrium - H > 13m,Space Function,Atrium (height > 12m)-sch-C
Space Function,Atrium - H > 13m,Space Function,Atrium (height > 12m)-sch-D
Space Function,Atrium - H > 13m,Space Function,Atrium (height > 12m)-sch-E
Space Function,Atrium - H > 13m,Space Function,Atrium (height > 12m)-sch-F
Space Function,Atrium - H > 13m,Space Function,Atrium (height > 12m)-sch-G
Space Function,Atrium - H > 13m,Space Function,Atrium (height > 12m)-sch-H
Space Function,Atrium - H > 13m,Space Function,Atrium (height > 12m)-sch-I
Space Function,Atrium - H > 13m,Space Function,Atrium (height > 12m)-sch-J
Space Function,Atrium - H > 13m,Space Function,Atrium (height > 12m)-sch-K
Space Function,Audience - auditorium,Space Function,Audience seating area permanent - auditorium
Space Function,Convention centre - audience,Space Function,Audience seating area permanent - convention centre
Space Function,Audience - motion picture,Space Function,Audience seating area permanent - motion picture theatre
Space Function,Penitentiary - audience,Space Function,Audience seating area permanent - penitentiary
Space Function,Audience - performance arts,Space Function,Audience seating area permanent - performing arts theatre
Space Function,Religious - audience,Space Function,Audience seating area permanent - religious building
Space Function,Sports arena - audience,Space Function,Audience seating area permanent - sports arena
Space Function,Transp. seating,Space Function,Audience seating area permanent - other-sch-A
,,Space Function,Audience seating area permanent - other-sch-B
,,Space Function,Audience seating area permanent - other-sch-C
,,Space Function,Audience seating area permanent - other-sch-D
,,Space Function,Audience seating area permanent - other-sch-E
,,Space Function,Audience seating area permanent - other-sch-F
,,Space Function,Audience seating area permanent - other-sch-G
,,Space Function,Audience seating area permanent - other-sch-H
,,Space Function,Audience seating area permanent - other-sch-I
,,Space Function,Audience seating area permanent - other-sch-J
,,Space Function,Audience seating area permanent - other-sch-K
,,Space Function,Seating area general-sch-A
,,Space Function,Seating area general-sch-B
,,Space Function,Seating area general-sch-C
,,Space Function,Seating area general-sch-D
,,Space Function,Seating area general-sch-E
,,Space Function,Seating area general-sch-E
,,Space Function,Seating area general-sch-G
,,Space Function,Seating area general-sch-H
,,Space Function,Seating area general-sch-I
,,Space Function,Seating area general-sch-J
,,Space Function,Seating area general-sch-K
Space Function,Bank - banking and offices,Space Function,Banking activity area and offices
Space Function,Classroom/lecture/training,Space Function,Classroom/Lecture hall/Training room other
Space Function,Penitentiary - classroom,Space Function,Classroom/Lecture hall/Training room - Penitentary
,,Space Function,Computer/Server room-sch-A
,,Space Function,Computer/Server room-sch-B
,,Space Function,Computer/Server room-sch-C
,,Space Function,Computer/Server room-sch-D
,,Space Function,Computer/Server room-sch-E
,,Space Function,Computer/Server room-sch-F
,,Space Function,Computer/Server room-sch-G
,,Space Function,Computer/Server room-sch-H
,,Space Function,Computer/Server room-sch-I
,,Space Function,Computer/Server room-sch-J
,,Space Function,Computer/Server room-sch-K
Space Function,Conf./meet./multi-purpose,Space Function,Conference/Meeting/Multi-purpose room
Space Function,Courthouse - cell,Space Function,Confinement cell
,,Space Function,Copy/Print room
Space Function,Corr. < 2.4m wide-sch-A,Space Function,Corridor/Transition area other-sch-A
Space Function,Corr. < 2.4m wide-sch-B,Space Function,Corridor/Transition area other-sch-B
Space Function,Corr. < 2.4m wide-sch-C,Space Function,Corridor/Transition area other-sch-C
Space Function,Corr. < 2.4m wide-sch-D,Space Function,Corridor/Transition area other-sch-D
Space Function,Corr. < 2.4m wide-sch-E,Space Function,Corridor/Transition area other-sch-E
Space Function,Corr. < 2.4m wide-sch-F,Space Function,Corridor/Transition area other-sch-F
Space Function,Corr. < 2.4m wide-sch-G,Space Function,Corridor/Transition area other-sch-G
Space Function,Corr. < 2.4m wide-sch-H,Space Function,Corridor/Transition area other-sch-H
Space Function,Corr. < 2.4m wide-sch-I,Space Function,Corridor/Transition area other-sch-I
,,Space Function,Corridor/Transition area other-sch-J
,,Space Function,Corridor/Transition area other-sch-K
Space Function,Corr. >= 2.4m wide-sch-A,Space Function,Corridor/Transition area other-sch-A
Space Function,Corr. >= 2.4m wide-sch-B,Space Function,Corridor/Transition area other-sch-B
Space Function,Corr. >= 2.4m wide-sch-C,Space Function,Corridor/Transition area other-sch-C
Space Function,Corr. >= 2.4m wide-sch-D,Space Function,Corridor/Transition area other-sch-D
Space Function,Corr. >= 2.4m wide-sch-E,Space Function,Corridor/Transition area other-sch-E
Space Function,Corr. >= 2.4m wide-sch-F,Space Function,Corridor/Transition area other-sch-F
Space Function,Corr. >= 2.4m wide-sch-G,Space Function,Corridor/Transition area other-sch-G
Space Function,Corr. >= 2.4m wide-sch-H,Space Function,Corridor/Transition area other-sch-H
Space Function,Corr. >= 2.4m wide-sch-I,Space Function,Corridor/Transition area other-sch-I
,,Space Function,Corridor/Transition area other-sch-J
,,Space Function,Corridor/Transition area other-sch-K
Space Function,Courthouse - chambers,Space Function,Courtroom
Space Function,Courthouse - courtroom,Space Function,Courtroom
Space Function,Dining - bar lounge/leisure,Space Function,Dining area - bar lounge/leisure dining
,,Space Function,Dining area - cafeteria/fast food dining
Space Function,Dining - family space,Space Function,Dining area - family dining
Space Function,Penitentiary - dining,Space Function,Dining area - penitentiary
,,Space Function,Dining area - space designed to ANSI/IES RP-28 (used primarily by residents)
Space Function,Dining - other,Space Function,Dining area - other
Space Function,Hotel/Motel - dining,Space Function,other
Space Function,Hway lodging - dining,Space Function,other
Space Function,Dress./fitt. - performance arts,Space Function,Dressing/Fitting room - performing arts theatre
Space Function,Electrical/Mechanical-sch-A,Space Function,Electrical/Mechanical room-sch-A
Space Function,Electrical/Mechanical-sch-B,Space Function,Electrical/Mechanical room-sch-B
Space Function,Electrical/Mechanical-sch-C,Space Function,Electrical/Mechanical room-sch-C
Space Function,Electrical/Mechanical-sch-D,Space Function,Electrical/Mechanical room-sch-D
Space Function,Electrical/Mechanical-sch-E,Space Function,Electrical/Mechanical room-sch-E
Space Function,Electrical/Mechanical-sch-F,Space Function,Electrical/Mechanical room-sch-F
Space Function,Electrical/Mechanical-sch-G,Space Function,Electrical/Mechanical room-sch-G
Space Function,Electrical/Mechanical-sch-H,Space Function,Electrical/Mechanical room-sch-H
Space Function,Electrical/Mechanical-sch-I,Space Function,Electrical/Mechanical room-sch-I
,,Space Function,Electrical/Mechanical room-sch-J
,,Space Function,Electrical/Mechanical room-sch-K
Space Function,Fire station - engine room,Space Function,Emergency vehicle garage
Space Function,Food preparation,Space Function,Food preparation area
Space Function,Food preparation - vented,Space Function,Food preparation area
Space Function,Hotel/Motel - rooms,Space Function,Guest room
Space Function,Hway lodging - rooms,Space Function,Guest room
Space Function,Lab - classrooms,Space Function,Laboratory - classrooms
Space Function,Lab - research,Space Function,Laboratory - other
,,Space Function,Laundry/Washing area
,,Space Function,Loading dock interior
Space Function,Lobby - elevator,Space Function,Lobby - elevator
Space Function,Hotel/Motel - lobby,Space Function,Lobby - hotel
Space Function,Lobby - motion picture,Space Function,Lobby - motion picture theatre
Space Function,Lobby - performance arts,Space Function,Lobby - performing arts theatre
,,Space Function,Lobby - space designed to ANSI/IES RP-28 (used primarily by residents)
Space Function,Lobby - other,Space Function,Lobby - other
Space Function,Locker room-sch-A,Space Function,Locker room-sch-A
Space Function,Locker room-sch-B,Space Function,Locker room-sch-B
Space Function,Locker room-sch-C,Space Function,Locker room-sch-C
Space Function,Locker room-sch-D,Space Function,Locker room-sch-D
Space Function,Locker room-sch-E,Space Function,Locker room-sch-E
Space Function,Locker room-sch-F,Space Function,Locker room-sch-F
Space Function,Locker room-sch-G,Space Function,Locker room-sch-G
Space Function,Locker room-sch-H,Space Function,Locker room-sch-H
Space Function,Locker room-sch-I,Space Function,Locker room-sch-I
,,Space Function,Locker room-sch-J
,,Space Function,Locker room-sch-K
Space Function,Lounge/recreation,Space Function,Lounge/Break room - other
Space Function,Office - enclosed,Space Function,Office enclosed <= 25 m2
Space Function,Office - enclosed - occsens,Space Function,Office enclosed <= 25 m2
Space Function,Office - open plan,Space Function,Office open plan
Space Function,Office - enclosed,Space Function,Office enclosed > 25 m2
Space Function,Office - enclosed - occsens,Space Function,Office enclosed > 25 m2
Space Function,Retail - sales,Space Function,Sales area
Space Function,Sales area,Space Function,Sales area
Space Function,Stairway-sch-A,Space Function,Stairway/Stairwell-sch-A
Space Function,Stairway-sch-B,Space Function,Stairway/Stairwell-sch-B
Space Function,Stairway-sch-C,Space Function,Stairway/Stairwell-sch-C
Space Function,Stairway-sch-D,Space Function,Stairway/Stairwell-sch-D
Space Function,Stairway-sch-E,Space Function,Stairway/Stairwell-sch-E
Space Function,Stairway-sch-F,Space Function,Stairway/Stairwell-sch-F
Space Function,Stairway-sch-G,Space Function,Stairway/Stairwell-sch-G
Space Function,Stairway-sch-H,Space Function,Stairway/Stairwell-sch-H
Space Function,Stairway-sch-I,Space Function,Stairway/Stairwell-sch-I
,,Space Function,Stairway/Stairwell-sch-J
,,Space Function,Stairway/Stairwell-sch-K
Space Function,Parking garage space,Space Function,Storage garage interior
Space Function,Storage area,Space Function,Storage room < 5 m2-sch-A
Space Function,Storage area,Space Function,Storage room < 5 m2-sch-B
Space Function,Storage area,Space Function,Storage room < 5 m2-sch-C
Space Function,Storage area,Space Function,Storage room < 5 m2-sch-D
Space Function,Storage area,Space Function,Storage room < 5 m2-sch-E
Space Function,Storage area,Space Function,Storage room < 5 m2-sch-F
Space Function,Storage area,Space Function,Storage room < 5 m2-sch-G
Space Function,Storage area,Space Function,Storage room < 5 m2-sch-H
Space Function,Storage area,Space Function,Storage room < 5 m2-sch-I
Space Function,Storage area,Space Function,Storage room < 5 m2-sch-J
Space Function,Storage area,Space Function,Storage room < 5 m2-sch-K
Space Function,Storage area,Space Function,Storage room <= 5 m2 <= 100 m2-sch-A
Space Function,Storage area,Space Function,Storage room <= 5 m2 <= 100 m2-sch-B
Space Function,Storage area,Space Function,Storage room <= 5 m2 <= 100 m2-sch-C
Space Function,Storage area,Space Function,Storage room <= 5 m2 <= 100 m2-sch-D
Space Function,Storage area,Space Function,Storage room <= 5 m2 <= 100 m2-sch-E
Space Function,Storage area,Space Function,Storage room <= 5 m2 <= 100 m2-sch-F
Space Function,Storage area,Space Function,Storage room <= 5 m2 <= 100 m2-sch-G
Space Function,Storage area,Space Function,Storage room <= 5 m2 <= 100 m2-sch-H
Space Function,Storage area,Space Function,Storage room <= 5 m2 <= 100 m2-sch-I
Space Function,Storage area,Space Function,Storage room <= 5 m2 <= 100 m2-sch-J
Space Function,Storage area,Space Function,Storage room <= 5 m2 <= 100 m2-sch-K
Space Function,Storage area,Space Function,Storage room > 100 m2-sch-A
Space Function,Storage area,Space Function,Storage room > 100 m2-sch-B
Space Function,Storage area,Space Function,Storage room > 100 m2-sch-C
Space Function,Storage area,Space Function,Storage room > 100 m2-sch-D
Space Function,Storage area,Space Function,Storage room > 100 m2-sch-E
Space Function,Storage area,Space Function,Storage room > 100 m2-sch-F
Space Function,Storage area,Space Function,Storage room > 100 m2-sch-G
Space Function,Storage area,Space Function,Storage room > 100 m2-sch-H
Space Function,Storage area,Space Function,Storage room > 100 m2-sch-I
Space Function,Storage area,Space Function,Storage room > 100 m2-sch-J
Space Function,Storage area,Space Function,Storage room > 100 m2-sch-K
Space Function,Storage area - occsens,Space Function,Storage room < 5 m2-sch-A
Space Function,Storage area - occsens,Space Function,Storage room < 5 m2-sch-B
Space Function,Storage area - occsens,Space Function,Storage room < 5 m2-sch-C
Space Function,Storage area - occsens,Space Function,Storage room < 5 m2-sch-D
Space Function,Storage area - occsens,Space Function,Storage room < 5 m2-sch-E
Space Function,Storage area - occsens,Space Function,Storage room < 5 m2-sch-F
Space Function,Storage area - occsens,Space Function,Storage room < 5 m2-sch-G
Space Function,Storage area - occsens,Space Function,Storage room < 5 m2-sch-H
Space Function,Storage area - occsens,Space Function,Storage room < 5 m2-sch-I
Space Function,Storage area - occsens,Space Function,Storage room < 5 m2-sch-J
Space Function,Storage area - occsens,Space Function,Storage room < 5 m2-sch-K
Space Function,Storage area - occsens,Space Function,Storage room <= 5 m2 <= 100 m2-sch-A
Space Function,Storage area - occsens,Space Function,Storage room <= 5 m2 <= 100 m2-sch-B
Space Function,Storage area - occsens,Space Function,Storage room <= 5 m2 <= 100 m2-sch-C
Space Function,Storage area - occsens,Space Function,Storage room <= 5 m2 <= 100 m2-sch-D
Space Function,Storage area - occsens,Space Function,Storage room <= 5 m2 <= 100 m2-sch-E
Space Function,Storage area - occsens,Space Function,Storage room <= 5 m2 <= 100 m2-sch-F
Space Function,Storage area - occsens,Space Function,Storage room <= 5 m2 <= 100 m2-sch-G
Space Function,Storage area - occsens,Space Function,Storage room <= 5 m2 <= 100 m2-sch-H
Space Function,Storage area - occsens,Space Function,Storage room <= 5 m2 <= 100 m2-sch-I
Space Function,Storage area - occsens,Space Function,Storage room <= 5 m2 <= 100 m2-sch-J
Space Function,Storage area - occsens,Space Function,Storage room <= 5 m2 <= 100 m2-sch-K
Space Function,Storage area - occsens,Space Function,Storage room > 100 m2-sch-A
Space Function,Storage area - occsens,Space Function,Storage room > 100 m2-sch-B
Space Function,Storage area - occsens,Space Function,Storage room > 100 m2-sch-C
Space Function,Storage area - occsens,Space Function,Storage room > 100 m2-sch-D
Space Function,Storage area - occsens,Space Function,Storage room > 100 m2-sch-E
Space Function,Storage area - occsens,Space Function,Storage room > 100 m2-sch-F
Space Function,Storage area - occsens,Space Function,Storage room > 100 m2-sch-G
Space Function,Storage area - occsens,Space Function,Storage room > 100 m2-sch-H
Space Function,Storage area - occsens,Space Function,Storage room > 100 m2-sch-I
Space Function,Storage area - occsens,Space Function,Storage room > 100 m2-sch-J
Space Function,Storage area - occsens,Space Function,Storage room > 100 m2-sch-K
Space Function,Storage area - refrigerated,Space Function,Storage room < 5 m2-sch-A
Space Function,Storage area - refrigerated,Space Function,Storage room < 5 m2-sch-B
Space Function,Storage area - refrigerated,Space Function,Storage room < 5 m2-sch-C
Space Function,Storage area - refrigerated,Space Function,Storage room < 5 m2-sch-D
Space Function,Storage area - refrigerated,Space Function,Storage room < 5 m2-sch-E
Space Function,Storage area - refrigerated,Space Function,Storage room < 5 m2-sch-F
Space Function,Storage area - refrigerated,Space Function,Storage room < 5 m2-sch-G
Space Function,Storage area - refrigerated,Space Function,Storage room < 5 m2-sch-H
Space Function,Storage area - refrigerated,Space Function,Storage room < 5 m2-sch-I
Space Function,Storage area - refrigerated,Space Function,Storage room < 5 m2-sch-J
Space Function,Storage area - refrigerated,Space Function,Storage room < 5 m2-sch-K
Space Function,Storage area - refrigerated,Space Function,Storage room <= 5 m2 <= 100 m2-sch-A
Space Function,Storage area - refrigerated,Space Function,Storage room <= 5 m2 <= 100 m2-sch-B
Space Function,Storage area - refrigerated,Space Function,Storage room <= 5 m2 <= 100 m2-sch-C
Space Function,Storage area - refrigerated,Space Function,Storage room <= 5 m2 <= 100 m2-sch-D
Space Function,Storage area - refrigerated,Space Function,Storage room <= 5 m2 <= 100 m2-sch-E
Space Function,Storage area - refrigerated,Space Function,Storage room <= 5 m2 <= 100 m2-sch-F
Space Function,Storage area - refrigerated,Space Function,Storage room <= 5 m2 <= 100 m2-sch-G
Space Function,Storage area - refrigerated,Space Function,Storage room <= 5 m2 <= 100 m2-sch-H
Space Function,Storage area - refrigerated,Space Function,Storage room <= 5 m2 <= 100 m2-sch-I
Space Function,Storage area - refrigerated,Space Function,Storage room <= 5 m2 <= 100 m2-sch-J
Space Function,Storage area - refrigerated,Space Function,Storage room <= 5 m2 <= 100 m2-sch-K
Space Function,Storage area - refrigerated,Space Function,Storage room > 100 m2-sch-A
Space Function,Storage area - refrigerated,Space Function,Storage room > 100 m2-sch-B
Space Function,Storage area - refrigerated,Space Function,Storage room > 100 m2-sch-C
Space Function,Storage area - refrigerated,Space Function,Storage room > 100 m2-sch-D
Space Function,Storage area - refrigerated,Space Function,Storage room > 100 m2-sch-E
Space Function,Storage area - refrigerated,Space Function,Storage room > 100 m2-sch-F
Space Function,Storage area - refrigerated,Space Function,Storage room > 100 m2-sch-G
Space Function,Storage area - refrigerated,Space Function,Storage room > 100 m2-sch-H
Space Function,Storage area - refrigerated,Space Function,Storage room > 100 m2-sch-I
Space Function,Storage area - refrigerated,Space Function,Storage room > 100 m2-sch-J
Space Function,Storage area - refrigerated,Space Function,Storage room > 100 m2-sch-K
Space Function,Storage area - refrigerated - occsens,Space Function,Storage room < 5 m2-sch-A
Space Function,Storage area - refrigerated - occsens,Space Function,Storage room < 5 m2-sch-B
Space Function,Storage area - refrigerated - occsens,Space Function,Storage room < 5 m2-sch-C
Space Function,Storage area - refrigerated - occsens,Space Function,Storage room < 5 m2-sch-D
Space Function,Storage area - refrigerated - occsens,Space Function,Storage room < 5 m2-sch-E
Space Function,Storage area - refrigerated - occsens,Space Function,Storage room < 5 m2-sch-F
Space Function,Storage area - refrigerated - occsens,Space Function,Storage room < 5 m2-sch-G
Space Function,Storage area - refrigerated - occsens,Space Function,Storage room < 5 m2-sch-H
Space Function,Storage area - refrigerated - occsens,Space Function,Storage room < 5 m2-sch-I
Space Function,Storage area - refrigerated - occsens,Space Function,Storage room < 5 m2-sch-J
Space Function,Storage area - refrigerated - occsens,Space Function,Storage room < 5 m2-sch-K
Space Function,Storage area - refrigerated - occsens,Space Function,Storage room <= 5 m2 <= 100 m2-sch-A
Space Function,Storage area - refrigerated - occsens,Space Function,Storage room <= 5 m2 <= 100 m2-sch-B
Space Function,Storage area - refrigerated - occsens,Space Function,Storage room <= 5 m2 <= 100 m2-sch-C
Space Function,Storage area - refrigerated - occsens,Space Function,Storage room <= 5 m2 <= 100 m2-sch-D
Space Function,Storage area - refrigerated - occsens,Space Function,Storage room <= 5 m2 <= 100 m2-sch-E
Space Function,Storage area - refrigerated - occsens,Space Function,Storage room <= 5 m2 <= 100 m2-sch-F
Space Function,Storage area - refrigerated - occsens,Space Function,Storage room <= 5 m2 <= 100 m2-sch-G
Space Function,Storage area - refrigerated - occsens,Space Function,Storage room <= 5 m2 <= 100 m2-sch-H
Space Function,Storage area - refrigerated - occsens,Space Function,Storage room <= 5 m2 <= 100 m2-sch-I
Space Function,Storage area - refrigerated - occsens,Space Function,Storage room <= 5 m2 <= 100 m2-sch-J
Space Function,Storage area - refrigerated - occsens,Space Function,Storage room <= 5 m2 <= 100 m2-sch-K
Space Function,Storage area - refrigerated - occsens,Space Function,Storage room > 100 m2-sch-A
Space Function,Storage area - refrigerated - occsens,Space Function,Storage room > 100 m2-sch-B
Space Function,Storage area - refrigerated - occsens,Space Function,Storage room > 100 m2-sch-C
Space Function,Storage area - refrigerated - occsens,Space Function,Storage room > 100 m2-sch-D
Space Function,Storage area - refrigerated - occsens,Space Function,Storage room > 100 m2-sch-E
Space Function,Storage area - refrigerated - occsens,Space Function,Storage room > 100 m2-sch-F
Space Function,Storage area - refrigerated - occsens,Space Function,Storage room > 100 m2-sch-G
Space Function,Storage area - refrigerated - occsens,Space Function,Storage room > 100 m2-sch-H
Space Function,Storage area - refrigerated - occsens,Space Function,Storage room > 100 m2-sch-I
Space Function,Storage area - refrigerated - occsens,Space Function,Storage room > 100 m2-sch-J
Space Function,Storage area - refrigerated - occsens,Space Function,Storage room > 100 m2-sch-K
Space Function,Automotive - repair,Space Function,Vehicle maintenance area
Space Function,Washroom-sch-A,Space Function,Washroom - other-sch-A
Space Function,Washroom-sch-B,Space Function,Washroom - other-sch-B
Space Function,Washroom-sch-C,Space Function,Washroom - other-sch-C
Space Function,Washroom-sch-D,Space Function,Washroom - other-sch-D
Space Function,Washroom-sch-E,Space Function,Washroom - other-sch-E
Space Function,Washroom-sch-F,Space Function,Washroom - other-sch-F
Space Function,Washroom-sch-G,Space Function,Washroom - other-sch-G
Space Function,Washroom-sch-H,Space Function,Washroom - other-sch-H
Space Function,Washroom-sch-I,Space Function,Washroom - other-sch-I
,,Space Function,Washroom - other-sch-J
,,Space Function,Washroom - other-sch-K
,,Space Function,Washroom - space designed to ANSI/IES RP-28 (used primarily by residents)-sch-A
,,Space Function,Washroom - space designed to ANSI/IES RP-28 (used primarily by residents)-sch-B
,,Space Function,Washroom - space designed to ANSI/IES RP-28 (used primarily by residents)-sch-C
,,Space Function,Washroom - space designed to ANSI/IES RP-28 (used primarily by residents)-sch-D
,,Space Function,Washroom - space designed to ANSI/IES RP-28 (used primarily by residents)-sch-E
,,Space Function,Washroom - space designed to ANSI/IES RP-28 (used primarily by residents)-sch-F
,,Space Function,Washroom - space designed to ANSI/IES RP-28 (used primarily by residents)-sch-G
,,Space Function,Washroom - space designed to ANSI/IES RP-28 (used primarily by residents)-sch-H
,,Space Function,Washroom - space designed to ANSI/IES RP-28 (used primarily by residents)-sch-I
,,Space Function,Washroom - space designed to ANSI/IES RP-28 (used primarily by residents)-sch-J
,,Space Function,Washroom - space designed to ANSI/IES RP-28 (used primarily by residents)-sch-K
Space Function,Workshop space,Space Function,Workshop
Space Function,Convention centre - exhibit,Space Function,Convention centre exhibit space
Space Function,Dormitory - living quarters,Space Function,Dormitory living quarters
Space Function,Dwelling Unit(s),Space Function,Dwelling units general
,,Space Function,Dwelling units long-term
Space Function,Fire station - quarters,Space Function,Fire station sleeping quarters
Space Function,Gym - audience,Space Function,Audience seating area permanent - gymnasium
Space Function,Gym - fitness,Space Function,Gymnasium/Fitness centre exercise area
Space Function,Gym - play,Space Function,Gymnasium/Fitness centre playing area
Space Function,Hospital - emergency,Space Function,Health care facility exam/treatment room
Space Function,Hospital - exam,Space Function,Health care facility exam/treatment room
Space Function,Hospital - radiology/imaging,Space Function,Health care facility imaging room
Space Function,Hospital - medical supply,Space Function,Health care facility medical supply room
Space Function,Hospital - nursery,Space Function,Health care facility nursery
Space Function,Hospital - nurses station,Space Function,Health care facility nurses station
Space Function,Hospital - operating room,Space Function,Health care facility operating room
Space Function,Hospital - patient room,Space Function,Health care facility patient room
Space Function,Hospital - pharmacy,Space Function,Pharmacy area
Space Function,Hospital - physical therapy,Space Function,Health care facility physical therapy room
Space Function,Hospital - recovery,Space Function,Health care facility recovery room
Space Function,Hospital - laundry/washing,Space Function,Laundry/Washing area
Space Function,Hospital - lounge/recreation,Space Function,Lounge/Break room - health care facility
Space Function,Hospital corr. < 2.4m-sch-A,Space Function,Corridor/Transition area - hospital-sch-A
Space Function,Hospital corr. < 2.4m-sch-B,Space Function,Corridor/Transition area - hospital-sch-B
Space Function,Hospital corr. < 2.4m-sch-C,Space Function,Corridor/Transition area - hospital-sch-C
Space Function,Hospital corr. < 2.4m-sch-D,Space Function,Corridor/Transition area - hospital-sch-D
Space Function,Hospital corr. < 2.4m-sch-E,Space Function,Corridor/Transition area - hospital-sch-E
Space Function,Hospital corr. < 2.4m-sch-F,Space Function,Corridor/Transition area - hospital-sch-F
Space Function,Hospital corr. < 2.4m-sch-G,Space Function,Corridor/Transition area - hospital-sch-G
Space Function,Hospital corr. < 2.4m-sch-H,Space Function,Corridor/Transition area - hospital-sch-H
Space Function,Hospital corr. < 2.4m-sch-I,Space Function,Corridor/Transition area - hospital-sch-I
,,Space Function,Corridor/Transition area - hospital-sch-J
,,Space Function,Corridor/Transition area - hospital-sch-K
Space Function,Hospital corr. >= 2.4m-sch-A,Space Function,Corridor/Transition area - hospital-sch-A
Space Function,Hospital corr. >= 2.4m-sch-B,Space Function,Corridor/Transition area - hospital-sch-B
Space Function,Hospital corr. >= 2.4m-sch-C,Space Function,Corridor/Transition area - hospital-sch-C
Space Function,Hospital corr. >= 2.4m-sch-D,Space Function,Corridor/Transition area - hospital-sch-D
Space Function,Hospital corr. >= 2.4m-sch-E,Space Function,Corridor/Transition area - hospital-sch-E
Space Function,Hospital corr. >= 2.4m-sch-F,Space Function,Corridor/Transition area - hospital-sch-F
Space Function,Hospital corr. >= 2.4m-sch-G,Space Function,Corridor/Transition area - hospital-sch-G
