building_type,province,fuel_type,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Commercial,New Brunswick,Natural Gas,13.2,13.42,7.02,9.95,7.97,13.1,14.16,10.63,9.49,10.69,11.4,11.78,11.35,10.83,10.5,10.75,10.62,10.37,11.06,11.69,12.33,12.95,13.55,14.13,14.68,15.19,15.69,16.18,16.66,17.11,17.53,17.94,18.34,18.71,19.08,19.43,19.75,20.05,20.35,20.64,20.91,21.16,21.39,21.61,21.79,21.95
Commercial,New Brunswick,Oil,24.99,24.93,25.68,31.96,22.49,25.48,29.98,31.44,30.34,31.78,26.11,22.48,24.56,28.45,29.61,25.42,30.89,31.26,31.82,32.12,32.48,32.83,33.68,34.48,35.2,35.86,36.36,36.86,37.31,37.73,38.13,38.52,38.89,39.22,39.55,39.89,40.22,40.57,40.91,41.25,41.56,41.85,42.12,42.31,42.47,42.54
Commercial,Newfoundland and Labrador,Electricity,27.99,28.39,28.66,26.88,29.63,27.28,27.19,29.55,31.53,29.33,30.32,27.77,28.32,28.32,28.32,28.89,28.91,28.94,28.96,28.98,29,29.31,29.62,29.93,30.24,30.55,30.87,31.18,31.49,31.8,32.11,32.42,32.73,33.03,33.34,33.64,33.95,34.25,34.56,34.87,35.17,35.48,35.78,36.09,36.39,36.7
Commercial,Newfoundland and Labrador,Natural Gas,13.2,13.42,7.02,9.95,7.97,13.1,14.16,10.63,9.49,10.69,11.4,11.78,11.35,10.83,10.5,12,12.72,12.94,13.59,14.18,14.75,15.32,15.86,16.38,16.86,17.32,17.76,18.2,18.62,19.02,19.4,19.76,20.11,20.45,20.78,21.09,21.38,21.66,21.93,22.19,22.43,22.66,22.87,23.05,23.22,23.35
Commercial,Newfoundland and Labrador,Oil,23.62,24.97,25.09,30.38,21.13,24.44,29.56,30.34,27.56,27.35,21.2,19.39,21.87,25.96,24.33,22.04,27.49,27.84,28.36,28.63,28.96,29.29,30.11,30.89,31.58,32.22,32.7,33.19,33.62,34.02,34.4,34.78,35.14,35.45,35.77,36.09,36.41,36.74,37.07,37.39,37.7,37.98,38.23,38.41,38.56,38.63
Commercial,Northwest Territories,Electricity,29.52,29.23,29.06,29.19,31.37,33.37,31.76,36.6,36.76,38.37,40.91,42.33,42.46,42.59,42.71,43.79,44.16,44.53,44.9,45.26,45.63,46,46.37,46.74,47.1,47.47,47.84,48.21,48.58,48.95,49.31,49.68,50.05,50.42,50.79,51.15,51.52,51.89,52.26,52.63,52.99,53.36,53.73,54.1,54.47,54.84
Commercial,Northwest Territories,Natural Gas,14.06,14.72,14.25,13.26,13.89,13.82,11.75,10.4,10.14,10.9,10.17,6.51,8.13,7.63,7.94,9.43,10.15,10.37,11.02,11.61,12.18,12.75,13.29,13.81,14.29,14.75,15.19,15.63,16.05,16.45,16.83,17.19,17.54,17.88,18.21,18.52,18.81,19.09,19.36,19.62,19.86,20.09,20.3,20.48,20.65,20.78
Commercial,Northwest Territories,Oil,26.24,26.84,29.65,36.6,26.63,28.86,34.69,34.85,33.93,36.42,28.31,24.91,27.47,31.76,30.56,28.35,33.81,34.19,34.74,35.04,35.4,35.76,36.61,37.41,38.13,38.79,39.29,39.79,40.24,40.65,41.05,41.44,41.82,42.14,42.48,42.82,43.15,43.49,43.83,44.17,44.49,44.78,45.05,45.24,45.39,45.47
Commercial,Nova Scotia,Electricity,30.69,35.07,34.34,32.73,36.64,35.86,37.74,39.83,40.61,41.08,41.44,40.56,40.61,40.65,40.69,41.28,41.77,42.27,42.88,43.48,44.09,44.69,45.3,45.9,46.51,47.11,47.72,48.32,48.93,49.53,50.14,50.74,51.35,51.95,52.56,53.16,53.77,54.37,54.98,55.58,56.19,56.79,57.4,58,58.61,59.32
Commercial,Nova Scotia,Natural Gas,18.76,18.99,16.7,16.17,14.17,12.58,11.12,10.05,16.39,18.78,20.71,17.76,13.73,15.42,15.34,16.84,17.55,17.78,18.43,19.01,19.59,20.15,20.69,21.21,21.69,22.15,22.59,23.03,23.45,23.85,24.23,24.6,24.95,25.28,25.61,25.93,26.21,26.49,26.76,27.02,27.27,27.49,27.7,27.89,28.05,28.18
Commercial,Nova Scotia,Oil,25.14,28.22,26.12,31.77,22.74,25.38,30.8,31.96,32.02,34.49,27.51,23.92,25.34,28.23,27.39,25.18,30.64,31.02,31.57,31.87,32.22,32.58,33.43,34.23,34.94,35.6,36.1,36.6,37.04,37.46,37.86,38.25,38.62,38.94,39.28,39.62,39.95,40.29,40.63,40.97,41.28,41.57,41.84,42.03,42.18,42.26
Commercial,Nunavut,Electricity,29.52,29.23,29.06,29.19,31.37,33.37,31.76,36.6,36.76,38.37,40.91,42.33,42.46,42.59,42.71,43.79,44.16,44.53,44.9,45.26,45.63,46,46.37,46.74,47.1,47.47,47.84,48.21,48.58,48.95,49.31,49.68,50.05,50.42,50.79,51.15,51.52,51.89,52.26,52.63,52.99,53.36,53.73,54.1,54.47,54.84
Commercial,Nunavut,Natural Gas,14.06,14.72,14.25,13.26,13.89,13.82,11.75,10.4,10.14,10.9,10.17,6.51,8.13,7.63,7.94,9.43,10.15,10.37,11.02,11.61,12.18,12.75,13.29,13.81,14.29,14.75,15.19,15.63,16.05,16.45,16.83,17.19,17.54,17.88,18.21,18.52,18.81,19.09,19.36,19.62,19.86,20.09,20.3,20.48,20.65,20.78
Commercial,Nunavut,Oil,26.26,26.85,29.67,36.62,26.64,28.87,34.71,34.86,33.95,36.45,28.34,24.92,27.49,31.78,30.57,28.24,33.68,34.02,34.53,34.79,35.1,35.42,36.23,37,37.68,38.31,38.78,39.26,39.68,40.08,40.45,40.82,41.18,41.48,41.79,42.11,42.43,42.75,43.07,43.39,43.69,43.96,44.21,44.39,44.53,44.59
Commercial,Ontario,Electricity,37.76,31.87,29.84,30.48,29.93,32.37,34.67,37.29,37.05,39.27,32.2,44.46,45.33,46.24,47.15,49.98,50.74,51.5,52.25,53.01,53.77,54.52,55.28,56.04,56.79,57.55,58.31,59.06,59.82,60.58,61.33,62.09,62.84,63.6,64.36,65.11,65.87,66.63,67.38,68.14,68.9,69.65,70.41,71.17,71.92,72.68
Commercial,Ontario,Natural Gas,12.7,14.12,12.28,12.85,10.28,10.4,8.49,7.51,7.88,8.8,8.87,6.61,9.1,7.6,5.55,6.56,7.27,7.5,8.15,8.73,9.31,9.87,10.41,10.93,11.41,11.87,12.31,12.75,13.17,13.57,13.95,14.32,14.67,15,15.33,15.65,15.93,16.21,16.48,16.74,16.99,17.21,17.42,17.61,17.77,17.9
Commercial,Ontario,Oil,23.4,24.17,25.04,31.25,23.28,26.55,32.58,33.13,32.98,33.89,28.7,25.25,30.63,32.99,32,28.74,34.19,34.54,35.06,35.33,35.65,35.98,36.81,37.58,38.27,38.91,39.39,39.87,40.3,40.7,41.08,41.46,41.82,42.13,42.44,42.77,43.09,43.42,43.74,44.07,44.37,44.65,44.9,45.08,45.23,45.3
Commercial,Prince Edward Island,Electricity,39.01,37.41,39.82,42.4,51.1,46.09,38.91,38.44,41.69,42.34,44.39,45.36,45.4,45.49,45.53,43.71,43.78,43.84,43.91,43.98,44.05,44.12,44.19,44.26,44.33,44.4,44.47,44.54,44.61,44.68,44.75,44.82,44.89,44.96,45.02,45.09,45.16,45.23,45.3,45.37,45.44,45.51,45.58,45.65,45.72,45.79
Commercial,Prince Edward Island,Natural Gas,14.19,14.43,7.55,10.71,8.58,14.09,15.24,11.44,9.4,10.59,8.59,11.78,11.35,10.83,10.5,12,12.72,12.94,13.59,14.18,14.75,15.32,15.86,16.38,16.86,17.32,17.76,18.2,18.62,19.02,19.4,19.76,20.11,20.45,20.78,21.09,21.38,21.66,21.93,22.19,22.43,22.66,22.87,23.05,23.22,23.35
Commercial,Prince Edward Island,Oil,23.85,24.55,24.43,30.56,21.97,24.76,30.25,31.4,29.09,31.13,24.21,20.9,22.02,26.14,27.23,23.04,28.51,28.88,29.44,29.74,30.09,30.45,31.3,32.1,32.82,33.48,33.98,34.48,34.92,35.34,35.74,36.13,36.5,36.83,37.16,37.5,37.83,38.18,38.51,38.85,39.17,39.46,39.73,39.92,40.07,40.15
Commercial,Quebec,Electricity,24.48,25.37,24.82,24.31,25.25,24.69,24.03,23.89,24.11,24.54,25.43,25.4,25.42,25.45,25.47,25.99,27.14,27.25,27.36,27.47,27.58,27.7,27.81,27.92,28.03,28.15,28.26,28.37,28.49,28.6,28.72,28.83,28.95,29.07,29.18,29.3,29.42,29.54,29.66,29.78,29.9,30.02,30.14,30.26,30.38,30.5
Commercial,Quebec,Natural Gas,14.29,16.2,12.27,17.53,14.01,13.51,10.96,12.31,11.33,11.81,11.62,12.42,13.17,12.72,12.41,12.8,13.52,13.74,14.38,14.94,15.5,16.05,16.57,17.07,17.54,17.98,18.41,18.84,19.24,19.63,20,20.35,20.7,21.02,21.34,21.64,21.92,22.19,22.45,22.7,22.94,23.16,23.36,23.54,23.69,23.82
Commercial,Quebec,Oil,21.11,21.77,22.14,29.89,20.32,23.05,28.4,29.68,29.1,29.55,25.58,22.11,25.3,30.14,28.93,24.5,29.89,30.22,30.73,30.99,31.3,31.61,32.42,33.18,33.86,34.48,34.95,35.42,35.83,36.22,36.59,36.96,37.31,37.6,37.91,38.23,38.54,38.86,39.18,39.49,39.79,40.06,40.3,40.48,40.61,40.67
Commercial,Saskatchewan,Electricity,30.08,31.81,31.12,29.67,30.37,31.18,31.98,31.6,32.6,34.06,35.37,35.8,36.16,36.52,36.87,37.36,37.85,38.34,38.84,39.35,39.85,40.37,40.88,41.4,41.93,42.46,43,43.54,44.08,44.63,45.19,45.75,46.31,46.88,47.46,48.04,48.63,49.22,49.82,50.42,51.02,51.64,52.26,52.88,53.51,54.14
Commercial,Saskatchewan,Natural Gas,8.47,8.74,10.82,9.29,9.68,7.19,7.94,8.08,7.6,7.06,9.37,7.17,5.04,6.84,5.52,7.02,7.73,7.96,8.61,9.19,9.77,10.33,10.87,11.39,11.87,12.33,12.77,13.21,13.63,14.03,14.41,14.78,15.13,15.46,15.79,16.11,16.39,16.67,16.94,17.2,17.45,17.67,17.88,18.07,18.23,18.36
Commercial,Saskatchewan,Oil,24.16,25.34,26.79,32.2,23.59,26.27,28.09,29.95,27.52,33.13,24.94,22.72,23.98,27.61,29.48,25.27,30.73,31.09,31.61,31.9,32.23,32.57,33.4,34.18,34.88,35.52,36.01,36.5,36.93,37.34,37.73,38.1,38.47,38.78,39.1,39.43,39.76,40.09,40.42,40.75,41.06,41.34,41.6,41.78,41.93,41.99
Commercial,Yukon,Electricity,24.91,24.66,24.52,24.63,26.47,28.16,26.8,30.88,31.02,32.38,34.52,35.72,35.82,35.93,36.04,36.8,37.1,37.4,37.7,38,38.31,38.61,38.91,39.21,39.51,39.81,40.11,40.41,40.71,41.01,41.31,41.61,41.91,42.21,42.51,42.82,43.12,43.42,43.72,44.02,44.32,44.62,44.92,45.22,45.52,45.82
Commercial,Yukon,Natural Gas,14.06,14.72,14.25,13.26,13.89,13.82,11.75,10.4,10.14,10.9,10.17,6.51,8.13,7.63,7.94,9.43,10.15,10.37,11.02,11.61,12.18,12.75,13.29,13.81,14.29,14.75,15.19,15.63,16.05,16.45,16.83,17.19,17.54,17.88,18.21,18.52,18.81,19.09,19.36,19.62,19.86,20.09,20.3,20.48,20.65,20.78
Commercial,Yukon,Oil,28.55,29.78,31.49,37.52,28.94,31.63,36.98,38.17,36.92,37.04,29.94,25.87,27.85,32.9,32.62,30.3,35.74,36.09,36.6,36.87,37.19,37.51,38.33,39.09,39.78,40.41,40.89,41.37,41.79,42.19,42.57,42.94,43.3,43.6,43.92,44.24,44.56,44.88,45.2,45.53,45.83,46.1,46.35,46.53,46.67,46.74
