materials_opaque_id,description,type,quantity,per m2,Product Category,Embodied Carbon (A1-A5),Embodied Carbon (A-C),Environmental Product Declaration (EPD)
120,"Floor system, 2""x10"" joists, 24"" spacing,  116 PSF total load",Unit,0.00091,0.0147,"Web Beams and Joists, wood joists",3.022,4.378,"Softwood lumber, kiln-dried and planed, 19 mm, 460 kg/m3, 15% moisture content (American Wood Council, Canadian Wood Council)"
121,"Isoboard, 1.5 "" 4 x 8 sheet, foil faced (RSI 1.28)",Unit,1.0,0.038,"Slab and Board Thermal Insulation, extruded polystyrene",17.442,29.014,"Polyisocyanurate (PIR) roof insulation boards, coated glass faced (CGF), 0.941kg/m2 (2.07 lb/m2), 25 mm (0.984 in) (Atlas Roofing Corporation, Carlisle Construction Materials, Firestone Building Products, GAF, IKO, Johns Manville, Rmax - A Sika Brand, Soprema, Inc. (USA)) "
122,"6"" sprayed polyurethane foam (RSI 6.86) modifed to 9"" foaming RSI 10.3",Unit,1.0,0.228,"Slab and Board Thermal Insulation, urethane",26.832,12.351,Average
123,"Concrete forms, wooden, erecting, bracing, stripping, cleaning",Unit,0.03,,,0.0,0.0,
124,"Expansion joint, premolded bituminous fiber",Unit,0.22,0.05,"Construction Sealants, exterior",0.475,0.049,"Resinous components for structural strengthening, sealing and bonding, 1650 kg/m3, Sikadur-30 (Sika Canada)"
125,"Welded wire, 6 x 6 sheets, 30 lbs/ft2",Unit,0.012,1.46,"Reinforcement Components, welded wire fabric",1.392,4.117,"Rebar - fabricated, Carbon Leadership Forum benchmark, ASTM A615, ASTM A706, 7850 kg/m3 (Concrete Reinforcing Steel Institute (CRSI))"
126,"Structural concrete, ready mix 3500 psi, local aggregate, Type 1 Portland cement, no additives",Unit,0.019,487.2,Structural Concrete,306.643,266.018,Average
127,"Structural concrete, placing, slab on grade, direct chute, over 6\"" thick, includes leveling ",Unit,0.019,364.8,Structural Concrete,35.648,111.954,Average
128,"Concrete finishing, specified Random Access Floors ACI Classes 1, 2, 3 & 4",Unit,1.0,,,0.0,0.0,
129,"Concrete surface treatment, sprayed membrane",Unit,0.01,1.0,"Floor Treatment Products, concrete sealer",12.023,9.159,"Concrete waterproofer, 0.162 kg/m2, 980 N/A White (Behr Process LLC)"
130,"Vapur barrier, polyethylene 6 mil",Unit,0.01,1.0,"Vapor Barriers, polyethylene, 6 mil",0.758,5.516,"Polyethylene vapour barrier membrane, 0.15 mm, 0.14 kg/m2 (One Click LCA)"
131,"Fine grading, finish grading, small area, to be paved with grader",Unit,0.11,,,0.0,0.0,
132,"Fill, gravel fill, compacted, under floor slabs, 4\"" deep",Unit,1.0,0.1,"Dense Fills and Aggregates, granular fill",2.786,0.307,"Aggregate (crushed gravel), generic, dry bulk density, 1600 kg/m3"
133,"Isoboard, 38 mm RSI 1.44",Unit,1.0,0.038,"Slab and Board Thermal Insulation, extruded polystyrene",0.95,20.543,"Polyisocyanurate (PIR) roof insulation boards, coated glass faced (CGF), 0.941kg/m2 (2.07 lb/m2), 25 mm (0.984 in) (Atlas Roofing Corporation, Carlisle Construction Materials, Firestone Building Products, GAF, IKO, Johns Manville, Rmax - A Sika Brand, Soprema, Inc. (USA)) "
134,"XPS, 3"" 2.64",Unit,1.0,0.076,"Slab and Board Thermal Insulation, extruded polystyrene",63.515,363.292,Average
135,"Concrete finishing, fresh concrete flatwork, floors, basic finishing for unspecified flatwork",Unit,1.5,,,0.0,0.0,
136,"Washing brick, smooth brick, acid wash",Unit,1.0,,,0.0,0.0,
137,"Structural concrete, placing, slab on grade, direct chute, up to 6\"" thick, includes leveling ",Unit,0.025,360.0,Structural Concrete,208.621,174.278,Average
138,"Wood framing, partitions, standard & better lumber, 2\"" x 6\"" studs, 16\"" O.C., 10' high, includes single bottom plate and double top plate",Unit,0.1,0.011,Wood Framed Structural Walls,0.37,2.996,"Softwood lumber, kiln-dried and planed, 19 mm, 460 kg/m3, 15% moisture content (American Wood Council, Canadian Wood Council)"
139,"Sheet metal flashing, aluminum, flexible, mill finish, .019\"" thick, including up to 4 bends",Unit,0.1,1.0,"Roof Flashings, aluminum",31.566,12.817,"Galvanized steel panels, trims, flashings and flat sheets from electric arc furnace (EAF), 5.89 kg/m2 (AEP Span)"
140,"Pre-formed joint seals, backer rod, polyethylene, 1/4\"" dia""",Unit,0.001,0.05,"Construction Sealants, elastomeric",0.092,0.115,"Resinous components for structural strengthening, sealing and bonding, 1650 kg/m3, Sikadur-30 (Sika Canada)"
141,"Joint sealants, caulking and sealants, butyl based, bulk, 1/4\"" x 1/2\""",Unit,0.125,0.05,Joint Fillers,0.444,0.042,"Resinous components for structural strengthening, sealing and bonding, 1650 kg/m3, Sikadur-30 (Sika Canada)"
142,"Structural concrete, placing, walls, pumped, 8\"" thick, includes leveling (strike off) & consolidation",Unit,0.018,487.2,Structural Concrete,352.56,246.584,Average
143,"Concrete finishing, specified Random Access Floors ACI Classes 1, 2, 3 & 4,",Unit,1.0,,,0.0,0.0,
144,"Structural concrete, placing, elevated slab, pumped, 6\"" to 10\"" thick, includes leveling (strike off) & consolidation",Unit,0.625,487.2,Structural Concrete,32.713,207.482,Average
145,Installation of 14 gauge steel floor joist to beams/headers,Unit,0.3,,,0.0,0.0,
146,"Metal Door 20 gauge, includes hardware",Unit,0.0476,8.2,"Metal Doors, exterior",80.358,17.29,"Steel door frame, 1.51 mm, depth 5.75 inch, 21.3 kg/unit (Steel Door Institute, Deansteel, Mesker, MPI, HMX, Hollow metal on demand)"
147,"Aluminum Commercial Entrance pair of 2'-6"" x 7'-0"" includes hardware",Unit,0.02857,9.38,"Aluminum Doors, Storm",99.156,252.776,"Aluminium framed glass door, swing type, 30.87 kg/m2, 4487 Series Swing Door, 458T Series Swing Door (Toro Aluminum)"
148,"Fibreglass Door, 3'-0"" x 7'-0', includes hardware",Unit,0.0476,14.75,Fiberglass Composite Doors,22.841,8.784,"Fiberglass reinforced PE door, 2.68m2/unit, FRP (ASSA ABLOY)"
149,"Steel Overhead Rolling Door, 10'-0 x 10'-0'  includes hardware",Unit,0.01,21.53,"Overhead Metal Doors, roller shutter",335.479,318.393,"Residental garage overhead sectional door with PUR core, 2500x2125 mm, 123 kg/unit (One Click LCA)"
150,"XPS, 25 PSI, 1"" RSI 0.88",Unit,1.0,0.025,"Slab and Board Thermal Insulation, extruded polystyrene",76.831,111.44,Average
151,"XPS, 25 PSI, 1"" RSI 0.88 modifed to 1.5"" sheet RSI 1.32",Unit,1.0,0.0381,"Slab and Board Thermal Insulation, extruded polystyrene",57.575,44.58,Average
152,"Isoboard, 1"" RSI 1.94 modified to 2"" RSI 3.88",Unit,1.0,0.0508,"Slab and Board Thermal Insulation, extruded polystyrene",2.951,33.731,"Polyisocyanurate (PIR) roof insulation boards, coated glass faced (CGF), 0.941kg/m2 (2.07 lb/m2), 25 mm (0.984 in) (Atlas Roofing Corporation, Carlisle Construction Materials, Firestone Building Products, GAF, IKO, Johns Manville, Rmax - A Sika Brand, Soprema, Inc. (USA)) "
153,"Fibreglasboard 1"" RSI 0.69",Unit,1.0,0.025,"Blanket Thermal Insulation, fiberglass",9.548,4.715,"Fiberglass insulation board, R = 1m2K/W, 45.3 mm, 2.61 kg/m2, 57.62 kg/m3 (NAIMA)"
154,10 inch fibreglass insulation RSI 5.86,Unit,1.0,0.254,"Blanket Thermal Insulation, fiberglass",8.638,3.197,"Fiberglass insulation, 44 mm, R = 1 m2K/W, 0.354 kg/m2, PINK Next Gen™ Fiberglas™ Insulation, unfaced (Owens Corning)"
155,"Fibreglass Foil Faced 6 "" RSI 3.7 batts, 2 batts installed, modifed to 2 6"" batts back to back RSI 7.4",Unit,1.0,0.304,"Blanket Thermal Insulation, fiberglass",16.482,25.675,"Fiberglass insulation in rolls and batts, foil-faced, R = 1 m2/KW, 39.8 mm, 0.644 kg/unit, Foil-faced EcoBatt®, EcoRoll (Knauff Insulation, Albion plant)"
156,concrete cutting through wall per inch of thickness,Unit,1.0,,,0.0,0.0,
157,"galvanized LB studs, 16 ga x 6\"" W studs 16\"" O.C. x 10' H, incl galvanized top & bottom track, excl openings, headers, beams, bracing & bridging",Unit,0.1,4.3,"Ferrous Metal Rigid Profiles, galvanized steel stud",45.591,33.525,"Galvanized steel stud framing profiles per m2 (air gap included), UD and CD profiles included, wing width: 6 mm, flange width:50 mm, steel thicnkess:0.6 mm (23 gauge), 450 mm spacing, 2.4 kg/m2 (One Click LCA)"
158,"XPS, 3/4"" RSI 0.501",Unit,1.0,0.019,"Slab and Board Thermal Insulation, extruded polystyrene",23.296,23.889,Average
159,"fibreglass batts, 6 in thick RSI 3.7",Unit,1.0,0.152,"Blanket Thermal Insulation, fiberglass",6.967,10.569,Average
160,"Fibreglass Foil Faced 6 "" RSI 3.7 batts",Unit,1.0,0.152,"Blanket Thermal Insulation, fiberglass",3.102,2.729,"Fiberglass insulation in rolls and batts, foil-faced, R = 1 m2/KW, 39.8 mm, 0.644 kg/unit, Foil-faced EcoBatt®, EcoRoll (Knauff Insulation, Albion plant)"
161,"Kraft faced fiberglass, 3-1/2"" thick, 23"" wide, RSI1.93",Unit,1.0,0.0889,"Blanket Thermal Insulation, kraft paper faced fiberglass",1.34,7.225,"Fiberglass batt insulation, kraft faced, 1 m2K/W, 35 mm, 12.03 kg/m3, 0.421 kg/m2 (North American Insulation Manufacturers Association (NAIMA))"
162,"Kraft faced fiberglass, 3-1/2"" thick, 23"" wide, RSI2.29",Unit,1.0,0.0889,"Blanket Thermal Insulation, kraft paper faced fiberglass",6.593,6.891,"Fiberglass batt insulation, kraft faced, 1 m2K/W, 35 mm, 12.03 kg/m3, 0.421 kg/m2 (North American Insulation Manufacturers Association (NAIMA))"
163,"Polyurethane Foam 4.5"" thick, RSI5.72",Unit,1.0,0.0114,"Slab and Board Thermal Insulation, urethane",10.851,15.122,Average
