idf_file,zone_name,necb_space_type
SecondarySchool.idf,Mult_Class_2_Pod_3_ZN_1_FLR_1 Thermal Zone,Classroom/lecture/training
SecondarySchool.idf,Mult_Class_2_Pod_3_ZN_1_FLR_2 Thermal Zone,Classroom/lecture/training
SecondarySchool.idf,Offices_ZN_1_FLR_1 Thermal Zone,Office - enclosed
SecondarySchool.idf,Offices_ZN_1_FLR_2 Thermal Zone,Office - enclosed
SmallHotel.idf,CorridorFlr1 Thermal Zone,Corr. >= 2.4m wide
SmallHotel.idf,CorridorFlr2 Thermal Zone,Corr. >= 2.4m wide
SmallHotel.idf,CorridorFlr3 Thermal Zone,Corr. >= 2.4m wide
SmallHotel.idf,CorridorFlr4 Thermal Zone,Corr. >= 2.4m wide
SmallHotel.idf,ElevatorCoreFlr1 Thermal Zone,Lobby - elevator
SmallHotel.idf,ElevatorCoreFlr2 Thermal Zone,Lobby - elevator
SmallHotel.idf,ElevatorCoreFlr3 Thermal Zone,Lobby - elevator
SmallHotel.idf,ElevatorCoreFlr4 Thermal Zone,Lobby - elevator
SmallHotel.idf,EmployeeLoungeFlr1 Thermal Zone,Lounge/recreation
SmallHotel.idf,ExerciseCenterFlr1 Thermal Zone,Gym - fitness
SmallHotel.idf,FrontLoungeFlr1 Thermal Zone,Hotel/Motel - lobby
SmallHotel.idf,FrontOfficeFlr1 Thermal Zone,Office - enclosed
SmallHotel.idf,FrontStairsFlr1 Thermal Zone,Stairway
SmallHotel.idf,FrontStairsFlr2 Thermal Zone,Stairway
SmallHotel.idf,FrontStairsFlr3 Thermal Zone,Stairway
SmallHotel.idf,FrontStairsFlr4 Thermal Zone,Stairway
SmallHotel.idf,FrontStorageFlr1 Thermal Zone,Storage area
SmallHotel.idf,FrontStorageFlr2 Thermal Zone,Storage area
SmallHotel.idf,FrontStorageFlr3 Thermal Zone,Storage area
SmallHotel.idf,FrontStorageFlr4 Thermal Zone,Storage area
SmallHotel.idf,GuestRoom101 Thermal Zone,Hway lodging - rooms
SmallHotel.idf,GuestRoom102 Thermal Zone,Hway lodging - rooms
SmallHotel.idf,GuestRoom103 Thermal Zone,Hway lodging - rooms
SmallHotel.idf,GuestRoom104 Thermal Zone,Hway lodging - rooms
SmallHotel.idf,GuestRoom105 Thermal Zone,Hway lodging - rooms
SmallHotel.idf,GuestRoom201 Thermal Zone,Hway lodging - rooms
SmallHotel.idf,GuestRoom202_205 Thermal Zone,Hway lodging - rooms
SmallHotel.idf,GuestRoom206_208 Thermal Zone,Hway lodging - rooms
SmallHotel.idf,GuestRoom209_212 Thermal Zone,Hway lodging - rooms
SmallHotel.idf,GuestRoom213 Thermal Zone,Hway lodging - rooms
SmallHotel.idf,GuestRoom214 Thermal Zone,Hway lodging - rooms
SmallHotel.idf,GuestRoom215_218 Thermal Zone,Hway lodging - rooms
SmallHotel.idf,GuestRoom219 Thermal Zone,Hway lodging - rooms
SmallHotel.idf,GuestRoom220_223 Thermal Zone,Hway lodging - rooms
SmallHotel.idf,GuestRoom224 Thermal Zone,Hway lodging - rooms
SmallHotel.idf,GuestRoom301 Thermal Zone,Hway lodging - rooms
SmallHotel.idf,GuestRoom302_305 Thermal Zone,Hway lodging - rooms
SmallHotel.idf,GuestRoom306_308 Thermal Zone,Hway lodging - rooms
SmallHotel.idf,GuestRoom309_312 Thermal Zone,Hway lodging - rooms
SmallHotel.idf,GuestRoom313 Thermal Zone,Hway lodging - rooms
SmallHotel.idf,GuestRoom314 Thermal Zone,Hway lodging - rooms
SmallHotel.idf,GuestRoom315_318 Thermal Zone,Hway lodging - rooms
SmallHotel.idf,GuestRoom319 Thermal Zone,Hway lodging - rooms
SmallHotel.idf,GuestRoom320_323 Thermal Zone,Hway lodging - rooms
SmallHotel.idf,GuestRoom324 Thermal Zone,Hway lodging - rooms
SmallHotel.idf,GuestRoom401 Thermal Zone,Hway lodging - rooms
SmallHotel.idf,GuestRoom402_405 Thermal Zone,Hway lodging - rooms
SmallHotel.idf,GuestRoom406_408 Thermal Zone,Hway lodging - rooms
SmallHotel.idf,GuestRoom409_412 Thermal Zone,Hway lodging - rooms
SmallHotel.idf,GuestRoom413 Thermal Zone,Hway lodging - rooms
SmallHotel.idf,GuestRoom414 Thermal Zone,Hway lodging - rooms
SmallHotel.idf,GuestRoom415_418 Thermal Zone,Hway lodging - rooms
SmallHotel.idf,GuestRoom419 Thermal Zone,Hway lodging - rooms
SmallHotel.idf,GuestRoom420_423 Thermal Zone,Hway lodging - rooms
SmallHotel.idf,GuestRoom424 Thermal Zone,Hway lodging - rooms
SmallHotel.idf,LaundryRoomFlr1 Thermal Zone,Storage area
SmallHotel.idf,MechanicalRoomFlr1 Thermal Zone,Electrical/Mechanical
SmallHotel.idf,MeetingRoomFlr1 Thermal Zone,Electrical/Mechanical
SmallHotel.idf,RearStairsFlr1 Thermal Zone,Stairway
SmallHotel.idf,RearStairsFlr2 Thermal Zone,Stairway
SmallHotel.idf,RearStairsFlr3 Thermal Zone,Stairway
SmallHotel.idf,RearStairsFlr4 Thermal Zone,Stairway
SmallHotel.idf,RearStorageFlr1 Thermal Zone,Storage area
SmallHotel.idf,RearStorageFlr2 Thermal Zone,Storage area
SmallHotel.idf,RearStorageFlr3 Thermal Zone,Storage area
SmallHotel.idf,RearStorageFlr4 Thermal Zone,Storage area
SmallHotel.idf,RestroomFlr1 Thermal Zone,Washroom
SmallOffice.idf,Attic Thermal Zone,- undefined -
SmallOffice.idf,Core_ZN Thermal Zone,Office - enclosed
SmallOffice.idf,Perimeter_ZN_1 Thermal Zone,Office - enclosed
SmallOffice.idf,Perimeter_ZN_2 Thermal Zone,Office - enclosed
SmallOffice.idf,Perimeter_ZN_3 Thermal Zone,Office - enclosed
SmallOffice.idf,Perimeter_ZN_4 Thermal Zone,Office - enclosed
Stand-aloneRetail.idf,Back_Space Thermal Zone,Storage area
Stand-aloneRetail.idf,Core_Retail Thermal Zone,Retail - sales
Stand-aloneRetail.idf,Front_Entry Thermal Zone,Lobby - elevator
Stand-aloneRetail.idf,Front_Retail Thermal Zone,Retail - sales
Stand-aloneRetail.idf,Point_Of_Sale Thermal Zone,Retail - sales
StripMall.idf,LGstore1 Thermal Zone,Retail - sales
StripMall.idf,LGstore2 Thermal Zone,Retail - sales
StripMall.idf,SMstore1 Thermal Zone,Retail - sales
StripMall.idf,SMstore2 Thermal Zone,Retail - sales
StripMall.idf,SMstore3 Thermal Zone,Retail - sales
StripMall.idf,SMstore4 Thermal Zone,Retail - sales
StripMall.idf,SMstore5 Thermal Zone,Retail - sales
StripMall.idf,SMstore6 Thermal Zone,Retail - sales
StripMall.idf,SMstore7 Thermal Zone,Retail - sales
StripMall.idf,SMstore8 Thermal Zone,Retail - sales
SuperMarket.idf,Bakery Thermal Zone,Retail - sales
SuperMarket.idf,Deli Thermal Zone,Retail - sales
SuperMarket.idf,DryStorage Thermal Zone,Storage area
SuperMarket.idf,Office Thermal Zone,Office - enclosed
SuperMarket.idf,Produce Thermal Zone,Retail - sales
SuperMarket.idf,Sales Thermal Zone,Retail - sales
Warehouse.idf,BulkStorage Thermal Zone,Warehouse - med/blk
Warehouse.idf,FineStorage Thermal Zone,Warehouse - fine
Warehouse.idf,Office Thermal Zone,Office - enclosed
