template,building_type,space_type,Notes,lighting_per_area,electric_equipment_per_area,template_speed,building_type_speed,space_type_speed
90.1-2007,Outpatient,Xray,,x,x,ASHRAE_90_1_2007,PrimarySchool,Outpatient-Xray
90.1-2007,PrimarySchool,Restroom,,x,x,ASHRAE_90_1_2007,PrimarySchool,PrimarySchool-Restroom
90.1-2007,PrimarySchool,Office,,x,x,ASHRAE_90_1_2007,PrimarySchool,PrimarySchool-Office
90.1-2007,PrimarySchool,Mechanical,,x,x,ASHRAE_90_1_2007,PrimarySchool,PrimarySchool-Mechanical
90.1-2007,PrimarySchool,Lobby,,x,x,ASHRAE_90_1_2007,PrimarySchool,PrimarySchool-Lobby
90.1-2007,PrimarySchool,Library,,x,x,ASHRAE_90_1_2007,PrimarySchool,PrimarySchool-Library
90.1-2007,PrimarySchool,Gym,,x,x,ASHRAE_90_1_2007,PrimarySchool,PrimarySchool-Gym
90.1-2007,PrimarySchool,Corridor,,x,x,ASHRAE_90_1_2007,PrimarySchool,PrimarySchool-Corridor
90.1-2007,PrimarySchool,Classroom,,x,x,ASHRAE_90_1_2007,PrimarySchool,PrimarySchool-Classroom
90.1-2007,PrimarySchool,Cafeteria,,x,x,ASHRAE_90_1_2007,PrimarySchool,PrimarySchool-Cafeteria
90.1-2007,PrimarySchool,Kitchen,,x,x,ASHRAE_90_1_2007,PrimarySchool,PrimarySchool-Kitchen
90.1-2007,PrimarySchool,ComputerRoom,,x,x,ASHRAE_90_1_2007,PrimarySchool,PrimarySchool-Computer
90.1-2007,QuickServiceRestaurant,Dining,,x,x,ASHRAE_90_1_2007,QuickServiceRestaurant,QuickServiceRestaurant-Dining
90.1-2007,QuickServiceRestaurant,Kitchen,,x,x,ASHRAE_90_1_2007,QuickServiceRestaurant,QuickServiceRestaurant-Kitchen
90.1-2007,Retail,Back_Space,,x,x,ASHRAE_90_1_2007,Retail,Retail-Storage
90.1-2007,Retail,Point_of_Sale,,x,x,ASHRAE_90_1_2007,Retail,Retail-Point_of_Sale
90.1-2007,Retail,Retail,,x,x,ASHRAE_90_1_2007,Retail,Retail-Retail
90.1-2007,SecondarySchool,Auditorium,,x,x,ASHRAE_90_1_2007,SecondarySchool,SecondarySchool-Auditorium
90.1-2007,SecondarySchool,Cafeteria,,x,x,ASHRAE_90_1_2007,SecondarySchool,SecondarySchool-Cafeteria
90.1-2007,SecondarySchool,Classroom,,x,x,ASHRAE_90_1_2007,SecondarySchool,SecondarySchool-Classroom
90.1-2007,SecondarySchool,Corridor,,x,x,ASHRAE_90_1_2007,SecondarySchool,SecondarySchool-Corridor
90.1-2007,SecondarySchool,Gym,,x,x,ASHRAE_90_1_2007,SecondarySchool,SecondarySchool-Gym
90.1-2007,SecondarySchool,Library,,x,x,ASHRAE_90_1_2007,SecondarySchool,SecondarySchool-Library
90.1-2007,SecondarySchool,Lobby,,x,x,ASHRAE_90_1_2007,SecondarySchool,SecondarySchool-Lobby
90.1-2007,SecondarySchool,Mechanical,,x,x,ASHRAE_90_1_2007,SecondarySchool,SecondarySchool-Mechanical
90.1-2007,SecondarySchool,Office,,x,x,ASHRAE_90_1_2007,SecondarySchool,SecondarySchool-Office
90.1-2007,SecondarySchool,Restroom,,x,x,ASHRAE_90_1_2007,SecondarySchool,SecondarySchool-Restroom
90.1-2007,SecondarySchool,Kitchen,,x,x,ASHRAE_90_1_2007,SecondarySchool,SecondarySchool-Kitchen
90.1-2007,SecondarySchool,ComputerRoom,,x,x,ASHRAE_90_1_2007,SecondarySchool,SecondarySchool-Computer
90.1-2007,SmallHotel,Corridor,,x,x,ASHRAE_90_1_2007,SmallHotel,SmallHotel-Corridor
90.1-2007,SmallHotel,Elec/MechRoom,,x,x,ASHRAE_90_1_2007,SmallHotel,SmallHotel-Mechanical
90.1-2007,SmallHotel,ElevatorCore,,x,x,ASHRAE_90_1_2007,SmallHotel,SmallHotel-ElevatorCore
90.1-2007,SmallHotel,Exercise,,x,x,ASHRAE_90_1_2007,SmallHotel,SmallHotel-Exercise
90.1-2007,SmallHotel,GuestLounge,,x,x,ASHRAE_90_1_2007,SmallHotel,SmallHotel-GuestLounge
90.1-2007,SmallHotel,GuestRoom123Occ,,x,x,ASHRAE_90_1_2007,SmallHotel,SmallHotel-GuestRoomOcc
90.1-2007,SmallHotel,GuestRoom123Vac,,x,x,ASHRAE_90_1_2007,SmallHotel,SmallHotel-GuestRoomVac
90.1-2007,SmallHotel,Laundry,,x,x,ASHRAE_90_1_2007,SmallHotel,SmallHotel-Laundry
90.1-2007,SmallHotel,Meeting,,x,x,ASHRAE_90_1_2007,SmallHotel,SmallHotel-Meeting
90.1-2007,SmallHotel,Office,,x,x,ASHRAE_90_1_2007,SmallHotel,SmallHotel-Office
90.1-2007,SmallHotel,PublicRestroom,,x,x,ASHRAE_90_1_2007,SmallHotel,SmallHotel-Restroom
90.1-2007,SmallHotel,StaffLounge,,x,x,ASHRAE_90_1_2007,SmallHotel,SmallHotel-Lounge
90.1-2007,SmallHotel,Stair,,x,x,ASHRAE_90_1_2007,SmallHotel,SmallHotel-Stair
90.1-2007,SmallHotel,Storage,,x,x,ASHRAE_90_1_2007,SmallHotel,SmallHotel-Storage
90.1-2007,SuperMarket,Sales,,x,x,ASHRAE_90_1_2007,SuperMarket,SuperMarket-Sales
90.1-2007,SuperMarket,Office,,x,x,ASHRAE_90_1_2007,SuperMarket,SuperMarket-Office
90.1-2007,SuperMarket,DryStorage,,x,x,ASHRAE_90_1_2007,SuperMarket,SuperMarket-Storage
90.1-2007,SuperMarket,Sales,,x,x,ASHRAE_90_1_2007,SuperMarket,SuperMarket-Main
90.1-2007,Warehouse,Office,,x,x,ASHRAE_90_1_2007,Warehouse,Warehouse-Office
90.1-2007,Warehouse,Bulk,,x,x,ASHRAE_90_1_2007,Warehouse,Warehouse-Storage
90.1-2010,Office,OfficeLarge Data Center,,x,x,ASHRAE_90_1_2010,LargeOffice,Office-DataCenter
90.1-2010,Office,Stair,,x,x,ASHRAE_90_1_2010,LargeOffice,Office-Stair
90.1-2010,Office,Lobby,,x,x,ASHRAE_90_1_2010,LargeOffice,Office-Lobby
90.1-2010,Office,Elec/MechRoom,,x,x,ASHRAE_90_1_2010,LargeOffice,Office-MechRoom
90.1-2010,Office,Corridor,,x,x,ASHRAE_90_1_2010,LargeOffice,Office-Corridor
90.1-2010,Office,Conference,,x,x,ASHRAE_90_1_2010,LargeOffice,Office-Conference
90.1-2010,Office,BreakRoom,,x,x,ASHRAE_90_1_2010,LargeOffice,Office-BreakRoom
90.1-2010,Office,Storage,,x,x,ASHRAE_90_1_2010,LargeOffice,Office-Storage
90.1-2010,Office,Restroom,,x,x,ASHRAE_90_1_2010,LargeOffice,Office-Restroom
90.1-2010,Office,OpenOffice,,x,x,ASHRAE_90_1_2010,LargeOffice,Office-OpenOffice
90.1-2010,Office,ClosedOffice,,x,x,ASHRAE_90_1_2010,LargeOffice,Office-PrivateOffice
90.1-2010,Office,Dining,,x,x,ASHRAE_90_1_2010,LargeOffice,Office-Dining
90.1-2010,Office,Classroom,,x,x,ASHRAE_90_1_2010,LargeOffice,Office-Classroom
90.1-2010,Office,OfficeLarge Data Center,This same object as for large office 2010 above must be duplicated for MediumOffice and SmallOffice 2010 building_type_speed for both lighting and equipment.,x,x,ASHRAE_90_1_2010,MediumOffice,Office-DataCenter
90.1-2010,Office,MediumOffice - Stair,,x,x,ASHRAE_90_1_2010,MediumOffice,Office-Stair
90.1-2010,Office,MediumOffice - Lobby,,x,x,ASHRAE_90_1_2010,MediumOffice,Office-Lobby
90.1-2010,Office,MediumOffice - Elec/MechRoom,,x,x,ASHRAE_90_1_2010,MediumOffice,Office-MechRoom
90.1-2010,Office,MediumOffice - Corridor,,x,x,ASHRAE_90_1_2010,MediumOffice,Office-Corridor
90.1-2010,Office,MediumOffice - Conference,,x,x,ASHRAE_90_1_2010,MediumOffice,Office-Conference
90.1-2010,Office,MediumOffice - Breakroom,,x,x,ASHRAE_90_1_2010,MediumOffice,Office-BreakRoom
90.1-2010,Office,MediumOffice - Storage,,x,x,ASHRAE_90_1_2010,MediumOffice,Office-Storage
90.1-2010,Office,MediumOffice - Restroom,,x,x,ASHRAE_90_1_2010,MediumOffice,Office-Restroom
90.1-2010,Office,MediumOffice - OpenOffice,,x,x,ASHRAE_90_1_2010,MediumOffice,Office-OpenOffice
90.1-2010,Office,MediumOffice - ClosedOffice,,x,x,ASHRAE_90_1_2010,MediumOffice,Office-PrivateOffice
90.1-2010,Office,MediumOffice - Dining,,x,x,ASHRAE_90_1_2010,MediumOffice,Office-Dining
90.1-2010,Office,MediumOffice - Classroom,,x,x,ASHRAE_90_1_2010,MediumOffice,Office-Classroom
90.1-2010,Office,OfficeLarge Data Center,This same object as for large office 2010 above must be duplicated for MediumOffice and SmallOffice 2010 building_type_speed for both lighting and equipment.,x,x,ASHRAE_90_1_2010,SmallOffice,Office-DataCenter
90.1-2010,Office,SmallOffice - Stair,,x,x,ASHRAE_90_1_2010,SmallOffice,Office-Stair
90.1-2010,Office,SmallOffice - Lobby,,x,x,ASHRAE_90_1_2010,SmallOffice,Office-Lobby
90.1-2010,Office,SmallOffice - Elec/MechRoom,,x,x,ASHRAE_90_1_2010,SmallOffice,Office-MechRoom
90.1-2010,Office,SmallOffice - Corridor,,x,x,ASHRAE_90_1_2010,SmallOffice,Office-Corridor
90.1-2010,Office,SmallOffice - Conference,,x,x,ASHRAE_90_1_2010,SmallOffice,Office-Conference
90.1-2010,Office,SmallOffice - Breakroom,,x,x,ASHRAE_90_1_2010,SmallOffice,Office-BreakRoom
90.1-2010,Office,SmallOffice - Storage,,x,x,ASHRAE_90_1_2010,SmallOffice,Office-Storage
90.1-2010,Office,SmallOffice - Restroom,,x,x,ASHRAE_90_1_2010,SmallOffice,Office-Restroom
90.1-2010,Office,SmallOffice - OpenOffice,,x,x,ASHRAE_90_1_2010,SmallOffice,Office-OpenOffice
90.1-2010,Office,SmallOffice - ClosedOffice,,x,x,ASHRAE_90_1_2010,SmallOffice,Office-PrivateOffice
90.1-2010,Office,SmallOffice - Dining,,x,x,ASHRAE_90_1_2010,SmallOffice,Office-Dining
90.1-2010,Office,SmallOffice - Classroom,,x,x,ASHRAE_90_1_2010,SmallOffice,Office-Classroom
90.1-2010,FullServiceRestaurant,Kitchen,,x,x,ASHRAE_90_1_2010,FullServiceRestaurant,FullServiceRestaurant-Kitchen
90.1-2010,FullServiceRestaurant,Dining,,x,x,ASHRAE_90_1_2010,FullServiceRestaurant,FullServiceRestaurant-Dining
90.1-2010,HighriseApartment,Apartment,,x,x,ASHRAE_90_1_2010,HighriseApartment,HighriseApt-Apartment
90.1-2010,HighriseApartment,Corridor,,x,x,ASHRAE_90_1_2010,HighriseApartment,HighriseApt-Corridor
90.1-2010,HighriseApartment,Office,,x,x,ASHRAE_90_1_2010,HighriseApartment,HighriseApt-Office
90.1-2010,Hospital,Kitchen,,x,x,ASHRAE_90_1_2010,Hospital,Hospital-Kitchen
90.1-2010,Hospital,Basement,,x,x,ASHRAE_90_1_2010,Hospital,Hospital-Basement
90.1-2010,Hospital,Corridor,,x,x,ASHRAE_90_1_2010,Hospital,Hospital-Corridor
90.1-2010,Hospital,Dining,,x,x,ASHRAE_90_1_2010,Hospital,Hospital-Dining
90.1-2010,Hospital,ER_Exam,,x,x,ASHRAE_90_1_2010,Hospital,Hospital-ER_Exam
90.1-2010,Hospital,ER_NurseStn,,x,x,ASHRAE_90_1_2010,Hospital,Hospital-ER_NurseStn
90.1-2010,Hospital,ER_Trauma,,x,x,ASHRAE_90_1_2010,Hospital,Hospital-ER_Trauma
90.1-2010,Hospital,ER_Triage,,x,x,ASHRAE_90_1_2010,Hospital,Hospital-ER_Triage
90.1-2010,Hospital,ICU_NurseStn,,x,x,ASHRAE_90_1_2010,Hospital,Hospital-ICU_NurseStn
90.1-2010,Hospital,ICU_Open,,x,x,ASHRAE_90_1_2010,Hospital,Hospital-ICU_Open
90.1-2010,Hospital,ICU_PatRm,,x,x,ASHRAE_90_1_2010,Hospital,Hospital-ICU_PatRm
90.1-2010,Hospital,Lab,,x,x,ASHRAE_90_1_2010,Hospital,Hospital-Lab
90.1-2010,Hospital,Lobby,,x,x,ASHRAE_90_1_2010,Hospital,Hospital-Lobby
90.1-2010,Hospital,NurseStn,,x,x,ASHRAE_90_1_2010,Hospital,Hospital-NurseStn
90.1-2010,Hospital,Office,,x,x,ASHRAE_90_1_2010,Hospital,Hospital-Office
90.1-2010,Hospital,OR,,x,x,ASHRAE_90_1_2010,Hospital,Hospital-OR
90.1-2010,Hospital,PatRoom,,x,x,ASHRAE_90_1_2010,Hospital,Hospital-PatRoom
90.1-2010,Hospital,PhysTherapy,,x,x,ASHRAE_90_1_2010,Hospital,Hospital-PhysTherapy
90.1-2010,Hospital,Radiology,,x,x,ASHRAE_90_1_2010,Hospital,Hospital-Radiology
90.1-2010,LargeHotel,Kitchen,,x,x,ASHRAE_90_1_2010,LargeHotel,LrgHotel-Kitchen
90.1-2010,LargeHotel,Banquet,,x,x,ASHRAE_90_1_2010,LargeHotel,LrgHotel-Banquet
90.1-2010,LargeHotel,Basement,,x,x,ASHRAE_90_1_2010,LargeHotel,LrgHotel-Basement
90.1-2010,LargeHotel,Cafe,,x,x,ASHRAE_90_1_2010,LargeHotel,LrgHotel-Cafe
90.1-2010,LargeHotel,Corridor,,x,x,ASHRAE_90_1_2010,LargeHotel,LrgHotel-Corridor
90.1-2010,LargeHotel,GuestRoom,,x,x,ASHRAE_90_1_2010,LargeHotel,LrgHotel-GuestRoom
90.1-2010,LargeHotel,Laundry,,x,x,ASHRAE_90_1_2010,LargeHotel,LrgHotel-Laundry
90.1-2010,LargeHotel,Lobby,,x,x,ASHRAE_90_1_2010,LargeHotel,LrgHotel-Lobby
90.1-2010,LargeHotel,Mechanical,,x,x,ASHRAE_90_1_2010,LargeHotel,LrgHotel-Mech
90.1-2010,LargeHotel,Retail,,x,x,ASHRAE_90_1_2010,LargeHotel,LrgHotel-Retail
90.1-2010,LargeHotel,Storage,,x,x,ASHRAE_90_1_2010,LargeHotel,LrgHotel-Storage
90.1-2010,MidriseApartment,Apartment,,x,x,ASHRAE_90_1_2010,MidriseApartment,MidriseApt-Apartment
90.1-2010,MidriseApartment,Corridor,,x,x,ASHRAE_90_1_2010,MidriseApartment,MidriseApt-Corridor
90.1-2010,MidriseApartment,Office,,x,x,ASHRAE_90_1_2010,MidriseApartment,MidriseApt-Office
90.1-2010,Outpatient,Anesthesia,,x,x,ASHRAE_90_1_2010,Outpatient,Outpatient-Anesthesia
90.1-2010,Outpatient,BioHazard,,x,x,ASHRAE_90_1_2010,Outpatient,Outpatient-BioHazard
90.1-2010,Outpatient,Cafe,,x,x,ASHRAE_90_1_2010,Outpatient,Outpatient-Cafe
90.1-2010,Outpatient,Conference,,x,x,ASHRAE_90_1_2010,Outpatient,Outpatient-Conference
90.1-2010,Outpatient,DressingRoom,,x,x,ASHRAE_90_1_2010,Outpatient,Outpatient-DressingRoom
90.1-2010,Outpatient,Elec/MechRoom,,x,x,ASHRAE_90_1_2010,Outpatient,Outpatient-Mechanical
90.1-2010,Outpatient,Exam,,x,x,ASHRAE_90_1_2010,Outpatient,Outpatient-Exam
90.1-2010,Outpatient,Hall,,x,x,ASHRAE_90_1_2010,Outpatient,Outpatient-Hall
90.1-2010,Outpatient,IT_Room,,x,x,ASHRAE_90_1_2010,Outpatient,Outpatient-IT_Room
90.1-2010,Outpatient,Janitor,,x,x,ASHRAE_90_1_2010,Outpatient,Outpatient-Janitor
90.1-2010,Outpatient,Lobby,,x,x,ASHRAE_90_1_2010,Outpatient,Outpatient-Lobby
90.1-2010,Outpatient,LockerRoom,,x,x,ASHRAE_90_1_2010,Outpatient,Outpatient-LockerRoom
90.1-2010,Outpatient,Lounge,,x,x,ASHRAE_90_1_2010,Outpatient,Outpatient-Lounge
90.1-2010,Outpatient,MedGas,,x,x,ASHRAE_90_1_2010,Outpatient,Outpatient-MedGas
90.1-2010,Outpatient,MRI,,x,x,ASHRAE_90_1_2010,Outpatient,Outpatient-MRI
90.1-2010,Outpatient,NurseStation,,x,x,ASHRAE_90_1_2010,Outpatient,Outpatient-NurseStation
